turno,jugador,propiedad,tipo,color,precio
1,ana,gris2,propiedad,gris,100
2,bob,gris1,propiedad,gris,100
5,ana,naranja1,propiedad,naranja,180
6,bob,rosa1,propiedad,rosa,140
7,carla,rosa3,propiedad,rosa,160
8,diego,gris3,propiedad,gris,120
10,bob,naranja3,propiedad,naranja,200
13,ana,estacion3,estacion,estacion,200
21,ana,azul2,propiedad,azul,400
22,bob,estacion4,estacion,estacion,200
25,ana,estacion1,estacion,estacion,200
35,carla,rojo2,propiedad,rojo,220
36,diego,naranja2,propiedad,naranja,180
37,ana,amarillo1,propiedad,amarillo,260
38,bob,rojo1,propiedad,rojo,220
42,bob,amarillo3,propiedad,amarillo,280
47,carla,azul1,propiedad,azul,350
48,diego,morado1,propiedad,morado,60
51,carla,morado2,propiedad,morado,60
55,carla,rosa1,propiedad,rosa,140
58,bob,naranja3,propiedad,naranja,200
59,carla,rosa2,propiedad,rosa,140
63,carla,rojo3,propiedad,rojo,240
68,diego,verde2,propiedad,verde,300
80,carla,naranja3,propiedad,naranja,200
99,diego,naranja1,propiedad,naranja,180
101,carla,estacion4,estacion,estacion,200
102,diego,rojo3,propiedad,rojo,240
103,ana,rosa2,propiedad,rosa,140
104,carla,estacion1,estacion,estacion,200
107,carla,rosa1,propiedad,rosa,140
109,ana,amarillo1,propiedad,amarillo,260
113,carla,rojo1,propiedad,rojo,220
117,diego,rojo1,propiedad,rojo,220
119,carla,verde1,propiedad,verde,300
129,diego,gris1,propiedad,gris,100
137,carla,estacion3,estacion,estacion,200
149,carla,rosa2,propiedad,rosa,140
152,carla,naranja3,propiedad,naranja,200
165,diego,naranja2,propiedad,naranja,180
167,carla,estacion1,estacion,estacion,200
168,diego,amarillo2,propiedad,amarillo,260
177,diego,gris3,propiedad,gris,120
186,diego,verde2,propiedad,verde,300
188,diego,azul1,propiedad,azul,350
194,diego,naranja2,propiedad,naranja,180
198,diego,estacion1,estacion,estacion,200
