metrica,valor
total_turnos,500
jugadores_restantes,8
total_compras,28
total_alquileres,256
importe_total_alquileres,10576
total_impuestos,51
importe_total_impuestos,7350
total_premios_parking,12
importe_total_premios_parking,6505
caja_parking_final,845
entradas_carcel,13
salidas_pagando,0
salidas_dobles,5
liberaciones_automaticas,8
turnos_perdidos_carcel,30
bancarrotas,4
jugadores_eliminados,2
jugadores_superan_bancarrota,2
valor_total_liquidado,475
activos_restantes_banco,2
