turno,jugador,nombre_casilla,tipo_casilla,compra,alquiler,impuesto,parking,bancarrota,eliminado,dinero_inicial,dinero_tras_carcel,dinero_final,props_antes,props_despues
1,ana,gris2,propiedad,si,no,no,no,no,no,1500,1500,1400,0,1
2,bob,gris1,propiedad,si,no,no,no,no,no,1500,1500,1400,0,1
3,carla,suerte2,suerte,no,no,no,no,no,no,1500,1500,1500,0,0
4,diego,impuesto1,impuesto,no,no,si,no,no,no,1500,1500,1300,0,0
5,ana,naranja1,propiedad,si,no,no,no,no,no,1400,1400,1220,1,2
6,bob,rosa1,propiedad,si,no,no,no,no,no,1400,1400,1260,1,2
7,carla,rosa3,propiedad,si,no,no,no,no,no,1500,1500,1340,0,1
8,diego,gris3,propiedad,si,no,no,no,no,no,1300,1300,1180,0,1
9,ana,parking,parking,no,no,no,si,no,no,1220,1220,1320,2,2
10,bob,naranja3,propiedad,si,no,no,no,no,no,1260,1260,1060,2,3
11,carla,parking,parking,no,no,no,si,no,no,1340,1340,1390,1,1
12,diego,rosa1,propiedad,no,si,no,no,no,no,1180,1180,1152,1,1
13,ana,estacion3,estacion,si,no,no,no,no,no,1320,1320,1120,2,3
14,bob,estacion3,estacion,no,si,no,no,no,no,1088,1088,1048,3,3
15,carla,visita_carcel,visita_carcel,no,no,no,no,no,no,1390,1390,1390,1,1
16,diego,rosa3,propiedad,no,si,no,no,no,no,1152,1152,1120,1,1
17,ana,suerte6,suerte,no,no,no,no,no,no,1160,1160,1160,3,3
18,bob,impuesto3,impuesto,no,no,si,no,no,no,1048,1048,948,3,3
19,carla,visita_carcel,visita_carcel,no,no,no,no,no,no,1422,1422,1422,1,1
20,diego,suerte4,suerte,no,no,no,no,no,no,1120,1120,1120,1,1
21,ana,azul2,propiedad,si,no,no,no,no,no,1160,1160,760,3,4
22,bob,estacion4,estacion,si,no,no,no,no,no,948,948,748,3,4
23,carla,visita_carcel,visita_carcel,no,no,no,no,no,no,1422,1422,1422,1,1
24,diego,suerte5,suerte,no,no,no,no,no,no,1120,1120,1120,1,1
25,ana,estacion1,estacion,si,no,no,no,no,no,760,760,560,4,5
26,bob,impuesto1,impuesto,no,no,si,no,no,no,748,748,548,4,4
27,carla,visita_carcel,visita_carcel,no,no,no,no,no,no,1422,1422,1422,1,1
28,diego,salida,salida,no,no,no,no,no,no,1120,1120,1120,1,1
29,ana,rosa1,propiedad,no,si,no,no,no,no,560,560,532,5,5
30,bob,gris1,propiedad,no,no,no,no,no,no,576,576,576,4,4
31,carla,naranja3,propiedad,no,si,no,no,no,no,1422,1422,1382,1,1
32,diego,suerte2,suerte,no,no,no,no,no,no,1120,1120,1120,1,1
33,ana,naranja3,propiedad,no,si,no,no,no,no,532,532,492,5,5
34,bob,rosa3,propiedad,no,si,no,no,no,no,656,656,624,4,4
35,carla,rojo2,propiedad,si,no,no,no,no,no,1414,1414,1194,1,2
36,diego,naranja2,propiedad,si,no,no,no,no,no,1120,1120,940,1,2
37,ana,amarillo1,propiedad,si,no,no,no,no,no,492,492,232,5,6
38,bob,rojo1,propiedad,si,no,no,no,no,no,624,624,404,4,5
39,carla,impuesto3,impuesto,no,no,si,no,no,no,1194,1194,1094,2,2
40,diego,amarillo1,propiedad,no,si,no,no,no,no,940,940,888,2,2
41,ana,suerte5,suerte,no,no,no,no,no,no,284,284,284,6,6
42,bob,amarillo3,propiedad,si,no,no,no,no,no,404,404,124,5,6
43,carla,suerte5,suerte,no,no,no,no,no,no,1094,1094,1094,2,2
44,diego,suerte5,suerte,no,no,no,no,no,no,888,888,888,2,2
45,ana,azul2,propiedad,no,no,no,no,no,no,284,284,284,6,6
46,bob,azul2,propiedad,no,si,no,no,no,no,124,124,44,6,6
47,carla,azul1,propiedad,si,no,no,no,no,no,1094,1094,744,2,3
48,diego,morado1,propiedad,si,no,no,no,no,no,888,888,828,2,3
49,ana,impuesto1,impuesto,no,no,si,no,no,no,364,364,164,6,6
50,bob,impuesto1,impuesto,no,no,si,no,si,no,44,44,414,6,0
51,carla,morado2,propiedad,si,no,no,no,no,no,744,744,684,3,4
52,diego,suerte2,suerte,no,no,no,no,no,no,828,828,828,3,3
53,ana,estacion2,estacion,no,no,no,no,no,no,164,164,164,6,6
54,bob,visita_carcel,visita_carcel,no,no,no,no,no,no,414,414,414,0,0
55,carla,rosa1,propiedad,si,no,no,no,no,no,684,684,544,4,5
56,diego,visita_carcel,visita_carcel,no,no,no,no,no,no,828,828,828,3,3
57,ana,amarillo2,propiedad,no,no,no,no,no,no,164,164,164,6,6
58,bob,naranja3,propiedad,si,no,no,no,no,no,414,414,214,0,1
59,carla,rosa2,propiedad,si,no,no,no,no,no,544,544,404,5,6
60,diego,parking,parking,no,no,no,si,no,no,828,828,1253,3,3
61,ana,suerte6,suerte,no,no,no,no,no,no,164,164,164,6,6
62,bob,impuesto3,impuesto,no,no,si,no,no,no,214,214,114,1,1
63,carla,rojo3,propiedad,si,no,no,no,no,no,404,404,164,6,7
64,diego,impuesto3,impuesto,no,no,si,no,no,no,1253,1253,1153,3,3
65,ana,morado2,propiedad,no,si,no,no,no,no,164,164,152,6,6
66,bob,suerte6,suerte,no,no,no,no,no,no,114,114,114,1,1
67,carla,suerte5,suerte,no,no,no,no,no,no,176,176,176,7,7
68,diego,verde2,propiedad,si,no,no,no,no,no,1153,1153,853,3,4
69,ana,estacion2,estacion,no,no,no,no,no,no,152,152,152,6,6
70,bob,impuesto1,impuesto,no,no,si,no,si,no,114,114,14,1,0
71,carla,salida,salida,no,no,no,no,no,no,176,176,176,7,7
72,diego,impuesto4,impuesto,no,no,si,no,no,no,853,853,753,4,4
73,ana,rojo3,propiedad,no,si,no,no,no,no,152,152,104,6,6
74,bob,gris3,propiedad,no,si,no,no,si,si,14,14,14,0,0
75,diego,impuesto1,impuesto,no,no,si,no,no,no,777,777,577,4,4
76,ana,visita_carcel,visita_carcel,no,no,no,no,no,no,104,104,104,6,6
77,carla,rosa1,propiedad,no,no,no,no,no,no,224,224,224,7,7
78,diego,rosa2,propiedad,no,si,no,no,no,no,577,577,549,4,4
79,ana,visita_carcel,visita_carcel,no,no,no,no,no,no,104,104,104,6,6
80,carla,naranja3,propiedad,si,no,no,no,no,no,252,252,52,7,8
81,diego,parking,parking,no,no,no,si,no,no,549,549,1111,4,4
82,ana,visita_carcel,visita_carcel,no,no,no,no,no,no,104,104,104,6,6
83,carla,amarillo1,propiedad,no,si,no,no,no,no,52,52,0,8,8
84,diego,impuesto3,impuesto,no,no,si,no,no,no,1111,1111,1011,4,4
85,ana,visita_carcel,visita_carcel,no,no,no,no,no,no,156,156,156,6,6
86,carla,visita_carcel,visita_carcel,no,no,no,no,no,no,0,0,0,8,8
87,diego,salida,salida,no,no,no,no,no,no,1011,1011,1011,4,4
88,ana,naranja2,propiedad,no,si,no,no,no,no,156,156,120,6,6
89,carla,visita_carcel,visita_carcel,no,no,no,no,no,no,0,0,0,8,8
90,diego,impuesto1,impuesto,no,no,si,no,no,no,1047,1047,847,4,4
91,ana,rojo3,propiedad,no,si,no,no,no,no,120,120,72,6,6
