turno,jugador,caja_antes,premio,caja_despues,dinero_antes,dinero_despues
27,gema,550,275,275,1140,1415
89,irene,675,337,338,1208,1545
115,elena,938,469,469,344,813
149,irene,1319,659,660,1289,1948
197,gema,1410,705,705,1039,1744
225,elena,855,427,428,865,1292
252,bob,1328,664,664,860,1524
260,javier,814,407,407,354,761
274,diego,607,303,304,122,425
372,bob,1454,727,727,1656,2383
469,elena,1777,888,889,2318,3206
487,hugo,1289,644,645,464,1108
