turno,jugador,nombre_casilla,tipo_casilla,compra,alquiler,impuesto,parking,bancarrota,eliminado,dinero_inicial,dinero_tras_carcel,dinero_final,props_antes,props_despues
482,bob,rojo2,propiedad,no,no,no,no,no,no,2279,2279,2279,4,4
483,carla,naranja3,propiedad,no,si,no,no,no,no,716,716,676,4,4
484,diego,rosa1,propiedad,no,si,no,no,no,no,225,225,197,4,4
485,elena,estacion4,estacion,no,no,no,no,no,no,3246,3246,3246,5,5
486,gema,impuesto2,impuesto,no,no,si,no,no,no,1164,1164,1014,2,2
487,hugo,parking,parking,no,no,no,si,no,no,464,464,1108,2,2
488,irene,morado2,propiedad,no,si,no,no,no,no,470,470,458,2,2
489,ana,morado2,propiedad,no,si,no,no,no,no,327,327,315,0,0
490,bob,verde1,propiedad,no,si,no,no,no,no,2279,2279,2219,4,4
491,carla,impuesto3,impuesto,no,no,si,no,no,no,676,676,576,4,4
492,diego,rosa3,propiedad,no,si,no,no,no,no,221,221,189,4,4
493,elena,gris1,propiedad,no,si,no,no,no,no,3306,3306,3286,5,5
494,gema,rojo1,propiedad,no,si,no,no,no,no,1046,1046,1002,2,2
495,hugo,estacion3,estacion,si,no,no,no,no,no,1108,1108,908,2,3
496,irene,visita_carcel,visita_carcel,no,no,no,no,no,no,478,478,478,2,2
497,ana,estacion1,estacion,no,si,no,no,no,no,315,315,275,0,0
498,bob,impuesto4,impuesto,no,no,si,no,no,no,2263,2263,2163,4,4
499,carla,estacion4,estacion,no,si,no,no,no,no,576,576,536,4,4
500,diego,suerte4,suerte,no,no,no,no,no,no,229,229,229,4,4
