turno,jugador,nombre_casilla,tipo_casilla,compra,alquiler,impuesto,parking,bancarrota,eliminado,dinero_inicial,dinero_tras_carcel,dinero_final,props_antes,props_despues
204,diego,impuesto2,impuesto,no,no,si,no,no,no,484,484,334,4,4
205,elena,gris3,propiedad,no,si,no,no,no,no,865,865,841,5,5
206,fernando,naranja1,propiedad,no,si,no,no,no,no,844,844,808,1,1
207,gema,amarillo1,propiedad,no,si,no,no,no,no,1744,1744,1692,2,2
208,hugo,estacion3,estacion,no,si,no,no,no,no,1040,1040,1000,2,2
209,irene,suerte4,suerte,no,no,no,no,no,no,1760,1760,1760,2,2
210,javier,amarillo1,propiedad,no,si,no,no,no,no,534,534,482,0,0
211,ana,verde2,propiedad,no,si,no,no,no,no,1078,1078,1018,1,1
212,bob,verde3,propiedad,no,si,no,no,no,no,728,728,664,4,4
213,carla,gris3,propiedad,no,si,no,no,no,no,454,454,430,4,4
214,diego,rojo2,propiedad,no,si,no,no,no,no,334,334,290,4,4
215,elena,naranja1,propiedad,no,si,no,no,no,no,841,841,805,5,5
216,fernando,rojo2,propiedad,no,si,no,no,no,no,808,808,764,1,1
217,gema,verde1,propiedad,no,si,no,no,no,no,1692,1692,1632,2,2
218,hugo,suerte5,suerte,no,no,no,no,no,no,1088,1088,1088,2,2
219,irene,amarillo3,propiedad,no,si,no,no,no,no,1784,1784,1728,2,2
220,javier,verde3,propiedad,no,si,no,no,no,no,482,482,418,0,0
221,ana,azul1,propiedad,si,no,no,no,no,no,1018,1018,668,1,2
222,bob,morado1,propiedad,no,si,no,no,no,no,808,808,796,4,4
223,carla,estacion2,estacion,no,si,no,no,no,no,494,494,454,4,4
224,diego,suerte5,suerte,no,no,no,no,no,no,302,302,302,4,4
225,elena,parking,parking,no,no,no,si,no,no,865,865,1292,5,5
226,fernando,verde1,propiedad,no,si,no,no,no,no,804,804,744,1,1
227,gema,suerte6,suerte,no,no,no,no,no,no,1632,1632,1632,2,2
228,hugo,impuesto4,impuesto,no,no,si,no,no,no,1088,1088,988,2,2
229,irene,estacion4,estacion,no,si,no,no,no,no,1728,1728,1688,2,2
230,javier,salida,salida,no,no,no,no,no,no,418,418,418,0,0
231,ana,gris2,propiedad,no,si,no,no,no,no,668,668,648,2,2
232,bob,suerte2,suerte,no,no,no,no,no,no,796,796,796,4,4
233,carla,rojo2,propiedad,no,si,no,no,no,no,474,474,430,4,4
234,diego,suerte6,suerte,no,no,no,no,no,no,302,302,302,4,4
235,elena,verde2,propiedad,no,si,no,no,no,no,1392,1392,1332,5,5
236,fernando,salida,salida,no,no,no,no,no,no,744,744,744,1,1
237,gema,impuesto4,impuesto,no,no,si,no,no,no,1632,1632,1532,2,2
238,hugo,gris2,propiedad,no,si,no,no,no,no,988,988,968,2,2
239,irene,impuesto1,impuesto,no,no,si,no,no,no,1688,1688,1488,2,2
240,javier,gris3,propiedad,no,si,no,no,no,no,418,418,394,0,0
241,ana,naranja3,propiedad,no,si,no,no,no,no,648,648,608,2,2
242,bob,estacion2,estacion,no,si,no,no,no,no,900,900,860,4,4
243,carla,visita_carcel,visita_carcel,no,no,no,no,no,no,450,450,450,4,4
244,diego,impuesto1,impuesto,no,no,si,no,no,no,342,342,142,4,4
245,elena,morado1,propiedad,no,si,no,no,no,no,1332,1332,1320,5,5
246,fernando,impuesto1,impuesto,no,no,si,no,no,no,784,784,584,1,1
247,gema,visita_carcel,visita_carcel,no,no,no,no,no,no,1532,1532,1532,2,2
248,hugo,naranja1,propiedad,no,no,no,no,no,no,968,968,968,2,2
249,irene,rosa1,propiedad,no,si,no,no,no,no,1512,1512,1484,2,2
250,javier,estacion2,estacion,no,si,no,no,no,no,394,394,354,0,0
251,ana,impuesto3,impuesto,no,no,si,no,no,no,608,608,508,2,2
252,bob,parking,parking,no,no,no,si,no,no,860,860,1524,4,4
253,carla,visita_carcel,visita_carcel,no,no,no,no,no,no,450,450,450,4,4
254,diego,visita_carcel,visita_carcel,no,no,no,no,no,no,154,154,154,4,4
255,elena,impuesto2,impuesto,no,no,si,no,no,no,1320,1320,1170,5,5
256,fernando,rosa2,propiedad,no,si,no,no,no,no,624,624,596,1,1
257,gema,naranja1,propiedad,no,si,no,no,no,no,1560,1560,1524,2,2
258,hugo,rojo3,propiedad,no,si,no,no,no,no,1004,1004,956,2,2
259,irene,naranja2,propiedad,no,si,no,no,no,no,1484,1484,1448,2,2
260,javier,parking,parking,no,no,no,si,no,no,354,354,761,0,0
261,ana,estacion4,estacion,no,si,no,no,no,no,508,508,468,2,2
262,bob,impuesto3,impuesto,no,no,si,no,no,no,1524,1524,1424,4,4
263,carla,naranja1,propiedad,no,si,no,no,no,no,534,534,498,4,4
264,diego,rosa3,propiedad,no,si,no,no,no,no,154,154,122,4,4
265,elena,rojo3,propiedad,no,si,no,no,no,no,1238,1238,1190,5,5
266,fernando,rojo1,propiedad,no,si,no,no,no,no,596,596,552,1,1
267,gema,rojo1,propiedad,no,si,no,no,no,no,1556,1556,1512,2,2
268,hugo,impuesto3,impuesto,no,no,si,no,no,no,992,992,892,2,2
269,irene,rojo3,propiedad,no,si,no,no,no,no,1448,1448,1400,2,2
270,javier,visita_carcel,visita_carcel,no,no,no,no,no,no,761,761,761,0,0
271,ana,azul2,propiedad,no,si,no,no,no,no,468,468,388,2,2
272,bob,azul1,propiedad,no,si,no,no,no,no,1512,1512,1442,4,4
273,carla,amarillo2,propiedad,no,si,no,no,no,no,594,594,542,4,4
274,diego,parking,parking,no,no,no,si,no,no,122,122,425,4,4
275,elena,amarillo3,propiedad,no,si,no,no,no,no,1322,1322,1266,5,5
276,fernando,impuesto3,impuesto,no,no,si,no,no,no,552,552,452,1,1
277,gema,rojo2,propiedad,no,si,no,no,no,no,1512,1512,1468,2,2
278,hugo,azul1,propiedad,no,si,no,no,no,no,892,892,822,2,2
279,irene,verde1,propiedad,no,si,no,no,no,no,1400,1400,1340,2,2
280,javier,visita_carcel,visita_carcel,no,no,no,no,no,no,761,761,761,0,0
281,ana,estacion1,estacion,no,si,no,no,no,no,528,528,488,2,2
282,bob,suerte2,suerte,no,no,no,no,no,no,1542,1542,1542,4,4
283,carla,estacion4,estacion,no,si,no,no,no,no,542,542,502,4,4
284,diego,rojo3,propiedad,no,si,no,no,no,no,465,465,417,4,4
285,elena,estacion4,estacion,no,no,no,no,no,no,1366,1366,1366,5,5
286,fernando,estacion4,estacion,no,si,no,no,no,no,452,452,412,1,1
287,gema,verde2,propiedad,no,si,no,no,no,no,1468,1468,1408,2,2
288,hugo,morado2,propiedad,no,si,no,no,no,no,822,822,810,2,2
289,irene,azul1,propiedad,no,si,no,no,no,no,1340,1340,1270,2,2
290,javier,rojo1,propiedad,no,si,no,no,no,no,761,761,717,0,0
291,ana,gris3,propiedad,no,si,no,no,no,no,558,558,534,2,2
292,bob,rosa2,propiedad,no,si,no,no,no,no,1646,1646,1618,4,4
293,carla,salida,salida,no,no,no,no,no,no,550,550,550,4,4
294,diego,amarillo2,propiedad,no,si,no,no,no,no,429,429,377,4,4
295,elena,estacion1,estacion,no,si,no,no,no,no,1486,1486,1446,5,5
296,fernando,suerte1,suerte,no,no,no,no,no,no,412,412,412,1,1
297,gema,azul2,propiedad,no,si,no,no,no,no,1408,1408,1328,2,2
298,hugo,visita_carcel,visita_carcel,no,no,no,no,no,no,810,810,810,2,2
299,irene,salida,salida,no,no,no,no,no,no,1294,1294,1294,2,2
300,javier,amarillo2,propiedad,no,si,no,no,no,no,717,717,665,0,0
301,ana,naranja2,propiedad,no,si,no,no,no,no,534,534,498,2,2
302,bob,naranja3,propiedad,no,si,no,no,no,no,1618,1618,1578,4,4
303,carla,suerte2,suerte,no,no,no,no,no,no,586,586,586,4,4
304,diego,visita_carcel,visita_carcel,no,no,no,no,no,no,457,457,457,4,4
305,elena,rosa2,propiedad,no,no,no,no,no,no,1578,1578,1578,5,5
306,fernando,suerte2,suerte,no,no,no,no,no,no,412,412,412,1,1
307,gema,estacion1,estacion,no,si,no,no,no,no,1328,1328,1288,2,2
308,hugo,naranja3,propiedad,no,si,no,no,no,no,810,810,770,2,2
309,irene,gris2,propiedad,no,si,no,no,no,no,1294,1294,1274,2,2
310,javier,estacion4,estacion,no,si,no,no,no,no,665,665,625,0,0
311,ana,amarillo2,propiedad,no,si,no,no,no,no,498,498,446,2,2
312,bob,suerte4,suerte,no,no,no,no,no,no,1578,1578,1578,4,4
313,carla,naranja2,propiedad,no,no,no,no,no,no,606,606,606,4,4
314,diego,visita_carcel,visita_carcel,no,no,no,no,no,no,537,537,537,4,4
315,elena,naranja2,propiedad,no,si,no,no,no,no,1670,1670,1634,5,5
316,fernando,rosa3,propiedad,no,si,no,no,no,no,412,412,380,1,1
317,gema,suerte2,suerte,no,no,no,no,no,no,1320,1320,1320,2,2
318,hugo,amarillo1,propiedad,no,no,no,no,no,no,770,770,770,2,2
319,irene,estacion2,estacion,no,si,no,no,no,no,1274,1274,1234,2,2
320,javier,morado2,propiedad,no,si,no,no,no,no,625,625,613,0,0
321,ana,estacion4,estacion,no,si,no,no,no,no,446,446,406,2,2
322,bob,amarillo3,propiedad,no,no,no,no,no,no,1578,1578,1578,4,4
323,carla,estacion3,estacion,no,si,no,no,no,no,642,642,602,4,4
324,diego,visita_carcel,visita_carcel,no,no,no,no,no,no,549,549,549,4,4
325,elena,visita_carcel,visita_carcel,no,no,no,no,no,no,1674,1674,1674,5,5
326,fernando,rojo3,propiedad,no,si,no,no,no,no,420,420,372,1,1
327,gema,visita_carcel,visita_carcel,no,no,no,no,no,no,1320,1320,1320,2,2
328,hugo,verde2,propiedad,no,si,no,no,no,no,770,770,710,2,2
329,irene,rojo3,propiedad,no,si,no,no,no,no,1234,1234,1186,2,2
330,javier,gris3,propiedad,no,si,no,no,no,no,613,613,589,0,0
331,ana,impuesto1,impuesto,no,no,si,no,no,no,446,446,246,2,2
332,bob,azul1,propiedad,no,si,no,no,no,no,1638,1638,1568,4,4
333,carla,amarillo2,propiedad,no,si,no,no,no,no,698,698,646,4,4
334,diego,visita_carcel,visita_carcel,no,no,no,no,no,no,549,549,549,4,4
335,elena,visita_carcel,visita_carcel,no,no,no,no,no,no,1726,1726,1726,5,5
336,fernando,amarillo3,propiedad,no,si,no,no,no,no,372,372,316,1,1
337,gema,naranja2,propiedad,no,si,no,no,no,no,1320,1320,1284,2,2
338,hugo,azul1,propiedad,no,si,no,no,no,no,710,710,640,2,2
339,irene,verde1,propiedad,no,si,no,no,no,no,1210,1210,1150,2,2
340,javier,impuesto2,impuesto,no,no,si,no,no,no,589,589,439,0,0
341,ana,rosa3,propiedad,no,si,no,no,no,no,386,386,354,2,2
342,bob,impuesto1,impuesto,no,no,si,no,no,no,1624,1624,1424,4,4
343,carla,suerte5,suerte,no,no,no,no,no,no,682,682,682,4,4
344,diego,naranja1,propiedad,no,si,no,no,no,no,549,549,513,4,4
345,elena,visita_carcel,visita_carcel,no,no,no,no,no,no,1786,1786,1786,5,5
346,fernando,impuesto4,impuesto,no,no,si,no,no,no,316,316,216,1,1
347,gema,estacion3,estacion,no,si,no,no,no,no,1316,1316,1276,2,2
348,hugo,estacion1,estacion,no,si,no,no,no,no,676,676,636,2,2
349,irene,salida,salida,no,no,no,no,no,no,1150,1150,1150,2,2
350,javier,rojo1,propiedad,no,si,no,no,no,no,439,439,395,0,0
351,ana,estacion3,estacion,no,no,no,no,no,no,394,394,394,2,2
352,bob,visita_carcel,visita_carcel,no,no,no,no,no,no,1468,1468,1468,4,4
353,carla,impuesto4,impuesto,no,no,si,no,no,no,682,682,582,4,4
354,diego,rojo2,propiedad,no,si,no,no,no,no,553,553,509,4,4
355,elena,visita_carcel,visita_carcel,no,no,no,no,no,no,1786,1786,1786,5,5
356,fernando,impuesto1,impuesto,no,no,si,no,no,no,216,216,16,1,1
357,gema,verde2,propiedad,no,si,no,no,no,no,1276,1276,1216,2,2
358,hugo,naranja1,propiedad,no,no,no,no,no,no,636,636,636,2,2
359,irene,gris2,propiedad,no,si,no,no,no,no,1150,1150,1130,2,2
360,javier,amarillo2,propiedad,no,si,no,no,no,no,395,395,343,0,0
361,ana,verde2,propiedad,no,si,no,no,no,no,394,394,334,2,2
362,bob,rosa3,propiedad,no,si,no,no,no,no,1632,1632,1600,4,4
363,carla,gris1,propiedad,no,si,no,no,no,no,602,602,582,4,4
364,diego,impuesto3,impuesto,no,no,si,no,no,no,509,509,409,4,4
365,elena,suerte3,suerte,no,no,no,no,no,no,1838,1838,1838,5,5
366,fernando,gris3,propiedad,no,si,no,no,si,no,16,16,92,1,0
367,gema,suerte6,suerte,no,no,no,no,no,no,1248,1248,1248,2,2
368,hugo,rojo3,propiedad,no,si,no,no,no,no,636,636,588,2,2
369,irene,rosa3,propiedad,no,si,no,no,no,no,1174,1174,1142,2,2
