turno,jugador,casilla,importe,dinero_antes,dinero_despues,caja_antes,caja_despues
2,bob,impuesto1,200,1500,1300,0,200
7,gema,impuesto1,200,1500,1300,200,400
11,ana,impuesto2,150,1500,1350,400,550
33,carla,impuesto3,100,1196,1096,275,375
34,diego,impuesto3,100,1320,1220,375,475
44,diego,impuesto4,100,1220,1120,475,575
77,gema,impuesto3,100,1375,1275,575,675
95,elena,impuesto1,200,340,140,338,538
107,gema,impuesto1,200,1267,1067,538,738
110,javier,impuesto1,200,1312,1112,738,938
123,carla,impuesto2,150,672,522,469,619
125,elena,impuesto3,100,933,833,619,719
126,fernando,impuesto1,200,1184,984,719,919
129,irene,impuesto1,200,1493,1293,919,1119
134,diego,impuesto1,200,652,452,1119,1319
158,hugo,impuesto3,100,1048,948,660,760
164,diego,impuesto3,100,500,400,760,860
170,javier,impuesto1,200,924,724,860,1060
179,irene,impuesto1,200,1896,1696,1060,1260
190,javier,impuesto2,150,724,574,1260,1410
204,diego,impuesto2,150,484,334,705,855
228,hugo,impuesto4,100,1088,988,428,528
237,gema,impuesto4,100,1632,1532,528,628
239,irene,impuesto1,200,1688,1488,628,828
244,diego,impuesto1,200,342,142,828,1028
246,fernando,impuesto1,200,784,584,1028,1228
251,ana,impuesto3,100,608,508,1228,1328
255,elena,impuesto2,150,1320,1170,664,814
262,bob,impuesto3,100,1524,1424,407,507
268,hugo,impuesto3,100,992,892,507,607
276,fernando,impuesto3,100,552,452,304,404
331,ana,impuesto1,200,446,246,404,604
340,javier,impuesto2,150,589,439,604,754
342,bob,impuesto1,200,1624,1424,754,954
346,fernando,impuesto4,100,316,216,954,1054
353,carla,impuesto4,100,682,582,1054,1154
356,fernando,impuesto1,200,216,16,1154,1354
364,diego,impuesto3,100,509,409,1354,1454
375,elena,impuesto3,100,1898,1798,727,827
376,fernando,impuesto2,150,92,-58,827,977
390,carla,impuesto3,100,662,562,977,1077
395,irene,impuesto4,100,1058,958,1077,1177
398,bob,impuesto1,200,2375,2175,1177,1377
440,irene,impuesto4,100,918,818,1377,1477
448,hugo,impuesto4,100,572,472,1477,1577
449,irene,impuesto1,200,842,642,1577,1777
472,irene,impuesto3,100,634,534,889,989
475,carla,impuesto2,150,782,632,989,1139
486,gema,impuesto2,150,1164,1014,1139,1289
491,carla,impuesto3,100,676,576,645,745
498,bob,impuesto4,100,2263,2163,745,845
