turno,pagador,cobrador,propiedad,tipo,color,precio_casilla,alquiler_teorico,pago_real
12,diego,bob,rosa1,propiedad,rosa,140,28,28
14,bob,ana,estacion3,estacion,estacion,200,40,40
16,diego,carla,rosa3,propiedad,rosa,160,32,32
29,ana,bob,rosa1,propiedad,rosa,140,28,28
31,carla,bob,naranja3,propiedad,naranja,200,40,40
33,ana,bob,naranja3,propiedad,naranja,200,40,40
34,bob,carla,rosa3,propiedad,rosa,160,32,32
40,diego,ana,amarillo1,propiedad,amarillo,260,52,52
46,bob,ana,azul2,propiedad,azul,400,80,80
65,ana,carla,morado2,propiedad,morado,60,12,12
73,ana,carla,rojo3,propiedad,rojo,240,48,48
74,bob,diego,gris3,propiedad,gris,120,24,24
78,diego,carla,rosa2,propiedad,rosa,140,28,28
83,carla,ana,amarillo1,propiedad,amarillo,260,52,52
88,ana,diego,naranja2,propiedad,naranja,180,36,36
91,ana,carla,rojo3,propiedad,rojo,240,48,48
93,diego,ana,gris2,propiedad,gris,100,20,20
96,diego,carla,rosa3,propiedad,rosa,160,32,32
111,diego,carla,estacion1,estacion,estacion,200,40,40
114,diego,carla,rosa1,propiedad,rosa,140,28,28
116,carla,diego,rojo3,propiedad,rojo,240,48,48
118,ana,diego,gris3,propiedad,gris,120,24,24
124,ana,diego,naranja2,propiedad,naranja,180,36,36
128,carla,diego,gris3,propiedad,gris,120,24,24
140,carla,diego,verde2,propiedad,verde,300,60,60
155,carla,diego,rojo1,propiedad,rojo,220,44,44
191,ana,diego,verde2,propiedad,verde,300,60,60
