metrica,valor
total_turnos,200
jugadores_restantes,1
total_compras,47
total_alquileres,27
importe_total_alquileres,1036
total_impuestos,25
importe_total_impuestos,3700
total_premios_parking,6
importe_total_premios_parking,2546
caja_parking_final,1154
entradas_carcel,4
salidas_pagando,0
salidas_dobles,2
liberaciones_automaticas,2
turnos_perdidos_carcel,9
bancarrotas,13
jugadores_eliminados,3
jugadores_superan_bancarrota,10
valor_total_liquidado,4500
activos_restantes_banco,24
