jugador,propiedades_finales,dinero_final
ana,2,9780
bob,3,9312
carla,4,9256
diego,2,9544
elena,3,9264
fernando,3,9548
gema,2,9672
hugo,2,9436
irene,2,9656
javier,0,9772
