turno,pagador,cobrador,propiedad,tipo,color,precio_casilla,alquiler_teorico,pago_real,dinero_pagador_antes,dinero_pagador_despues,dinero_cobrador_antes,dinero_cobrador_despues
15,carla,ana,rojo2,propiedad,rojo,220,44,44,9880,9836,9640,9684
19,carla,bob,amarillo3,propiedad,amarillo,280,56,56,9836,9780,9340,9396
24,diego,carla,estacion4,estacion,estacion,200,40,40,9500,9460,9580,9620
27,carla,bob,morado2,propiedad,morado,60,12,12,9620,9608,9336,9348
28,diego,bob,morado2,propiedad,morado,60,12,12,9460,9448,9348,9360
30,bob,diego,rosa3,propiedad,rosa,160,32,32,9360,9328,9448,9480
36,diego,bob,naranja2,propiedad,naranja,180,36,36,9480,9444,9328,9364
39,carla,ana,rojo2,propiedad,rojo,220,44,44,9608,9564,9424,9468
45,ana,bob,azul1,propiedad,azul,350,70,70,9168,9098,9014,9084
48,diego,carla,azul2,propiedad,azul,400,80,80,9444,9364,9164,9244
49,ana,bob,estacion1,estacion,estacion,200,40,40,9098,9058,9084,9124
57,ana,bob,naranja2,propiedad,naranja,180,36,36,9058,9022,8844,8880
58,bob,diego,rojo3,propiedad,rojo,240,48,48,8880,8832,9364,9412
59,carla,ana,amarillo2,propiedad,amarillo,260,52,52,9104,9052,9022,9074
66,bob,ana,verde3,propiedad,verde,320,64,64,8832,8768,8754,8818
67,carla,diego,gris2,propiedad,gris,100,20,20,9052,9032,9212,9232
73,ana,bob,gris1,propiedad,gris,100,20,20,8818,8798,8768,8788
74,bob,diego,gris2,propiedad,gris,100,20,20,8788,8768,9232,9252
80,diego,bob,naranja1,propiedad,naranja,180,36,36,9252,9216,8768,8804
81,ana,diego,estacion3,estacion,estacion,200,40,40,8798,8758,9216,9256
82,bob,diego,rojo3,propiedad,rojo,240,48,48,8804,8756,9256,9304
83,carla,bob,azul1,propiedad,azul,350,70,70,8272,8202,8756,8826
86,bob,ana,verde3,propiedad,verde,320,64,64,8826,8762,8758,8822
88,diego,bob,amarillo3,propiedad,amarillo,280,56,56,9304,9248,8762,8818
91,carla,bob,gris1,propiedad,gris,100,20,20,8142,8122,8818,8838
94,bob,carla,gris3,propiedad,gris,120,24,24,8838,8814,8122,8146
95,carla,ana,rosa2,propiedad,rosa,140,28,28,8146,8118,8822,8850
98,bob,carla,naranja3,propiedad,naranja,200,40,40,8814,8774,8118,8158
101,ana,bob,naranja1,propiedad,naranja,180,36,36,8850,8814,8774,8810
102,bob,carla,amarillo1,propiedad,amarillo,260,52,52,8810,8758,7938,7990
107,carla,ana,verde3,propiedad,verde,320,64,64,7990,7926,8814,8878
112,diego,ana,amarillo2,propiedad,amarillo,260,52,52,9248,9196,8878,8930
117,ana,bob,morado2,propiedad,morado,60,12,12,8930,8918,8758,8770
118,bob,ana,rosa2,propiedad,rosa,140,28,28,8770,8742,8918,8946
119,carla,diego,rosa3,propiedad,rosa,160,32,32,7926,7894,9196,9228
121,ana,carla,rosa1,propiedad,rosa,140,28,28,8946,8918,7894,7922
124,diego,bob,estacion1,estacion,estacion,200,40,40,9228,9188,8742,8782
125,ana,carla,naranja3,propiedad,naranja,200,40,40,8918,8878,7922,7962
126,bob,carla,amarillo1,propiedad,amarillo,260,52,52,8782,8730,7962,8014
127,carla,bob,amarillo3,propiedad,amarillo,280,56,56,8014,7958,8730,8786
130,bob,carla,estacion4,estacion,estacion,200,40,40,8786,8746,7958,7998
131,carla,ana,verde3,propiedad,verde,320,64,64,7998,7934,8878,8942
133,ana,carla,verde2,propiedad,verde,300,60,60,8942,8882,7934,7994
136,diego,ana,rojo2,propiedad,rojo,220,44,44,8988,8944,8882,8926
138,bob,carla,gris3,propiedad,gris,120,24,24,8746,8722,7994,8018
139,carla,diego,gris2,propiedad,gris,100,20,20,8018,7998,8944,8964
142,bob,carla,naranja3,propiedad,naranja,200,40,40,8722,8682,7998,8038
144,diego,carla,azul2,propiedad,azul,400,80,80,8964,8884,8038,8118
145,ana,carla,rojo1,propiedad,rojo,220,44,44,8926,8882,8118,8162
146,bob,diego,estacion3,estacion,estacion,200,40,40,8682,8642,8884,8924
157,ana,carla,morado1,propiedad,morado,60,12,12,8882,8870,8162,8174
160,diego,carla,rojo1,propiedad,rojo,220,44,44,8924,8880,8174,8218
161,ana,bob,gris1,propiedad,gris,100,20,20,8870,8850,8642,8662
162,bob,diego,rosa3,propiedad,rosa,160,32,32,8662,8630,8880,8912
163,carla,diego,gris2,propiedad,gris,100,20,20,8218,8198,8912,8932
164,diego,bob,amarillo3,propiedad,amarillo,280,56,56,8932,8876,8630,8686
165,ana,diego,estacion2,estacion,estacion,200,40,40,8850,8810,8876,8916
166,bob,ana,rojo2,propiedad,rojo,220,44,44,8686,8642,8810,8854
168,diego,carla,estacion4,estacion,estacion,200,40,40,8916,8876,8198,8238
172,diego,carla,morado1,propiedad,morado,60,12,12,8876,8864,8238,8250
174,bob,carla,morado1,propiedad,morado,60,12,12,8642,8630,8250,8262
175,carla,ana,verde3,propiedad,verde,320,64,64,8262,8198,8854,8918
181,ana,carla,morado1,propiedad,morado,60,12,12,8918,8906,8198,8210
183,carla,bob,gris1,propiedad,gris,100,20,20,8210,8190,8630,8650
188,diego,carla,amarillo1,propiedad,amarillo,260,52,52,8864,8812,8190,8242
190,bob,diego,estacion2,estacion,estacion,200,40,40,8650,8610,8812,8852
192,diego,bob,amarillo3,propiedad,amarillo,280,56,56,8852,8796,8610,8666
194,bob,ana,rojo2,propiedad,rojo,220,44,44,8666,8622,8906,8950
195,carla,diego,estacion3,estacion,estacion,200,40,40,8242,8202,8796,8836
197,ana,carla,verde2,propiedad,verde,300,60,60,8950,8890,8202,8262
198,bob,ana,verde3,propiedad,verde,320,64,64,8622,8558,8890,8954
199,carla,ana,verde1,propiedad,verde,300,60,60,8262,8202,8954,9014
200,diego,bob,estacion1,estacion,estacion,200,40,40,8836,8796,8558,8598
202,bob,carla,morado1,propiedad,morado,60,12,12,8598,8586,8202,8214
203,carla,bob,azul1,propiedad,azul,350,70,70,8214,8144,8586,8656
206,bob,diego,gris2,propiedad,gris,100,20,20,8656,8636,8796,8816
207,carla,bob,estacion1,estacion,estacion,200,40,40,8144,8104,8636,8676
209,ana,carla,rosa1,propiedad,rosa,140,28,28,9014,8986,8104,8132
210,bob,carla,naranja3,propiedad,naranja,200,40,40,8676,8636,8132,8172
213,ana,bob,naranja1,propiedad,naranja,180,36,36,8986,8950,8636,8672
214,bob,ana,amarillo2,propiedad,amarillo,260,52,52,8672,8620,8950,9002
217,ana,carla,rojo1,propiedad,rojo,220,44,44,9002,8958,8172,8216
218,bob,ana,verde3,propiedad,verde,320,64,64,8620,8556,8958,9022
219,carla,diego,estacion3,estacion,estacion,200,40,40,8216,8176,8816,8856
221,ana,diego,estacion3,estacion,estacion,200,40,40,9022,8982,8856,8896
224,diego,bob,estacion1,estacion,estacion,200,40,40,8896,8856,8556,8596
