turno,alquileres_acumulados,importe_acumulado
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,1,44
16,1,44
17,1,44
18,1,44
19,2,100
20,2,100
21,2,100
22,2,100
23,2,100
24,3,140
25,3,140
26,3,140
27,4,152
28,5,164
29,5,164
30,6,196
31,6,196
32,6,196
33,6,196
34,6,196
35,6,196
36,7,232
37,7,232
38,7,232
39,8,276
40,8,276
41,8,276
42,8,276
43,8,276
44,8,276
45,9,346
46,9,346
47,9,346
48,10,426
49,11,466
50,11,466
51,11,466
52,11,466
53,11,466
54,11,466
55,11,466
56,11,466
57,12,502
58,13,550
59,14,602
60,14,602
61,14,602
62,14,602
63,14,602
64,14,602
65,14,602
66,15,666
67,16,686
68,16,686
69,16,686
70,16,686
71,16,686
72,16,686
73,17,706
74,18,726
75,18,726
76,18,726
77,18,726
78,18,726
79,18,726
80,19,762
81,20,802
82,21,850
83,22,920
84,22,920
85,22,920
86,23,984
87,23,984
88,24,1040
89,24,1040
90,24,1040
91,25,1060
92,25,1060
93,25,1060
94,26,1084
95,27,1112
96,27,1112
97,27,1112
98,28,1152
99,28,1152
100,28,1152
101,29,1188
102,30,1240
103,30,1240
104,30,1240
105,30,1240
106,30,1240
107,31,1304
108,31,1304
109,31,1304
110,31,1304
111,31,1304
112,32,1356
113,32,1356
114,32,1356
115,32,1356
116,32,1356
117,33,1368
118,34,1396
119,35,1428
120,35,1428
121,36,1456
122,36,1456
123,36,1456
124,37,1496
125,38,1536
126,39,1588
127,40,1644
128,40,1644
129,40,1644
130,41,1684
131,42,1748
132,42,1748
133,43,1808
134,43,1808
135,43,1808
136,44,1852
137,44,1852
138,45,1876
139,46,1896
140,46,1896
141,46,1896
142,47,1936
143,47,1936
144,48,2016
145,49,2060
146,50,2100
147,50,2100
148,50,2100
149,50,2100
150,50,2100
151,50,2100
152,50,2100
153,50,2100
154,50,2100
155,50,2100
156,50,2100
157,51,2112
158,51,2112
159,51,2112
160,52,2156
161,53,2176
162,54,2208
163,55,2228
164,56,2284
165,57,2324
166,58,2368
167,58,2368
168,59,2408
169,59,2408
170,59,2408
171,59,2408
172,60,2420
173,60,2420
174,61,2432
175,62,2496
176,62,2496
177,62,2496
178,62,2496
179,62,2496
180,62,2496
181,63,2508
182,63,2508
183,64,2528
184,64,2528
185,64,2528
186,64,2528
187,64,2528
188,65,2580
189,65,2580
190,66,2620
191,66,2620
192,67,2676
193,67,2676
194,68,2720
195,69,2760
196,69,2760
197,70,2820
198,71,2884
199,72,2944
200,73,2984
201,73,2984
202,74,2996
203,75,3066
204,75,3066
205,75,3066
206,76,3086
207,77,3126
208,77,3126
209,78,3154
210,79,3194
211,79,3194
212,79,3194
213,80,3230
214,81,3282
215,81,3282
216,81,3282
217,82,3326
218,83,3390
219,84,3430
220,84,3430
221,85,3470
222,85,3470
223,85,3470
224,86,3510
225,86,3510
226,87,3530
227,87,3530
228,88,3558
229,89,3638
230,90,3666
231,91,3694
232,91,3694
233,92,3706
234,93,3750
235,93,3750
236,94,3806
237,94,3806
238,94,3806
239,95,3862
240,96,3932
241,97,3976
242,97,3976
243,97,3976
244,98,4016
245,98,4016
246,99,4096
247,99,4096
248,99,4096
249,99,4096
250,99,4096
251,99,4096
252,100,4136
253,100,4136
254,101,4164
255,101,4164
256,101,4164
257,101,4164
258,102,4208
259,103,4272
260,103,4272
261,104,4312
262,104,4312
263,104,4312
264,105,4372
265,106,4412
266,107,4492
267,108,4504
268,109,4516
269,109,4516
270,109,4516
271,110,4536
272,110,4536
273,110,4536
274,111,4568
275,112,4608
276,113,4644
277,113,4644
278,114,4692
279,115,4736
280,115,4736
281,115,4736
282,116,4796
283,116,4796
284,117,4848
285,118,4884
286,118,4884
287,118,4884
288,119,4944
289,120,4988
290,120,4988
291,121,5008
292,122,5088
293,122,5088
294,122,5088
295,122,5088
296,123,5128
297,124,5198
298,124,5198
299,125,5234
300,125,5234
301,126,5274
302,127,5318
303,127,5318
304,127,5318
305,127,5318
306,128,5378
307,129,5438
308,129,5438
309,130,5486
310,130,5486
311,130,5486
312,131,5538
313,132,5590
314,132,5590
315,133,5602
316,134,5642
317,134,5642
318,135,5674
319,135,5674
320,136,5714
321,137,5734
322,138,5782
323,139,5810
324,140,5838
325,141,5878
326,141,5878
327,141,5878
328,142,5918
329,142,5918
330,142,5918
331,142,5918
332,142,5918
333,143,5958
334,143,5958
335,144,6028
336,145,6080
337,146,6120
338,146,6120
339,147,6132
340,147,6132
341,147,6132
342,148,6172
343,148,6172
344,149,6184
345,150,6208
346,150,6208
347,150,6208
348,150,6208
349,151,6240
350,152,6280
351,152,6280
352,153,6308
353,154,6352
354,154,6352
355,154,6352
356,155,6392
357,155,6392
358,155,6392
359,155,6392
360,155,6392
361,156,6432
362,157,6472
363,158,6492
364,159,6552
365,160,6564
366,160,6564
367,161,6592
368,161,6592
369,162,6620
370,162,6620
371,163,6668
372,164,6680
373,165,6724
374,165,6724
375,166,6776
376,166,6776
377,167,6828
378,168,6908
379,168,6908
380,168,6908
381,169,6968
382,169,6968
383,169,6968
384,170,7008
385,171,7020
386,172,7048
387,172,7048
388,173,7100
389,174,7140
390,175,7188
391,176,7220
392,177,7284
393,177,7284
394,178,7344
395,178,7344
396,178,7344
397,179,7384
398,180,7464
399,181,7516
400,181,7516
