turno,jugador,propiedades_despues
203,carla,6
207,carla,6
211,carla,6
215,carla,6
219,carla,6
223,carla,6
227,carla,6
231,carla,6
235,carla,6
239,carla,6
243,carla,6
247,carla,6
251,carla,6
255,carla,6
259,carla,6
263,carla,6
267,carla,6
271,carla,6
275,carla,6
279,carla,6
283,carla,6
287,carla,6
291,carla,6
295,carla,6
299,carla,6
303,carla,6
307,carla,6
311,carla,6
315,carla,6
319,carla,6
323,carla,6
327,carla,6
331,carla,6
335,carla,6
339,carla,6
343,carla,6
347,carla,6
351,carla,6
355,carla,6
359,carla,6
363,carla,6
367,carla,6
371,carla,6
375,carla,6
379,carla,6
383,carla,6
387,carla,6
391,carla,6
395,carla,6
399,carla,6
4,diego,0
8,diego,1
12,diego,1
16,diego,1
20,diego,1
24,diego,1
28,diego,1
32,diego,1
36,diego,2
40,diego,2
44,diego,2
48,diego,3
52,diego,3
56,diego,3
60,diego,3
64,diego,3
68,diego,4
72,diego,4
76,diego,4
80,diego,4
84,diego,4
88,diego,4
92,diego,4
96,diego,4
100,diego,4
104,diego,4
108,diego,4
112,diego,4
116,diego,4
120,diego,4
124,diego,4
128,diego,4
132,diego,4
136,diego,4
140,diego,4
144,diego,4
148,diego,4
152,diego,4
156,diego,4
160,diego,4
164,diego,4
168,diego,4
172,diego,4
176,diego,4
180,diego,4
184,diego,4
188,diego,4
192,diego,4
196,diego,4
200,diego,4
204,diego,4
208,diego,4
212,diego,4
216,diego,4
220,diego,4
224,diego,4
228,diego,4
232,diego,4
236,diego,4
240,diego,4
244,diego,4
248,diego,4
252,diego,4
256,diego,4
260,diego,4
264,diego,4
268,diego,4
272,diego,4
276,diego,4
280,diego,4
284,diego,4
288,diego,4
292,diego,4
296,diego,4
300,diego,4
304,diego,4
308,diego,4
312,diego,4
316,diego,4
320,diego,4
324,diego,4
328,diego,4
332,diego,4
336,diego,4
340,diego,4
344,diego,4
348,diego,4
352,diego,4
356,diego,4
360,diego,4
364,diego,4
368,diego,4
372,diego,4
376,diego,4
380,diego,4
384,diego,4
388,diego,4
392,diego,4
396,diego,4
400,diego,4
