turno,jugador,dinero_final_turno
1,ana,9900
5,ana,9720
9,ana,9720
13,ana,9520
17,ana,9560
21,ana,9160
25,ana,9120
29,ana,9092
33,ana,9052
37,ana,8792
41,ana,8844
45,ana,8844
49,ana,8924
53,ana,8724
57,ana,8464
2,bob,9900
6,bob,9760
10,bob,9560
14,bob,9548
18,bob,9548
22,bob,9348
26,bob,9348
30,bob,9404
34,bob,9412
38,bob,9192
42,bob,9136
46,bob,9056
50,bob,9056
54,bob,9056
58,bob,9056
3,carla,10000
7,carla,9840
11,carla,9840
15,carla,9840
19,carla,9872
23,carla,9672
27,carla,9684
31,carla,9684
35,carla,9476
39,carla,9196
43,carla,8932
47,carla,8932
51,carla,8932
55,carla,8932
59,carla,8932
4,diego,10000
8,diego,9880
12,diego,9852
16,diego,9820
20,diego,9820
24,diego,9820
28,diego,9820
32,diego,9820
36,diego,9640
40,diego,9588
44,diego,9588
48,diego,9528
52,diego,9528
56,diego,9528
60,diego,9528
