turno,jugador,propiedades_despues
1,ana,0
3,ana,1
5,ana,1
7,ana,1
9,ana,2
11,ana,3
13,ana,3
15,ana,3
17,ana,3
19,ana,3
21,ana,4
23,ana,5
25,ana,5
27,ana,5
29,ana,6
31,ana,7
33,ana,7
35,ana,7
37,ana,7
39,ana,7
41,ana,7
43,ana,7
45,ana,8
47,ana,8
49,ana,8
51,ana,9
53,ana,9
55,ana,9
57,ana,9
59,ana,9
61,ana,9
63,ana,9
65,ana,9
67,ana,10
69,ana,10
71,ana,10
73,ana,10
75,ana,10
77,ana,10
79,ana,10
81,ana,10
83,ana,10
85,ana,10
87,ana,10
89,ana,10
91,ana,10
93,ana,10
95,ana,10
97,ana,10
99,ana,10
2,bob,1
4,bob,1
6,bob,2
8,bob,3
10,bob,4
12,bob,5
14,bob,5
16,bob,5
18,bob,5
20,bob,6
22,bob,6
24,bob,6
26,bob,6
28,bob,7
30,bob,7
32,bob,7
34,bob,8
36,bob,9
38,bob,9
40,bob,9
42,bob,10
44,bob,10
46,bob,10
48,bob,10
50,bob,10
52,bob,11
54,bob,11
56,bob,11
58,bob,11
60,bob,11
62,bob,11
64,bob,12
66,bob,13
68,bob,13
70,bob,13
72,bob,13
74,bob,13
76,bob,13
78,bob,13
80,bob,13
82,bob,13
84,bob,13
86,bob,14
88,bob,14
90,bob,14
92,bob,14
94,bob,14
96,bob,14
98,bob,14
100,bob,14
