jugador,total_pagado_alquiler,total_cobrado_alquiler,balance_alquiler
ana,140,442,302
bob,444,364,-80
carla,396,488,92
diego,376,360,-16
elena,416,408,-8
fernando,398,728,330
gema,316,548,232
hugo,352,176,-176
irene,328,164,-164
javier,596,84,-512
