jugador,propiedades_finales,dinero_final
ana,4,9250
bob,3,9280
carla,4,9160
diego,2,9600
elena,3,9240
fernando,3,9340
gema,2,9540
hugo,2,9560
irene,2,9780
javier,1,9860
