turno,indice_jugador,jugador,dado1,dado2,suma,posicion_anterior,posicion_nueva,paso_salida,nombre_casilla,tipo_casilla,precio_casilla,color_casilla,compra_realizada,dinero_antes_compra,dinero_despues_compra,propiedades_antes,propiedades_despues
1,1,ana,3,4,7,1,8,no,suerte2,suerte,0,ninguno,no,10000,10000,0,0
2,2,bob,2,3,5,1,6,no,estacion1,estacion,200,estacion,si,10000,9800,0,1
3,3,carla,3,1,4,1,5,no,impuesto1,impuesto,200,ninguno,no,10000,10000,0,0
4,4,diego,6,2,8,1,9,no,gris2,propiedad,100,gris,si,10000,9900,0,1
5,1,ana,5,1,6,8,14,no,rosa2,propiedad,140,rosa,si,10000,9860,0,1
6,2,bob,1,1,2,6,8,no,suerte2,suerte,0,ninguno,no,9800,9800,1,1
7,3,carla,4,1,5,5,10,no,gris3,propiedad,120,gris,si,10000,9880,0,1
8,4,diego,1,5,6,9,15,no,rosa3,propiedad,160,rosa,si,9900,9740,1,2
9,1,ana,4,6,10,14,24,no,rojo2,propiedad,220,rojo,si,9860,9640,1,2
10,2,bob,2,1,3,8,11,no,visita_carcel,visita_carcel,0,ninguno,no,9800,9800,1,1
11,3,carla,6,5,11,10,21,no,parking,parking,0,ninguno,no,9880,9880,1,1
12,4,diego,2,1,3,15,18,no,suerte3,suerte,0,ninguno,no,9740,9740,2,2
13,1,ana,6,4,10,24,34,no,suerte5,suerte,0,ninguno,no,9640,9640,2,2
14,2,bob,5,3,8,11,19,no,naranja2,propiedad,180,naranja,si,9800,9620,1,2
15,3,carla,1,2,3,21,24,no,rojo2,propiedad,220,rojo,no,9880,9880,1,1
16,4,diego,3,4,7,18,25,no,rojo3,propiedad,240,rojo,si,9740,9500,2,3
17,1,ana,1,4,5,34,39,no,impuesto4,impuesto,100,ninguno,no,9640,9640,2,2
18,2,bob,5,6,11,19,30,no,amarillo3,propiedad,280,amarillo,si,9620,9340,2,3
19,3,carla,4,2,6,24,30,no,amarillo3,propiedad,280,amarillo,no,9880,9880,1,1
20,4,diego,3,6,9,25,34,no,suerte5,suerte,0,ninguno,no,9500,9500,3,3
21,1,ana,2,4,6,39,5,si,impuesto1,impuesto,200,ninguno,no,9640,9640,2,2
22,2,bob,6,1,7,30,37,no,suerte6,suerte,0,ninguno,no,9340,9340,3,3
23,3,carla,5,1,6,30,36,no,estacion4,estacion,200,estacion,si,9880,9680,1,2
24,4,diego,1,1,2,34,36,no,estacion4,estacion,200,estacion,no,9500,9500,3,3
25,1,ana,4,5,9,5,14,no,rosa2,propiedad,140,rosa,no,9640,9640,2,2
26,2,bob,2,5,7,37,4,si,morado2,propiedad,60,morado,si,9340,9280,3,4
27,3,carla,3,5,8,36,4,si,morado2,propiedad,60,morado,no,9680,9680,2,2
28,4,diego,2,6,8,36,4,si,morado2,propiedad,60,morado,no,9500,9500,3,3
29,1,ana,2,2,4,14,18,no,suerte3,suerte,0,ninguno,no,9640,9640,2,2
30,2,bob,5,6,11,4,15,no,rosa3,propiedad,160,rosa,no,9280,9280,4,4
31,3,carla,3,4,7,4,11,no,visita_carcel,visita_carcel,0,ninguno,no,9680,9680,2,2
32,4,diego,6,1,7,4,11,no,visita_carcel,visita_carcel,0,ninguno,no,9500,9500,3,3
33,1,ana,2,3,5,18,23,no,suerte4,suerte,0,ninguno,no,9640,9640,2,2
34,2,bob,6,2,8,15,23,no,suerte4,suerte,0,ninguno,no,9280,9280,4,4
35,3,carla,2,5,7,11,18,no,suerte3,suerte,0,ninguno,no,9680,9680,2,2
36,4,diego,3,5,8,11,19,no,naranja2,propiedad,180,naranja,no,9500,9500,3,3
37,1,ana,4,1,5,23,28,no,amarillo2,propiedad,260,amarillo,si,9640,9380,2,3
38,2,bob,2,5,7,23,30,no,amarillo3,propiedad,280,amarillo,no,9280,9280,4,4
39,3,carla,1,5,6,18,24,no,rojo2,propiedad,220,rojo,no,9680,9680,2,2
40,4,diego,4,6,10,19,29,no,impuesto3,impuesto,100,ninguno,no,9500,9500,3,3
41,1,ana,3,1,4,28,32,no,verde1,propiedad,300,verde,si,9380,9080,3,4
42,2,bob,3,5,8,30,38,no,azul1,propiedad,350,azul,si,9280,8930,4,5
43,3,carla,1,4,5,24,29,no,impuesto3,impuesto,100,ninguno,no,9680,9680,2,2
44,4,diego,3,2,5,29,34,no,suerte5,suerte,0,ninguno,no,9500,9500,3,3
45,1,ana,2,4,6,32,38,no,azul1,propiedad,350,azul,no,9080,9080,4,4
46,2,bob,3,3,6,38,4,si,morado2,propiedad,60,morado,no,8930,8930,5,5
47,3,carla,5,6,11,29,40,no,azul2,propiedad,400,azul,si,9680,9280,2,3
48,4,diego,2,4,6,34,40,no,azul2,propiedad,400,azul,no,9500,9500,3,3
49,1,ana,6,2,8,38,6,si,estacion1,estacion,200,estacion,no,9080,9080,4,4
50,2,bob,2,1,3,4,7,no,gris1,propiedad,100,gris,si,8930,8830,5,6
51,3,carla,6,6,12,40,12,si,rosa1,propiedad,140,rosa,si,9280,9140,3,4
52,4,diego,5,4,9,40,9,si,gris2,propiedad,100,gris,no,9500,9500,3,3
53,1,ana,1,1,2,6,8,no,suerte2,suerte,0,ninguno,no,9080,9080,4,4
54,2,bob,4,6,10,7,17,no,naranja1,propiedad,180,naranja,si,8830,8650,6,7
55,3,carla,6,3,9,12,21,no,parking,parking,0,ninguno,no,9140,9140,4,4
56,4,diego,3,6,9,9,18,no,suerte3,suerte,0,ninguno,no,9500,9500,3,3
57,1,ana,5,6,11,8,19,no,naranja2,propiedad,180,naranja,no,9080,9080,4,4
58,2,bob,4,4,8,17,25,no,rojo3,propiedad,240,rojo,no,8650,8650,7,7
59,3,carla,1,6,7,21,28,no,amarillo2,propiedad,260,amarillo,no,9140,9140,4,4
60,4,diego,6,2,8,18,26,no,estacion3,estacion,200,estacion,si,9500,9300,3,4
61,1,ana,3,6,9,19,28,no,amarillo2,propiedad,260,amarillo,no,9080,9080,4,4
62,2,bob,3,1,4,25,29,no,impuesto3,impuesto,100,ninguno,no,8650,8650,7,7
63,3,carla,6,6,12,28,40,no,azul2,propiedad,400,azul,no,9140,9140,4,4
64,4,diego,6,2,8,26,34,no,suerte5,suerte,0,ninguno,no,9300,9300,4,4
65,1,ana,4,3,7,28,35,no,verde3,propiedad,320,verde,si,9080,8760,4,5
66,2,bob,3,3,6,29,35,no,verde3,propiedad,320,verde,no,8650,8650,7,7
67,3,carla,5,4,9,40,9,si,gris2,propiedad,100,gris,no,9140,9140,4,4
68,4,diego,1,4,5,34,39,no,impuesto4,impuesto,100,ninguno,no,9300,9300,4,4
69,1,ana,3,3,6,35,1,si,salida,salida,0,ninguno,no,8760,8760,5,5
70,2,bob,3,3,6,35,1,si,salida,salida,0,ninguno,no,8650,8650,7,7
71,3,carla,6,5,11,9,20,no,naranja3,propiedad,200,naranja,si,9140,8940,4,5
72,4,diego,6,3,9,39,8,si,suerte2,suerte,0,ninguno,no,9300,9300,4,4
73,1,ana,4,2,6,1,7,no,gris1,propiedad,100,gris,no,8760,8760,5,5
74,2,bob,5,3,8,1,9,no,gris2,propiedad,100,gris,no,8650,8650,7,7
75,3,carla,6,1,7,20,27,no,amarillo1,propiedad,260,amarillo,si,8940,8680,5,6
76,4,diego,1,4,5,8,13,no,impuesto2,impuesto,150,ninguno,no,9300,9300,4,4
77,1,ana,3,4,7,7,14,no,rosa2,propiedad,140,rosa,no,8760,8760,5,5
78,2,bob,2,6,8,9,17,no,naranja1,propiedad,180,naranja,no,8650,8650,7,7
79,3,carla,5,1,6,27,33,no,verde2,propiedad,300,verde,si,8680,8380,6,7
80,4,diego,2,2,4,13,17,no,naranja1,propiedad,180,naranja,no,9300,9300,4,4
81,1,ana,6,6,12,14,26,no,estacion3,estacion,200,estacion,no,8760,8760,5,5
82,2,bob,2,6,8,17,25,no,rojo3,propiedad,240,rojo,no,8650,8650,7,7
83,3,carla,3,2,5,33,38,no,azul1,propiedad,350,azul,no,8380,8380,7,7
84,4,diego,1,3,4,17,21,no,parking,parking,0,ninguno,no,9300,9300,4,4
85,1,ana,1,5,6,26,32,no,verde1,propiedad,300,verde,no,8760,8760,5,5
86,2,bob,5,5,10,25,35,no,verde3,propiedad,320,verde,no,8650,8650,7,7
87,3,carla,2,2,4,38,2,si,morado1,propiedad,60,morado,si,8380,8320,7,8
88,4,diego,5,4,9,21,30,no,amarillo3,propiedad,280,amarillo,no,9300,9300,4,4
89,1,ana,5,6,11,32,3,si,suerte1,suerte,0,ninguno,no,8760,8760,5,5
90,2,bob,4,2,6,35,1,si,salida,salida,0,ninguno,no,8650,8650,7,7
91,3,carla,1,4,5,2,7,no,gris1,propiedad,100,gris,no,8320,8320,8,8
92,4,diego,4,3,7,30,37,no,suerte6,suerte,0,ninguno,no,9300,9300,4,4
93,1,ana,1,1,2,3,5,no,impuesto1,impuesto,200,ninguno,no,8760,8760,5,5
94,2,bob,5,4,9,1,10,no,gris3,propiedad,120,gris,no,8650,8650,7,7
95,3,carla,2,5,7,7,14,no,rosa2,propiedad,140,rosa,no,8320,8320,8,8
96,4,diego,4,4,8,37,5,si,impuesto1,impuesto,200,ninguno,no,9300,9300,4,4
97,1,ana,1,5,6,5,11,no,visita_carcel,visita_carcel,0,ninguno,no,8760,8760,5,5
98,2,bob,4,6,10,10,20,no,naranja3,propiedad,200,naranja,no,8650,8650,7,7
99,3,carla,6,2,8,14,22,no,rojo1,propiedad,220,rojo,si,8320,8100,8,9
100,4,diego,3,1,4,5,9,no,gris2,propiedad,100,gris,no,9300,9300,4,4
101,1,ana,3,3,6,11,17,no,naranja1,propiedad,180,naranja,no,8760,8760,5,5
102,2,bob,1,6,7,20,27,no,amarillo1,propiedad,260,amarillo,no,8650,8650,7,7
103,3,carla,5,4,9,22,31,no,carcel,carcel,0,ninguno,no,8100,8100,9,9
104,4,diego,5,1,6,9,15,no,rosa3,propiedad,160,rosa,no,9300,9300,4,4
105,1,ana,5,1,6,17,23,no,suerte4,suerte,0,ninguno,no,8760,8760,5,5
106,2,bob,6,5,11,27,38,no,azul1,propiedad,350,azul,no,8650,8650,7,7
107,3,carla,1,3,4,31,35,no,verde3,propiedad,320,verde,no,8100,8100,9,9
108,4,diego,3,3,6,15,21,no,parking,parking,0,ninguno,no,9300,9300,4,4
109,1,ana,2,3,5,23,28,no,amarillo2,propiedad,260,amarillo,no,8760,8760,5,5
110,2,bob,1,2,3,38,1,si,salida,salida,0,ninguno,no,8650,8650,7,7
111,3,carla,5,5,10,35,5,si,impuesto1,impuesto,200,ninguno,no,8100,8100,9,9
112,4,diego,4,3,7,21,28,no,amarillo2,propiedad,260,amarillo,no,9300,9300,4,4
113,1,ana,5,2,7,28,35,no,verde3,propiedad,320,verde,no,8760,8760,5,5
