turno,jugador,propiedad,tipo,color,precio
1,ana,gris2,propiedad,gris,100
2,bob,gris1,propiedad,gris,100
5,ana,naranja1,propiedad,naranja,180
6,bob,rosa1,propiedad,rosa,140
7,carla,rosa3,propiedad,rosa,160
8,diego,gris3,propiedad,gris,120
10,bob,naranja3,propiedad,naranja,200
13,ana,estacion3,estacion,estacion,200
21,ana,azul2,propiedad,azul,400
22,bob,estacion4,estacion,estacion,200
23,carla,estacion1,estacion,estacion,200
35,carla,rojo3,propiedad,rojo,240
36,diego,naranja2,propiedad,naranja,180
37,ana,amarillo1,propiedad,amarillo,260
38,bob,rojo1,propiedad,rojo,220
39,carla,amarillo3,propiedad,amarillo,280
43,carla,verde3,propiedad,verde,320
48,diego,morado1,propiedad,morado,60
53,ana,estacion2,estacion,estacion,200
57,ana,amarillo2,propiedad,amarillo,260
65,ana,morado2,propiedad,morado,60
68,diego,verde2,propiedad,verde,300
79,carla,rosa2,propiedad,rosa,140
82,bob,rojo2,propiedad,rojo,220
90,bob,verde1,propiedad,verde,300
105,ana,azul1,propiedad,azul,350
