jugador,posicion,nombre_casilla,visitas
ana,1,salida,2
ana,2,morado1,4
ana,3,suerte1,2
ana,4,morado2,2
ana,5,impuesto1,4
ana,6,estacion1,4
ana,7,gris1,2
ana,8,suerte2,5
ana,9,gris2,3
ana,10,gris3,6
ana,11,visita_carcel,2
ana,12,rosa1,3
ana,13,impuesto2,5
ana,14,rosa2,3
ana,15,rosa3,6
ana,16,estacion2,1
ana,17,naranja1,5
ana,18,suerte3,2
ana,19,naranja2,2
ana,20,naranja3,2
ana,21,parking,1
ana,22,rojo1,3
ana,23,suerte4,1
ana,24,rojo2,5
ana,25,rojo3,2
ana,26,estacion3,4
ana,27,amarillo1,4
ana,28,amarillo2,3
ana,29,impuesto3,4
ana,30,amarillo3,2
ana,31,carcel,4
ana,32,verde1,4
ana,33,verde2,3
ana,34,suerte5,4
ana,35,verde3,2
ana,36,estacion4,2
ana,37,suerte6,1
ana,38,azul1,5
ana,39,impuesto4,1
ana,40,azul2,5
bob,1,salida,2
bob,2,morado1,4
bob,3,suerte1,4
bob,4,morado2,2
bob,5,impuesto1,2
bob,6,estacion1,3
bob,7,gris1,5
bob,8,suerte2,4
bob,9,gris2,2
bob,10,gris3,4
bob,11,visita_carcel,4
bob,12,rosa1,0
bob,13,impuesto2,4
bob,14,rosa2,2
bob,15,rosa3,4
bob,16,estacion2,4
bob,17,naranja1,3
bob,18,suerte3,2
bob,19,naranja2,7
bob,20,naranja3,4
bob,21,parking,1
bob,22,rojo1,6
bob,23,suerte4,2
bob,24,rojo2,0
bob,25,rojo3,4
bob,26,estacion3,1
bob,27,amarillo1,4
bob,28,amarillo2,4
bob,29,impuesto3,2
bob,30,amarillo3,5
bob,31,carcel,4
bob,32,verde1,3
bob,33,verde2,1
bob,34,suerte5,4
bob,35,verde3,4
bob,36,estacion4,2
bob,37,suerte6,3
bob,38,azul1,3
bob,39,impuesto4,4
bob,40,azul2,2
carla,1,salida,3
carla,2,morado1,6
carla,3,suerte1,2
carla,4,morado2,2
carla,5,impuesto1,3
carla,6,estacion1,2
carla,7,gris1,3
carla,8,suerte2,7
carla,9,gris2,1
carla,10,gris3,2
carla,11,visita_carcel,4
carla,12,rosa1,2
carla,13,impuesto2,3
carla,14,rosa2,3
carla,15,rosa3,4
carla,16,estacion2,2
carla,17,naranja1,4
carla,18,suerte3,3
carla,19,naranja2,4
carla,20,naranja3,1
carla,21,parking,4
carla,22,rojo1,3
carla,23,suerte4,5
carla,24,rojo2,3
carla,25,rojo3,4
carla,26,estacion3,0
carla,27,amarillo1,5
carla,28,amarillo2,2
carla,29,impuesto3,6
carla,30,amarillo3,3
carla,31,carcel,3
carla,32,verde1,1
carla,33,verde2,3
carla,34,suerte5,4
carla,35,verde3,5
carla,36,estacion4,3
carla,37,suerte6,3
carla,38,azul1,1
carla,39,impuesto4,4
carla,40,azul2,2
diego,1,salida,1
diego,2,morado1,1
diego,3,suerte1,5
diego,4,morado2,5
diego,5,impuesto1,3
diego,6,estacion1,3
diego,7,gris1,2
diego,8,suerte2,3
diego,9,gris2,4
diego,10,gris3,3
diego,11,visita_carcel,3
diego,12,rosa1,2
diego,13,impuesto2,2
diego,14,rosa2,7
diego,15,rosa3,3
diego,16,estacion2,3
diego,17,naranja1,3
diego,18,suerte3,1
diego,19,naranja2,5
diego,20,naranja3,5
diego,21,parking,2
diego,22,rojo1,4
diego,23,suerte4,2
diego,24,rojo2,4
diego,25,rojo3,5
diego,26,estacion3,2
diego,27,amarillo1,4
diego,28,amarillo2,3
diego,29,impuesto3,2
diego,30,amarillo3,4
diego,31,carcel,2
diego,32,verde1,3
diego,33,verde2,4
diego,34,suerte5,3
diego,35,verde3,2
diego,36,estacion4,3
diego,37,suerte6,1
diego,38,azul1,5
diego,39,impuesto4,4
diego,40,azul2,2
elena,1,salida,2
elena,2,morado1,1
elena,3,suerte1,5
elena,4,morado2,1
elena,5,impuesto1,4
elena,6,estacion1,3
elena,7,gris1,4
elena,8,suerte2,2
elena,9,gris2,4
elena,10,gris3,3
elena,11,visita_carcel,4
elena,12,rosa1,2
elena,13,impuesto2,4
elena,14,rosa2,4
elena,15,rosa3,4
elena,16,estacion2,4
elena,17,naranja1,3
elena,18,suerte3,6
elena,19,naranja2,3
elena,20,naranja3,5
elena,21,parking,2
elena,22,rojo1,4
elena,23,suerte4,2
elena,24,rojo2,2
elena,25,rojo3,3
elena,26,estacion3,0
elena,27,amarillo1,3
elena,28,amarillo2,2
elena,29,impuesto3,5
elena,30,amarillo3,3
elena,31,carcel,4
elena,32,verde1,3
elena,33,verde2,2
elena,34,suerte5,3
elena,35,verde3,4
elena,36,estacion4,3
elena,37,suerte6,4
elena,38,azul1,3
elena,39,impuesto4,4
elena,40,azul2,1
fernando,1,salida,1
fernando,2,morado1,4
fernando,3,suerte1,3
fernando,4,morado2,2
fernando,5,impuesto1,4
fernando,6,estacion1,2
fernando,7,gris1,4
fernando,8,suerte2,3
fernando,9,gris2,2
fernando,10,gris3,5
fernando,11,visita_carcel,5
fernando,12,rosa1,3
fernando,13,impuesto2,2
fernando,14,rosa2,3
fernando,15,rosa3,4
fernando,16,estacion2,2
fernando,17,naranja1,2
fernando,18,suerte3,3
fernando,19,naranja2,5
fernando,20,naranja3,0
fernando,21,parking,5
fernando,22,rojo1,4
fernando,23,suerte4,3
fernando,24,rojo2,2
fernando,25,rojo3,2
fernando,26,estacion3,1
fernando,27,amarillo1,6
fernando,28,amarillo2,5
fernando,29,impuesto3,2
fernando,30,amarillo3,5
fernando,31,carcel,3
fernando,32,verde1,0
fernando,33,verde2,4
fernando,34,suerte5,2
fernando,35,verde3,3
fernando,36,estacion4,4
fernando,37,suerte6,2
fernando,38,azul1,4
fernando,39,impuesto4,6
fernando,40,azul2,3
gema,1,salida,4
gema,2,morado1,3
gema,3,suerte1,6
gema,4,morado2,3
gema,5,impuesto1,3
gema,6,estacion1,1
gema,7,gris1,3
gema,8,suerte2,3
gema,9,gris2,4
gema,10,gris3,6
gema,11,visita_carcel,2
gema,12,rosa1,2
gema,13,impuesto2,2
gema,14,rosa2,2
gema,15,rosa3,2
gema,16,estacion2,7
gema,17,naranja1,1
gema,18,suerte3,3
gema,19,naranja2,3
gema,20,naranja3,3
gema,21,parking,2
gema,22,rojo1,5
gema,23,suerte4,2
gema,24,rojo2,2
gema,25,rojo3,4
gema,26,estacion3,3
gema,27,amarillo1,4
gema,28,amarillo2,2
gema,29,impuesto3,4
gema,30,amarillo3,2
gema,31,carcel,5
gema,32,verde1,4
gema,33,verde2,5
gema,34,suerte5,0
gema,35,verde3,5
gema,36,estacion4,2
gema,37,suerte6,6
gema,38,azul1,2
gema,39,impuesto4,3
gema,40,azul2,0
hugo,1,salida,5
hugo,2,morado1,3
hugo,3,suerte1,3
hugo,4,morado2,2
hugo,5,impuesto1,2
hugo,6,estacion1,6
hugo,7,gris1,3
hugo,8,suerte2,3
hugo,9,gris2,3
hugo,10,gris3,1
hugo,11,visita_carcel,6
hugo,12,rosa1,4
hugo,13,impuesto2,3
hugo,14,rosa2,4
hugo,15,rosa3,1
hugo,16,estacion2,4
