turno,indice_jugador,jugador,dado1,dado2,suma,posicion_anterior,posicion_nueva,paso_salida,casilla_destino,nombre_casilla
1,1,ana,3,2,5,1,6,no,6,estacion1
2,2,bob,3,4,7,1,8,no,8,suerte2
3,3,carla,2,3,5,1,6,no,6,estacion1
4,4,diego,3,1,4,1,5,no,5,impuesto1
5,5,elena,6,2,8,1,9,no,9,gris2
6,6,fernando,5,1,6,1,7,no,7,gris1
7,1,ana,1,1,2,6,8,no,8,suerte2
8,2,bob,4,1,5,8,13,no,13,impuesto2
9,3,carla,1,5,6,6,12,no,12,rosa1
10,4,diego,4,6,10,5,15,no,15,rosa3
11,5,elena,2,1,3,9,12,no,12,rosa1
12,6,fernando,6,5,11,7,18,no,18,suerte3
13,1,ana,2,1,3,8,11,no,11,visita_carcel
14,2,bob,6,4,10,13,23,no,23,suerte4
15,3,carla,5,3,8,12,20,no,20,naranja3
16,4,diego,1,2,3,15,18,no,18,suerte3
17,5,elena,3,4,7,12,19,no,19,naranja2
18,6,fernando,1,4,5,18,23,no,23,suerte4
19,1,ana,5,6,11,11,22,no,22,rojo1
20,2,bob,4,2,6,23,29,no,29,impuesto3
21,3,carla,3,6,9,20,29,no,29,impuesto3
22,4,diego,2,4,6,18,24,no,24,rojo2
23,5,elena,6,1,7,19,26,no,26,estacion3
24,6,fernando,5,1,6,23,29,no,29,impuesto3
25,1,ana,1,1,2,22,24,no,24,rojo2
26,2,bob,4,5,9,29,38,no,38,azul1
27,3,carla,2,5,7,29,36,no,36,estacion4
28,4,diego,3,5,8,24,32,no,32,verde1
29,5,elena,2,6,8,26,34,no,34,suerte5
30,6,fernando,2,2,4,29,33,no,33,verde2
31,1,ana,5,6,11,24,35,no,35,verde3
32,2,bob,3,4,7,38,5,si,5,impuesto1
33,3,carla,6,1,7,36,3,si,3,suerte1
34,4,diego,2,3,5,32,37,no,37,suerte6
35,5,elena,6,2,8,34,2,si,2,morado1
36,6,fernando,2,5,7,33,40,no,40,azul2
37,1,ana,3,5,8,35,3,si,3,suerte1
38,2,bob,4,1,5,5,10,no,10,gris3
39,3,carla,2,5,7,3,10,no,10,gris3
40,4,diego,1,5,6,37,3,si,3,suerte1
41,5,elena,4,6,10,2,12,no,12,rosa1
42,6,fernando,3,1,4,40,4,si,4,morado2
43,1,ana,3,5,8,3,11,no,11,visita_carcel
44,2,bob,1,4,5,10,15,no,15,rosa3
45,3,carla,3,2,5,10,15,no,15,rosa3
