turno,indice_jugador,jugador,dado1,dado2,suma,posicion_anterior,posicion_nueva,paso_salida,casilla_destino,nombre_casilla
1,1,ana,6,2,8,1,9,no,9,gris2
2,2,bob,2,4,6,1,7,no,7,gris1
3,3,carla,4,3,7,1,8,no,8,suerte2
4,4,diego,1,3,4,1,5,no,5,impuesto1
5,5,elena,4,4,8,1,9,no,9,gris2
6,6,fernando,3,2,5,1,6,no,6,estacion1
7,7,gema,3,4,7,1,8,no,8,suerte2
8,8,hugo,2,3,5,1,6,no,6,estacion1
9,1,ana,3,1,4,9,13,no,13,impuesto2
10,2,bob,6,2,8,7,15,no,15,rosa3
11,3,carla,5,1,6,8,14,no,14,rosa2
12,4,diego,1,1,2,5,7,no,7,gris1
13,5,elena,4,1,5,9,14,no,14,rosa2
14,6,fernando,1,5,6,6,12,no,12,rosa1
15,7,gema,4,6,10,8,18,no,18,suerte3
16,8,hugo,2,1,3,6,9,no,9,gris2
17,1,ana,6,5,11,13,24,no,24,rojo2
18,2,bob,2,1,3,15,18,no,18,suerte3
19,3,carla,6,4,10,14,24,no,24,rojo2
20,4,diego,5,3,8,7,15,no,15,rosa3
21,5,elena,1,2,3,14,17,no,17,naranja1
22,6,fernando,3,4,7,12,19,no,19,naranja2
23,7,gema,1,4,5,18,23,no,23,suerte4
24,8,hugo,5,6,11,9,20,no,20,naranja3
25,1,ana,4,2,6,24,30,no,30,amarillo3
26,2,bob,3,6,9,18,27,no,27,amarillo1
27,3,carla,2,4,6,24,30,no,30,amarillo3
28,4,diego,6,1,7,15,22,no,22,rojo1
29,5,elena,5,1,6,17,23,no,23,suerte4
30,6,fernando,1,1,2,19,21,no,21,parking
31,7,gema,4,5,9,23,32,no,32,verde1
32,8,hugo,2,5,7,20,27,no,27,amarillo1
33,1,ana,3,5,8,30,38,no,38,azul1
34,2,bob,2,6,8,27,35,no,35,verde3
35,3,carla,2,2,4,30,34,no,34,suerte5
36,4,diego,5,6,11,22,33,no,33,verde2
37,5,elena,3,4,7,23,30,no,30,amarillo3
38,6,fernando,6,1,7,21,28,no,28,amarillo2
39,7,gema,2,3,5,32,37,no,37,suerte6
40,8,hugo,6,2,8,27,35,no,35,verde3
41,1,ana,2,5,7,38,5,si,5,impuesto1
42,2,bob,3,5,8,35,3,si,3,suerte1
43,3,carla,4,1,5,34,39,no,39,impuesto4
44,4,diego,2,5,7,33,40,no,40,azul2
45,5,elena,1,5,6,30,36,no,36,estacion4
46,6,fernando,4,6,10,28,38,no,38,azul1
47,7,gema,3,1,4,37,1,si,1,salida
48,8,hugo,3,5,8,35,3,si,3,suerte1
49,1,ana,1,4,5,5,10,no,10,gris3
50,2,bob,3,2,5,3,8,no,8,suerte2
51,3,carla,2,4,6,39,5,si,5,impuesto1
52,4,diego,3,3,6,40,6,si,6,estacion1
53,5,elena,5,6,11,36,7,si,7,gris1
54,6,fernando,2,4,6,38,4,si,4,morado2
55,7,gema,6,2,8,1,9,no,9,gris2
56,8,hugo,2,1,3,3,6,no,6,estacion1
57,1,ana,6,6,12,10,22,no,22,rojo1
58,2,bob,5,4,9,8,17,no,17,naranja1
59,3,carla,1,1,2,5,7,no,7,gris1
60,4,diego,4,6,10,6,16,no,16,estacion2
61,5,elena,6,3,9,7,16,no,16,estacion2
62,6,fernando,3,6,9,4,13,no,13,impuesto2
63,7,gema,5,6,11,9,20,no,20,naranja3
64,8,hugo,4,4,8,6,14,no,14,rosa2
65,1,ana,1,6,7,22,29,no,29,impuesto3
66,2,bob,6,2,8,17,25,no,25,rojo3
67,3,carla,3,6,9,7,16,no,16,estacion2
68,4,diego,3,1,4,16,20,no,20,naranja3
69,5,elena,6,6,12,16,28,no,28,amarillo2
70,6,fernando,6,2,8,13,21,no,21,parking
71,7,gema,4,3,7,20,27,no,27,amarillo1
72,8,hugo,3,3,6,14,20,no,20,naranja3
73,1,ana,5,4,9,29,38,no,38,azul1
74,2,bob,1,4,5,25,30,no,30,amarillo3
75,3,carla,3,3,6,16,22,no,22,rojo1
76,4,diego,3,3,6,20,26,no,26,estacion3
77,5,elena,6,5,11,28,39,no,39,impuesto4
78,6,fernando,6,3,9,21,30,no,30,amarillo3
79,7,gema,4,2,6,27,33,no,33,verde2
80,8,hugo,5,3,8,20,28,no,28,amarillo2
81,1,ana,6,1,7,38,5,si,5,impuesto1
82,2,bob,1,4,5,30,35,no,35,verde3
83,3,carla,3,4,7,22,29,no,29,impuesto3
84,4,diego,2,6,8,26,34,no,34,suerte5
85,5,elena,5,1,6,39,5,si,5,impuesto1
86,6,fernando,2,2,4,30,34,no,34,suerte5
87,7,gema,6,6,12,33,5,si,5,impuesto1
88,8,hugo,2,6,8,28,36,no,36,estacion4
89,1,ana,3,2,5,5,10,no,10,gris3
90,2,bob,1,3,4,35,39,no,39,impuesto4
91,3,carla,1,5,6,29,35,no,35,verde3
92,4,diego,5,5,10,34,4,si,4,morado2
93,5,elena,2,2,4,5,9,no,9,gris2
94,6,fernando,5,4,9,34,3,si,3,suerte1
95,7,gema,5,6,11,5,16,no,16,estacion2
96,8,hugo,4,2,6,36,2,si,2,morado1
97,1,ana,1,4,5,10,15,no,15,rosa3
98,2,bob,4,3,7,39,6,si,6,estacion1
99,3,carla,1,1,2,35,37,no,37,suerte6
100,4,diego,5,4,9,4,13,no,13,impuesto2
101,5,elena,2,5,7,9,16,no,16,estacion2
102,6,fernando,4,4,8,3,11,no,11,visita_carcel
103,7,gema,1,5,6,16,22,no,22,rojo1
104,8,hugo,4,6,10,2,12,no,12,rosa1
105,1,ana,6,2,8,15,23,no,23,suerte4
106,2,bob,3,1,4,6,10,no,10,gris3
107,3,carla,3,3,6,37,3,si,3,suerte1
108,4,diego,1,6,7,13,20,no,20,naranja3
109,5,elena,5,4,9,16,25,no,25,rojo3
110,6,fernando,5,1,6,11,17,no,17,naranja1
111,7,gema,5,1,6,22,28,no,28,amarillo2
112,8,hugo,6,5,11,12,23,no,23,suerte4
113,1,ana,1,3,4,23,27,no,27,amarillo1
114,2,bob,3,3,6,10,16,no,16,estacion2
115,3,carla,2,3,5,3,8,no,8,suerte2
116,4,diego,1,2,3,20,23,no,23,suerte4
117,5,elena,5,5,10,25,35,no,35,verde3
118,6,fernando,4,3,7,17,24,no,24,rojo2
119,7,gema,5,2,7,28,35,no,35,verde3
120,8,hugo,6,1,7,23,30,no,30,amarillo3
121,1,ana,2,1,3,27,30,no,30,amarillo3
122,2,bob,5,1,6,16,22,no,22,rojo1
123,3,carla,5,4,9,8,17,no,17,naranja1
124,4,diego,4,2,6,23,29,no,29,impuesto3
125,5,elena,1,6,7,35,2,si,2,morado1
126,6,fernando,2,1,3,24,27,no,27,amarillo1
127,7,gema,6,2,8,35,3,si,3,suerte1
128,8,hugo,4,1,5,30,35,no,35,verde3
129,1,ana,2,4,6,30,36,no,36,estacion4
130,2,bob,3,6,9,22,31,no,31,carcel
131,3,carla,4,4,8,17,25,no,25,rojo3
132,4,diego,4,4,8,29,37,no,37,suerte6
133,5,elena,6,3,9,2,11,no,11,visita_carcel
134,6,fernando,1,2,3,27,30,no,30,amarillo3
135,7,gema,5,6,11,3,14,no,14,rosa2
136,8,hugo,5,4,9,35,4,si,4,morado2
137,1,ana,4,1,5,36,1,si,1,salida
138,2,bob,2,5,7,31,38,no,38,azul1
139,3,carla,1,1,2,25,27,no,27,amarillo1
140,4,diego,2,5,7,37,4,si,4,morado2
141,5,elena,1,6,7,11,18,no,18,suerte3
142,6,fernando,3,5,8,30,38,no,38,azul1
143,7,gema,5,3,8,14,22,no,22,rojo1
144,8,hugo,4,3,7,4,11,no,11,visita_carcel
145,1,ana,5,2,7,1,8,no,8,suerte2
146,2,bob,6,4,10,38,8,si,8,suerte2
147,3,carla,6,6,12,27,39,no,39,impuesto4
148,4,diego,5,5,10,4,14,no,14,rosa2
149,5,elena,1,2,3,18,21,no,21,parking
150,6,fernando,2,4,6,38,4,si,4,morado2
151,7,gema,3,6,9,22,31,no,31,carcel
152,8,hugo,4,2,6,11,17,no,17,naranja1
153,1,ana,3,6,9,8,17,no,17,naranja1
154,2,bob,3,5,8,8,16,no,16,estacion2
155,3,carla,1,1,2,39,1,si,1,salida
156,4,diego,3,5,8,14,22,no,22,rojo1
157,5,elena,3,5,8,21,29,no,29,impuesto3
158,6,fernando,3,2,5,4,9,no,9,gris2
159,7,gema,6,2,8,31,39,no,39,impuesto4
160,8,hugo,3,2,5,17,22,no,22,rojo1
161,1,ana,2,5,7,17,24,no,24,rojo2
162,2,bob,2,1,3,16,19,no,19,naranja2
163,3,carla,6,4,10,1,11,no,11,visita_carcel
164,4,diego,3,4,7,22,29,no,29,impuesto3
165,5,elena,1,5,6,29,35,no,35,verde3
166,6,fernando,3,3,6,9,15,no,15,rosa3
167,7,gema,3,2,5,39,4,si,4,morado2
168,8,hugo,5,4,9,22,31,no,31,carcel
169,1,ana,5,2,7,24,31,no,31,carcel
170,2,bob,4,4,8,19,27,no,27,amarillo1
171,3,carla,3,6,9,11,20,no,20,naranja3
172,4,diego,6,3,9,29,38,no,38,azul1
173,5,elena,5,6,11,35,6,si,6,estacion1
174,6,fernando,5,1,6,15,21,no,21,parking
175,7,gema,2,3,5,4,9,no,9,gris2
176,8,hugo,1,6,7,31,38,no,38,azul1
177,1,ana,6,1,7,31,38,no,38,azul1
178,2,bob,1,5,6,27,33,no,33,verde2
179,3,carla,4,3,7,20,27,no,27,amarillo1
180,4,diego,5,6,11,38,9,si,9,gris2
181,5,elena,6,2,8,6,14,no,14,rosa2
182,6,fernando,2,4,6,21,27,no,27,amarillo1
183,7,gema,4,3,7,9,16,no,16,estacion2
184,8,hugo,1,3,4,38,2,si,2,morado1
185,1,ana,4,4,8,38,6,si,6,estacion1
