posicion,nombre_casilla,visitas
1,salida,3
2,morado1,3
3,suerte1,0
4,morado2,3
5,impuesto1,2
6,estacion1,0
7,gris1,4
8,suerte2,5
9,gris2,2
10,gris3,3
11,visita_carcel,4
12,rosa1,3
13,impuesto2,2
14,rosa2,2
15,rosa3,1
16,estacion2,5
17,naranja1,2
18,suerte3,5
19,naranja2,4
20,naranja3,1
21,parking,0
22,rojo1,2
23,suerte4,7
24,rojo2,2
25,rojo3,2
26,estacion3,0
27,amarillo1,4
28,amarillo2,1
29,impuesto3,3
30,amarillo3,3
31,carcel,2
32,verde1,2
33,verde2,2
34,suerte5,4
35,verde3,2
36,estacion4,3
37,suerte6,0
38,azul1,1
39,impuesto4,3
40,azul2,3
