posicion,nombre_casilla,visitas
1,salida,60
2,morado1,46
3,suerte1,44
4,morado2,47
5,impuesto1,51
6,estacion1,48
7,gris1,48
8,suerte2,57
9,gris2,54
10,gris3,40
11,visita_carcel,53
12,rosa1,40
13,impuesto2,58
14,rosa2,44
15,rosa3,53
16,estacion2,55
17,naranja1,44
18,suerte3,53
19,naranja2,44
20,naranja3,48
21,parking,46
22,rojo1,56
23,suerte4,50
24,rojo2,58
25,rojo3,54
26,estacion3,42
27,amarillo1,49
28,amarillo2,50
29,impuesto3,45
30,amarillo3,55
31,carcel,43
32,verde1,57
33,verde2,54
34,suerte5,51
35,verde3,49
36,estacion4,47
37,suerte6,61
38,azul1,36
39,impuesto4,63
40,azul2,47
