turno,indice_jugador,jugador,dado1,dado2,suma,posicion_anterior,posicion_nueva,paso_salida,casilla_destino,nombre_casilla
1,1,ana,4,3,7,1,8,no,8,suerte2
2,2,bob,1,3,4,1,5,no,5,impuesto1
3,3,carla,4,4,8,1,9,no,9,gris2
4,4,diego,3,2,5,1,6,no,6,estacion1
5,1,ana,3,4,7,8,15,no,15,rosa3
6,2,bob,2,3,5,5,10,no,10,gris3
7,3,carla,3,1,4,9,13,no,13,impuesto2
8,4,diego,6,2,8,6,14,no,14,rosa2
9,1,ana,5,1,6,15,21,no,21,parking
10,2,bob,1,1,2,10,12,no,12,rosa1
11,3,carla,4,1,5,13,18,no,18,suerte3
12,4,diego,1,5,6,14,20,no,20,naranja3
13,1,ana,4,6,10,21,31,no,31,carcel
14,2,bob,2,1,3,12,15,no,15,rosa3
15,3,carla,6,5,11,18,29,no,29,impuesto3
16,4,diego,2,1,3,20,23,no,23,suerte4
17,1,ana,6,4,10,31,1,si,1,salida
18,2,bob,5,3,8,15,23,no,23,suerte4
19,3,carla,1,2,3,29,32,no,32,verde1
20,4,diego,3,4,7,23,30,no,30,amarillo3
21,1,ana,1,4,5,1,6,no,6,estacion1
22,2,bob,5,6,11,23,34,no,34,suerte5
23,3,carla,4,2,6,32,38,no,38,azul1
24,4,diego,3,6,9,30,39,no,39,impuesto4
25,1,ana,2,4,6,6,12,no,12,rosa1
26,2,bob,6,1,7,34,1,si,1,salida
27,3,carla,5,1,6,38,4,si,4,morado2
28,4,diego,1,1,2,39,1,si,1,salida
29,1,ana,4,5,9,12,21,no,21,parking
30,2,bob,2,5,7,1,8,no,8,suerte2
31,3,carla,3,5,8,4,12,no,12,rosa1
32,4,diego,2,6,8,1,9,no,9,gris2
33,1,ana,2,2,4,21,25,no,25,rojo3
34,2,bob,5,6,11,8,19,no,19,naranja2
35,3,carla,3,4,7,12,19,no,19,naranja2
36,4,diego,6,1,7,9,16,no,16,estacion2
37,1,ana,2,3,5,25,30,no,30,amarillo3
38,2,bob,6,2,8,19,27,no,27,amarillo1
39,3,carla,2,5,7,19,26,no,26,estacion3
40,4,diego,3,5,8,16,24,no,24,rojo2
41,1,ana,4,1,5,30,35,no,35,verde3
42,2,bob,2,5,7,27,34,no,34,suerte5
43,3,carla,1,5,6,26,32,no,32,verde1
44,4,diego,4,6,10,24,34,no,34,suerte5
45,1,ana,3,1,4,35,39,no,39,impuesto4
46,2,bob,3,5,8,34,2,si,2,morado1
47,3,carla,1,4,5,32,37,no,37,suerte6
48,4,diego,3,2,5,34,39,no,39,impuesto4
49,1,ana,2,4,6,39,5,si,5,impuesto1
50,2,bob,3,3,6,2,8,no,8,suerte2
51,3,carla,5,6,11,37,8,si,8,suerte2
52,4,diego,2,4,6,39,5,si,5,impuesto1
53,1,ana,6,2,8,5,13,no,13,impuesto2
54,2,bob,2,1,3,8,11,no,11,visita_carcel
55,3,carla,6,6,12,8,20,no,20,naranja3
56,4,diego,5,4,9,5,14,no,14,rosa2
57,1,ana,1,1,2,13,15,no,15,rosa3
58,2,bob,4,6,10,11,21,no,21,parking
59,3,carla,6,3,9,20,29,no,29,impuesto3
60,4,diego,3,6,9,14,23,no,23,suerte4
61,1,ana,5,6,11,15,26,no,26,estacion3
62,2,bob,4,4,8,21,29,no,29,impuesto3
63,3,carla,1,6,7,29,36,no,36,estacion4
64,4,diego,6,2,8,23,31,no,31,carcel
65,1,ana,3,6,9,26,35,no,35,verde3
66,2,bob,3,1,4,29,33,no,33,verde2
67,3,carla,6,6,12,36,8,si,8,suerte2
68,4,diego,6,2,8,31,39,no,39,impuesto4
69,1,ana,4,3,7,35,2,si,2,morado1
70,2,bob,3,3,6,33,39,no,39,impuesto4
71,3,carla,5,4,9,8,17,no,17,naranja1
72,4,diego,1,4,5,39,4,si,4,morado2
73,1,ana,3,3,6,2,8,no,8,suerte2
74,2,bob,3,3,6,39,5,si,5,impuesto1
75,3,carla,6,5,11,17,28,no,28,amarillo2
76,4,diego,6,3,9,4,13,no,13,impuesto2
77,1,ana,4,2,6,8,14,no,14,rosa2
78,2,bob,5,3,8,5,13,no,13,impuesto2
79,3,carla,6,1,7,28,35,no,35,verde3
80,4,diego,1,4,5,13,18,no,18,suerte3
81,1,ana,3,4,7,14,21,no,21,parking
82,2,bob,2,6,8,13,21,no,21,parking
83,3,carla,5,1,6,35,1,si,1,salida
84,4,diego,2,2,4,18,22,no,22,rojo1
85,1,ana,6,6,12,21,33,no,33,verde2
86,2,bob,2,6,8,21,29,no,29,impuesto3
87,3,carla,3,2,5,1,6,no,6,estacion1
88,4,diego,1,3,4,22,26,no,26,estacion3
89,1,ana,1,5,6,33,39,no,39,impuesto4
90,2,bob,5,5,10,29,39,no,39,impuesto4
91,3,carla,2,2,4,6,10,no,10,gris3
92,4,diego,5,4,9,26,35,no,35,verde3
93,1,ana,5,6,11,39,10,si,10,gris3
94,2,bob,4,2,6,39,5,si,5,impuesto1
95,3,carla,1,4,5,10,15,no,15,rosa3
96,4,diego,4,3,7,35,2,si,2,morado1
97,1,ana,1,1,2,10,12,no,12,rosa1
98,2,bob,5,4,9,5,14,no,14,rosa2
99,3,carla,2,5,7,15,22,no,22,rojo1
100,4,diego,4,4,8,2,10,no,10,gris3
