turno,jugador,caja_antes,premio,caja_despues,dinero_antes,dinero_despues
27,gema,550,275,275,9640,9915
79,irene,825,412,413,9736,10148
127,gema,1013,506,507,9475,9981
143,carla,607,303,304,9432,9735
247,gema,1554,777,777,9749,10526
253,carla,777,388,389,9607,9995
268,hugo,489,244,245,9446,9690
346,fernando,695,347,348,9340,9687
423,carla,648,324,324,10261,10585
454,diego,774,387,387,8750,9137
488,hugo,587,293,294,9836,10129
491,ana,294,147,147,8130,8277
492,bob,147,73,74,9172,9245
