turno,jugador,caja_antes,premio,caja_despues,dinero_antes,dinero_despues
9,ana,200,100,100,9720,9820
11,carla,100,50,50,9840,9890
73,ana,950,475,475,8936,9411
93,ana,675,337,338,9175,9512
119,carla,738,369,369,8656,9025
