turno,jugador,casilla,importe,dinero_antes,dinero_despues,caja_antes,caja_despues
2,bob,impuesto1,200,10000,9800,0,200
7,gema,impuesto1,200,10000,9800,200,400
11,ana,impuesto2,150,10000,9850,400,550
33,carla,impuesto3,100,9696,9596,275,375
34,diego,impuesto3,100,9820,9720,375,475
44,diego,impuesto4,100,9720,9620,475,575
55,elena,impuesto4,100,9536,9436,575,675
61,ana,impuesto2,150,9530,9380,675,825
100,javier,impuesto4,100,9556,9456,413,513
104,diego,impuesto1,200,9464,9264,513,713
112,bob,impuesto2,150,9216,9066,713,863
120,javier,impuesto2,150,9416,9266,863,1013
132,bob,impuesto3,100,9184,9084,507,607
147,gema,impuesto4,100,9949,9849,304,404
149,irene,impuesto4,100,9802,9702,404,504
165,elena,impuesto1,200,9116,8916,504,704
171,ana,impuesto2,150,9046,8896,704,854
221,ana,impuesto1,200,9012,8812,854,1054
223,carla,impuesto4,100,9807,9707,1054,1154
230,javier,impuesto1,200,8926,8726,1154,1354
233,carla,impuesto1,200,9707,9507,1354,1554
256,fernando,impuesto3,100,9396,9296,389,489
289,irene,impuesto3,100,9674,9574,245,345
301,ana,impuesto2,150,8676,8526,345,495
302,bob,impuesto3,100,9216,9116,495,595
318,hugo,impuesto3,100,9618,9518,595,695
366,fernando,impuesto4,100,9715,9615,348,448
411,ana,impuesto1,200,8426,8226,448,648
433,carla,impuesto3,100,10585,10485,324,424
435,elena,impuesto3,100,9300,9200,424,524
436,fernando,impuesto2,150,9559,9409,524,674
437,gema,impuesto3,100,10286,10186,674,774
462,bob,impuesto4,100,9092,8992,387,487
485,elena,impuesto3,100,9300,9200,487,587
494,diego,impuesto1,200,9125,8925,74,274
499,irene,impuesto4,100,9382,9282,274,374
500,javier,impuesto2,150,7922,7772,374,524
