turno,jugador,monopoly,casas_compradas,coste_casas,nombre_casilla,tipo_casilla,compra,alquiler,impuesto,parking,bancarrota,eliminado,dinero_inicial,dinero_tras_monopoly,dinero_tras_carcel,dinero_final,props_antes,props_despues
259,irene,no,0,0,estacion1,estacion,no,si,no,no,no,no,9634,9634,9634,9594,3,3
260,javier,no,0,0,amarillo1,propiedad,no,si,no,no,no,no,8698,8698,8698,8646,0,0
261,ana,no,0,0,amarillo3,propiedad,no,si,no,no,no,no,8836,8836,8836,8780,2,2
262,bob,no,0,0,suerte1,suerte,no,no,no,no,no,no,9164,9164,9164,9164,4,4
263,carla,no,0,0,amarillo2,propiedad,no,si,no,no,no,no,9995,9995,9995,9943,4,4
264,diego,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9094,9094,9094,9094,1,1
265,elena,no,0,0,morado2,propiedad,no,si,no,no,no,no,8896,8896,8896,8884,3,3
266,fernando,no,0,0,suerte6,suerte,no,no,no,no,no,no,9296,9296,9296,9296,2,2
267,gema,no,0,0,verde2,propiedad,no,si,no,no,no,no,10474,10474,10474,10414,2,2
268,hugo,no,0,0,parking,parking,no,no,no,si,no,no,9446,9446,9446,9690,5,5
269,irene,no,0,0,suerte3,suerte,no,no,no,no,no,no,9654,9654,9654,9654,3,3
270,javier,no,0,0,verde3,propiedad,no,si,no,no,no,no,8646,8646,8646,8582,0,0
271,ana,no,0,0,verde3,propiedad,no,si,no,no,no,no,8780,8780,8780,8716,2,2
272,bob,no,0,0,gris1,propiedad,no,si,no,no,no,no,9164,9164,9164,9144,4,4
273,carla,no,0,0,suerte5,suerte,no,no,no,no,no,no,10071,10071,10071,10071,4,4
