metrica,valor
total_turnos,100
jugadores_restantes,2
total_compras,25
total_alquileres,23
importe_total_alquileres,1148
total_impuestos,2
importe_total_impuestos,300
premios_parking,0
importe_total_parking,0
caja_parking_final,300
eventos_monopoly,9
casas_compradas_total,24
coste_total_casas,2400
entradas_carcel,4
salidas_pagando,1
salidas_dobles,2
liberaciones_automaticas,1
turnos_perdidos_carcel,8
bancarrotas,0
jugadores_eliminados,0
jugadores_superan_bancarrota,0
valor_total_liquidado,0
activos_restantes_banco,1
