turno,pagador,cobrador,propiedad,tipo,color,precio_casilla,num_casas,alquiler_teorico,pago_real
6,fernando,diego,estacion1,estacion,estacion,200,0,40,40
8,hugo,carla,gris2,propiedad,gris,100,0,20,20
14,diego,carla,gris2,propiedad,gris,100,0,20,20
15,elena,carla,naranja2,propiedad,naranja,180,0,36,36
16,fernando,carla,gris2,propiedad,gris,100,0,20,20
20,javier,irene,gris3,propiedad,gris,120,0,24,24
25,elena,carla,rojo3,propiedad,rojo,240,0,48,48
28,hugo,carla,naranja2,propiedad,naranja,180,0,36,36
29,irene,carla,naranja2,propiedad,naranja,180,0,36,36
30,javier,hugo,naranja1,propiedad,naranja,180,0,36,36
37,gema,ana,estacion3,estacion,estacion,200,0,40,40
39,irene,ana,estacion3,estacion,estacion,200,0,40,40
40,javier,carla,rojo3,propiedad,rojo,240,0,48,48
48,hugo,elena,verde1,propiedad,verde,300,0,60,60
49,irene,elena,verde1,propiedad,verde,300,0,60,60
54,diego,irene,gris1,propiedad,gris,100,0,20,20
63,carla,irene,gris3,propiedad,gris,120,0,24,24
64,diego,fernando,estacion2,estacion,estacion,200,0,40,40
65,elena,irene,gris3,propiedad,gris,120,0,24,24
66,fernando,carla,naranja2,propiedad,naranja,180,0,36,36
70,javier,gema,rosa3,propiedad,rosa,160,0,32,32
71,ana,carla,rojo3,propiedad,rojo,240,0,48,48
72,bob,ana,estacion3,estacion,estacion,200,0,40,40
73,carla,hugo,naranja1,propiedad,naranja,180,0,36,36
74,diego,bob,rojo1,propiedad,rojo,220,0,44,44
75,elena,carla,naranja2,propiedad,naranja,180,0,36,36
77,gema,fernando,rojo2,propiedad,rojo,220,0,44,44
80,javier,fernando,rojo2,propiedad,rojo,220,0,44,44
83,carla,fernando,rojo2,propiedad,rojo,220,0,44,44
84,diego,hugo,amarillo1,propiedad,amarillo,260,0,52,52
85,elena,ana,estacion3,estacion,estacion,200,0,40,40
86,fernando,elena,verde1,propiedad,verde,300,0,60,60
87,gema,bob,amarillo3,propiedad,amarillo,280,0,56,56
88,hugo,bob,rojo1,propiedad,rojo,220,0,44,44
90,javier,elena,verde1,propiedad,verde,300,0,60,60
93,carla,bob,amarillo3,propiedad,amarillo,280,0,56,56
95,elena,bob,amarillo3,propiedad,amarillo,280,0,56,56
99,irene,bob,azul1,propiedad,azul,350,0,70,70
102,bob,irene,gris1,propiedad,gris,100,0,20,20
107,gema,carla,gris2,propiedad,gris,100,0,20,20
108,hugo,elena,verde1,propiedad,verde,300,0,60,60
109,irene,hugo,morado2,propiedad,morado,60,0,12,12
110,javier,diego,estacion1,estacion,estacion,200,0,40,40
114,diego,fernando,estacion2,estacion,estacion,200,0,40,40
116,fernando,hugo,naranja1,propiedad,naranja,180,0,36,36
118,hugo,carla,verde3,propiedad,verde,320,0,64,64
119,irene,gema,rosa2,propiedad,rosa,140,0,28,28
121,ana,hugo,amarillo1,propiedad,amarillo,260,0,52,52
122,bob,ana,naranja3,propiedad,naranja,200,0,40,40
123,carla,diego,estacion1,estacion,estacion,200,0,40,40
124,diego,bob,rojo1,propiedad,rojo,220,0,44,44
125,elena,carla,gris2,propiedad,gris,100,0,20,20
128,hugo,bob,azul1,propiedad,azul,350,0,70,70
129,irene,bob,rojo1,propiedad,rojo,220,0,44,44
131,ana,irene,verde2,propiedad,verde,300,0,60,60
133,carla,gema,rosa2,propiedad,rosa,140,0,28,28
134,diego,bob,amarillo3,propiedad,amarillo,280,0,56,56
136,fernando,ana,estacion3,estacion,estacion,200,0,40,40
137,gema,elena,verde1,propiedad,verde,300,0,60,60
138,hugo,irene,gris1,propiedad,gris,100,0,20,20
139,irene,hugo,amarillo1,propiedad,amarillo,260,0,52,52
140,javier,carla,rojo3,propiedad,rojo,240,0,48,48
141,ana,carla,verde3,propiedad,verde,320,0,64,64
142,bob,elena,estacion4,estacion,estacion,200,0,40,40
144,diego,bob,azul1,propiedad,azul,350,0,70,70
145,elena,ana,estacion3,estacion,estacion,200,0,40,40
146,fernando,irene,verde2,propiedad,verde,300,0,60,60
150,javier,carla,verde3,propiedad,verde,320,0,64,64
151,ana,bob,azul1,propiedad,azul,350,0,70,70
153,carla,bob,amarillo3,propiedad,amarillo,280,0,56,56
154,diego,hugo,morado2,propiedad,morado,60,0,12,12
155,elena,carla,verde3,propiedad,verde,320,0,64,64
158,hugo,carla,rojo3,propiedad,rojo,240,0,48,48
160,javier,elena,azul2,propiedad,azul,400,0,80,80
161,ana,diego,estacion1,estacion,estacion,200,0,40,40
162,bob,irene,gris1,propiedad,gris,100,0,20,20
164,diego,irene,gris1,propiedad,gris,100,0,20,20
167,gema,irene,gris1,propiedad,gris,100,0,20,20
169,irene,hugo,rosa1,propiedad,rosa,140,0,28,28
170,javier,carla,gris2,propiedad,gris,100,0,20,20
172,bob,gema,rosa3,propiedad,rosa,160,0,32,32
173,carla,diego,estacion1,estacion,estacion,200,0,40,40
174,diego,fernando,estacion2,estacion,estacion,200,0,40,40
175,elena,fernando,estacion2,estacion,estacion,200,0,40,40
176,fernando,gema,rosa2,propiedad,rosa,140,0,28,28
177,gema,hugo,rosa1,propiedad,rosa,140,0,28,28
179,irene,carla,naranja2,propiedad,naranja,180,0,36,36
180,javier,gema,rosa3,propiedad,rosa,160,0,32,32
182,bob,ana,estacion3,estacion,estacion,200,0,40,40
183,carla,gema,rosa2,propiedad,rosa,140,0,28,28
184,diego,bob,rojo1,propiedad,rojo,220,0,44,44
187,gema,ana,naranja3,propiedad,naranja,200,0,40,40
189,irene,ana,estacion3,estacion,estacion,200,0,40,40
190,javier,ana,naranja3,propiedad,naranja,200,0,40,40
191,ana,fernando,rojo2,propiedad,rojo,220,0,44,44
193,carla,ana,naranja3,propiedad,naranja,200,0,40,40
194,diego,fernando,rojo2,propiedad,rojo,220,0,44,44
195,elena,hugo,amarillo2,propiedad,amarillo,260,0,52,52
197,gema,bob,amarillo3,propiedad,amarillo,280,0,56,56
205,elena,irene,verde2,propiedad,verde,300,0,60,60
206,fernando,carla,verde3,propiedad,verde,320,0,64,64
207,gema,elena,estacion4,estacion,estacion,200,0,40,40
208,hugo,ana,naranja3,propiedad,naranja,200,0,40,40
210,javier,bob,amarillo3,propiedad,amarillo,280,0,56,56
211,ana,elena,azul2,propiedad,azul,400,0,80,80
212,bob,hugo,morado2,propiedad,morado,60,0,12,12
213,carla,elena,verde1,propiedad,verde,300,0,60,60
217,gema,elena,azul2,propiedad,azul,400,0,80,80
222,bob,hugo,rosa1,propiedad,rosa,140,0,28,28
225,elena,diego,estacion1,estacion,estacion,200,0,40,40
226,fernando,irene,gris3,propiedad,gris,120,0,24,24
227,gema,diego,estacion1,estacion,estacion,200,0,40,40
229,irene,gema,rosa2,propiedad,rosa,140,0,28,28
231,ana,irene,gris3,propiedad,gris,120,0,24,24
232,bob,hugo,naranja1,propiedad,naranja,180,0,36,36
235,elena,hugo,naranja1,propiedad,naranja,180,0,36,36
239,irene,ana,estacion3,estacion,estacion,200,0,40,40
240,javier,gema,rosa2,propiedad,rosa,140,0,28,28
241,ana,hugo,rosa1,propiedad,rosa,140,0,28,28
242,bob,hugo,amarillo1,propiedad,amarillo,260,0,52,52
243,carla,gema,rosa2,propiedad,rosa,140,0,28,28
244,diego,ana,naranja3,propiedad,naranja,200,0,40,40
245,elena,hugo,amarillo2,propiedad,amarillo,260,0,52,52
