turno,jugador,monopoly,casas_compradas,coste_casas,nombre_casilla,tipo_casilla,compra,alquiler,impuesto,parking,bancarrota,eliminado,dinero_inicial,dinero_tras_monopoly,dinero_tras_carcel,dinero_final,props_antes,props_despues
1,ana,no,0,0,suerte2,suerte,no,no,no,no,no,no,10000,10000,10000,10000,0,0
2,bob,no,0,0,rosa1,propiedad,si,no,no,no,no,no,10000,10000,10000,9860,0,1
3,ana,no,0,0,estacion2,estacion,si,no,no,no,no,no,10000,10000,10000,9800,0,1
4,bob,no,0,0,suerte3,suerte,no,no,no,no,no,no,9860,9860,9860,9860,1,1
5,ana,no,0,0,suerte4,suerte,no,no,no,no,no,no,9800,9800,9800,9800,1,1
6,bob,no,0,0,rojo1,propiedad,si,no,no,no,no,no,9860,9860,9860,9640,1,2
7,ana,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9800,9800,9800,9800,1,1
8,bob,no,0,0,amarillo1,propiedad,si,no,no,no,no,no,9640,9640,9640,9380,2,3
9,ana,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9800,9800,9600,9600,1,1
10,bob,no,0,0,suerte5,suerte,no,no,no,no,no,no,9380,9380,9380,9380,3,3
11,ana,no,0,0,estacion2,estacion,no,no,no,no,no,no,9600,9600,9600,9600,1,1
12,bob,no,0,0,azul1,propiedad,si,no,no,no,no,no,9380,9380,9380,9030,3,4
13,ana,no,0,0,rojo2,propiedad,si,no,no,no,no,no,9600,9600,9600,9380,1,2
14,bob,no,0,0,morado2,propiedad,si,no,no,no,no,no,9030,9030,9030,8970,4,5
15,ana,no,0,0,estacion3,estacion,si,no,no,no,no,no,9380,9380,9380,9180,2,3
16,bob,no,0,0,gris2,propiedad,si,no,no,no,no,no,8970,8970,8970,8870,5,6
17,ana,no,0,0,verde1,propiedad,si,no,no,no,no,no,9180,9180,9180,8880,3,4
18,bob,no,0,0,naranja2,propiedad,si,no,no,no,no,no,8870,8870,8870,8690,6,7
19,ana,no,0,0,verde3,propiedad,si,no,no,no,no,no,8880,8880,8880,8560,4,5
20,bob,no,0,0,amarillo3,propiedad,si,no,no,no,no,no,8690,8690,8690,8410,7,8
21,ana,no,0,0,azul1,propiedad,no,si,no,no,no,no,8560,8560,8560,8490,5,5
22,bob,no,0,0,azul2,propiedad,si,no,no,no,no,no,8480,8480,8480,8080,8,9
23,ana,no,0,0,estacion1,estacion,si,no,no,no,no,no,8490,8490,8490,8290,5,6
24,bob,si,2,200,suerte1,suerte,no,no,no,no,no,no,8080,7880,7880,7880,9,9
25,ana,no,0,0,impuesto2,impuesto,no,no,si,no,no,no,8290,8290,8290,8140,6,6
26,bob,si,2,200,suerte2,suerte,no,no,no,no,no,no,7880,7680,7680,7680,9,9
27,ana,no,0,0,rojo2,propiedad,no,no,no,no,no,no,8140,8140,8140,8140,6,6
28,bob,si,2,200,rosa2,propiedad,si,no,no,no,no,no,7680,7480,7480,7340,9,10
29,ana,no,0,0,verde2,propiedad,si,no,no,no,no,no,8140,8140,8140,7840,6,7
30,bob,no,0,0,naranja3,propiedad,si,no,no,no,no,no,7340,7340,7340,7140,10,11
31,ana,si,3,300,azul2,propiedad,no,si,no,no,no,no,7840,7540,7540,7400,7,7
32,bob,no,0,0,estacion3,estacion,no,si,no,no,no,no,7280,7280,7280,7240,11,11
33,ana,si,3,300,morado1,propiedad,si,no,no,no,no,no,7440,7140,7140,7080,7,8
34,bob,no,0,0,verde3,propiedad,no,si,no,no,no,no,7240,7240,7240,7136,11,11
35,ana,si,3,300,gris2,propiedad,no,si,no,no,no,no,7184,6884,6884,6864,8,8
36,bob,no,0,0,suerte1,suerte,no,no,no,no,no,no,7156,7156,7156,7156,11,11
37,ana,no,0,0,naranja1,propiedad,si,no,no,no,no,no,6864,6864,6864,6684,8,9
38,bob,no,0,0,gris1,propiedad,si,no,no,no,no,no,7156,7156,7156,7056,11,12
39,ana,no,0,0,amarillo2,propiedad,si,no,no,no,no,no,6684,6684,6684,6424,9,10
40,bob,no,0,0,rosa2,propiedad,no,no,no,no,no,no,7056,7056,7056,7056,12,12
41,ana,no,0,0,verde3,propiedad,no,no,no,no,no,no,6424,6424,6424,6424,10,10
42,bob,no,0,0,naranja2,propiedad,no,no,no,no,no,no,7056,7056,7056,7056,12,12
43,ana,no,0,0,suerte1,suerte,no,no,no,no,no,no,6424,6424,6424,6424,10,10
44,bob,no,0,0,estacion3,estacion,no,si,no,no,no,no,7056,7056,7056,7016,12,12
45,ana,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,6464,6464,6464,6464,10,10
46,bob,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,7016,7016,7016,7016,12,12
47,ana,no,0,0,suerte3,suerte,no,no,no,no,no,no,6464,6464,6464,6464,10,10
48,bob,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,7016,7016,7016,7016,12,12
49,ana,no,0,0,amarillo2,propiedad,no,no,no,no,no,no,6464,6464,6464,6464,10,10
50,bob,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,7016,7016,7016,7016,12,12
51,ana,no,0,0,estacion4,estacion,si,no,no,no,no,no,6464,6464,6464,6264,10,11
52,bob,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,7016,7016,7016,7016,12,12
53,ana,no,0,0,salida,salida,no,no,no,no,no,no,6264,6264,6264,6264,11,11
54,bob,no,0,0,naranja1,propiedad,no,si,no,no,no,no,7016,7016,7016,6980,12,12
55,ana,no,0,0,gris1,propiedad,no,si,no,no,no,no,6300,6300,6300,6280,11,11
56,bob,no,0,0,amarillo2,propiedad,no,si,no,no,no,no,7000,7000,7000,6948,12,12
57,ana,no,0,0,impuesto2,impuesto,no,no,si,no,no,no,6332,6332,6332,6182,11,11
58,bob,no,0,0,estacion4,estacion,no,si,no,no,no,no,6948,6948,6948,6908,12,12
59,ana,no,0,0,estacion2,estacion,no,no,no,no,no,no,6222,6222,6222,6222,11,11
60,bob,no,0,0,suerte2,suerte,no,no,no,no,no,no,6908,6908,6908,6908,12,12
61,ana,no,0,0,rojo3,propiedad,si,no,no,no,no,no,6222,6222,6222,5982,11,12
62,bob,no,0,0,gris3,propiedad,si,no,no,no,no,no,6908,6908,6908,6788,12,13
63,ana,no,0,0,verde3,propiedad,no,no,no,no,no,no,5982,5982,5982,5982,12,12
64,bob,si,3,300,naranja2,propiedad,no,no,no,no,no,no,6788,6488,6488,6488,13,13
65,ana,no,0,0,morado2,propiedad,no,si,no,no,no,no,5982,5982,5982,5970,12,12
66,bob,si,3,300,amarillo3,propiedad,no,no,no,no,no,no,6500,6200,6200,6200,13,13
67,ana,no,0,0,rosa1,propiedad,no,si,no,no,no,no,5970,5970,5970,5942,12,12
68,bob,si,3,300,suerte6,suerte,no,no,no,no,no,no,6228,5928,5928,5928,13,13
69,ana,no,0,0,naranja3,propiedad,no,si,no,no,no,no,5942,5942,5942,5902,12,12
70,bob,no,0,0,estacion1,estacion,no,si,no,no,no,no,5968,5968,5968,5928,13,13
