metrica,valor
total_turnos,500
jugadores_restantes,10
total_compras,26
total_alquileres,265
importe_total_alquileres,11076
total_impuestos,37
importe_total_impuestos,5000
premios_parking,13
importe_total_parking,4476
caja_parking_final,524
eventos_monopoly,0
casas_compradas_total,0
coste_total_casas,0
entradas_carcel,13
salidas_pagando,5
salidas_dobles,3
liberaciones_automaticas,4
turnos_perdidos_carcel,23
bancarrotas,0
jugadores_eliminados,0
jugadores_superan_bancarrota,0
valor_total_liquidado,0
activos_restantes_banco,0
