turno,jugador,monopoly,casas_compradas,coste_casas,nombre_casilla,tipo_casilla,compra,alquiler,impuesto,parking,bancarrota,eliminado,dinero_inicial,dinero_tras_monopoly,dinero_tras_carcel,dinero_final,props_antes,props_despues
28,diego,no,0,0,estacion4,estacion,si,no,no,no,no,no,9100,9100,9100,8900,3,4
29,ana,no,0,0,suerte4,suerte,no,no,no,no,no,no,9260,9260,9260,9260,4,4
30,bob,no,0,0,morado2,propiedad,si,no,no,no,no,no,8798,8798,8798,8738,5,6
31,carla,no,0,0,impuesto3,impuesto,no,no,si,no,no,no,9462,9462,9462,9362,2,2
32,diego,no,0,0,impuesto1,impuesto,no,no,si,no,no,no,8900,8900,8900,8700,4,4
33,ana,no,0,0,amarillo3,propiedad,no,si,no,no,no,no,9260,9260,9260,9204,4,4
34,bob,no,0,0,rosa1,propiedad,no,no,no,no,no,no,8738,8738,8738,8738,6,6
35,carla,no,0,0,suerte6,suerte,no,no,no,no,no,no,9362,9362,9362,9362,2,2
36,diego,no,0,0,gris2,propiedad,no,si,no,no,no,no,8756,8756,8756,8736,4,4
37,ana,no,0,0,salida,salida,no,no,no,no,no,no,9224,9224,9224,9224,4,4
38,bob,no,0,0,naranja2,propiedad,si,no,no,no,no,no,8738,8738,8738,8558,6,7
39,carla,no,0,0,morado2,propiedad,no,si,no,no,no,no,9362,9362,9362,9350,2,2
40,diego,no,0,0,rosa2,propiedad,si,no,no,no,no,no,8736,8736,8736,8596,4,5
41,ana,no,0,0,gris2,propiedad,no,no,no,no,no,no,9224,9224,9224,9224,4,4
42,bob,no,0,0,estacion3,estacion,no,si,no,no,no,no,8570,8570,8570,8530,7,7
43,carla,no,0,0,rosa1,propiedad,no,si,no,no,no,no,9350,9350,9350,9322,2,2
44,diego,no,0,0,naranja2,propiedad,no,si,no,no,no,no,8596,8596,8596,8560,5,5
45,ana,no,0,0,estacion2,estacion,no,no,no,no,no,no,9264,9264,9264,9264,4,4
46,bob,no,0,0,verde1,propiedad,no,no,no,no,no,no,8594,8594,8594,8594,7,7
47,carla,no,0,0,rojo1,propiedad,si,no,no,no,no,no,9322,9322,9322,9102,2,3
48,diego,no,0,0,suerte4,suerte,no,no,no,no,no,no,8560,8560,8560,8560,5,5
49,ana,no,0,0,rojo2,propiedad,si,no,no,no,no,no,9264,9264,9264,9044,4,5
50,bob,no,0,0,suerte6,suerte,no,no,no,no,no,no,8594,8594,8594,8594,7,7
51,carla,no,0,0,amarillo1,propiedad,no,no,no,no,no,no,9102,9102,9102,9102,3,3
52,diego,no,0,0,impuesto3,impuesto,no,no,si,no,no,no,8560,8560,8560,8460,5,5
53,ana,no,0,0,amarillo3,propiedad,no,si,no,no,no,no,9044,9044,9044,8988,5,5
54,bob,no,0,0,suerte2,suerte,no,no,no,no,no,no,8594,8594,8594,8594,7,7
55,carla,no,0,0,verde2,propiedad,si,no,no,no,no,no,9102,9102,9102,8802,3,4
56,diego,no,0,0,suerte6,suerte,no,no,no,no,no,no,8516,8516,8516,8516,5,5
57,ana,no,0,0,verde2,propiedad,no,si,no,no,no,no,8988,8988,8988,8928,5,5
58,bob,no,0,0,naranja3,propiedad,no,no,no,no,no,no,8594,8594,8594,8594,7,7
59,carla,no,0,0,morado1,propiedad,si,no,no,no,no,no,8862,8862,8862,8802,4,5
60,diego,no,0,0,impuesto4,impuesto,no,no,si,no,no,no,8516,8516,8516,8416,5,5
61,ana,no,0,0,suerte1,suerte,no,no,no,no,no,no,8928,8928,8928,8928,5,5
62,bob,no,0,0,impuesto3,impuesto,no,no,si,no,no,no,8594,8594,8594,8494,7,7
63,carla,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,8802,8802,8802,8802,5,5
64,diego,no,0,0,gris3,propiedad,no,no,no,no,no,no,8416,8416,8416,8416,5,5
65,ana,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,8928,8928,8928,8928,5,5
66,bob,no,0,0,estacion4,estacion,no,si,no,no,no,no,8494,8494,8494,8454,7,7
67,carla,no,0,0,naranja2,propiedad,no,si,no,no,no,no,8802,8802,8802,8766,5,5
68,diego,no,0,0,naranja2,propiedad,no,si,no,no,no,no,8456,8456,8456,8420,5,5
69,ana,no,0,0,rosa3,propiedad,no,si,no,no,no,no,8928,8928,8928,8896,5,5
70,bob,no,0,0,suerte2,suerte,no,no,no,no,no,no,8526,8526,8526,8526,7,7
71,carla,no,0,0,amarillo1,propiedad,no,no,no,no,no,no,8798,8798,8798,8798,5,5
72,diego,no,0,0,estacion3,estacion,no,si,no,no,no,no,8420,8420,8420,8380,5,5
73,ana,no,0,0,parking,parking,no,no,no,si,no,no,8936,8936,8936,9411,5,5
74,bob,no,0,0,naranja1,propiedad,no,si,no,no,no,no,8526,8526,8526,8490,7,7
75,carla,no,0,0,verde1,propiedad,no,si,no,no,no,no,8798,8798,8798,8738,5,5
76,diego,no,0,0,verde1,propiedad,no,si,no,no,no,no,8380,8380,8380,8320,5,5
77,ana,no,0,0,amarillo1,propiedad,no,si,no,no,no,no,9447,9447,9447,9395,5,5
78,bob,no,0,0,amarillo2,propiedad,si,no,no,no,no,no,8610,8610,8610,8350,7,8
79,carla,no,0,0,salida,salida,no,no,no,no,no,no,8790,8790,8790,8790,5,5
80,diego,no,0,0,azul1,propiedad,no,si,no,no,no,no,8320,8320,8320,8250,5,5
81,ana,no,0,0,verde3,propiedad,si,no,no,no,no,no,9395,9395,9395,9075,5,6
82,bob,no,0,0,verde3,propiedad,no,si,no,no,no,no,8420,8420,8420,8356,8,8
83,carla,no,0,0,estacion1,estacion,si,no,no,no,no,no,8790,8790,8790,8590,5,6
84,diego,no,0,0,impuesto1,impuesto,no,no,si,no,no,no,8250,8250,8250,8050,5,5
85,ana,no,0,0,suerte1,suerte,no,no,no,no,no,no,9139,9139,9139,9139,6,6
86,bob,no,0,0,salida,salida,no,no,no,no,no,no,8356,8356,8356,8356,8,8
87,carla,no,0,0,gris3,propiedad,no,si,no,no,no,no,8590,8590,8590,8566,6,6
88,diego,no,0,0,naranja1,propiedad,no,si,no,no,no,no,8074,8074,8074,8038,5,5
89,ana,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9175,9175,9175,9175,6,6
90,bob,no,0,0,estacion1,estacion,no,si,no,no,no,no,8356,8356,8356,8316,8,8
91,carla,no,0,0,rosa2,propiedad,no,si,no,no,no,no,8606,8606,8606,8578,6,6
92,diego,no,0,0,suerte4,suerte,no,no,no,no,no,no,8066,8066,8066,8066,5,5
93,ana,no,0,0,parking,parking,no,no,no,si,no,no,9175,9175,9175,9512,6,6
94,bob,no,0,0,gris3,propiedad,no,si,no,no,no,no,8316,8316,8316,8292,8,8
95,carla,no,0,0,suerte4,suerte,no,no,no,no,no,no,8578,8578,8578,8578,6,6
96,diego,no,0,0,suerte5,suerte,no,no,no,no,no,no,8090,8090,8090,8090,5,5
97,ana,no,0,0,amarillo1,propiedad,no,si,no,no,no,no,9512,9512,9512,9460,6,6
98,bob,no,0,0,rosa3,propiedad,no,si,no,no,no,no,8292,8292,8292,8260,8,8
99,carla,no,0,0,amarillo3,propiedad,no,si,no,no,no,no,8662,8662,8662,8606,6,6
100,diego,no,0,0,estacion4,estacion,no,no,no,no,no,no,8146,8146,8146,8146,5,5
101,ana,no,0,0,estacion4,estacion,no,si,no,no,no,no,9460,9460,9460,9420,6,6
102,bob,no,0,0,rojo1,propiedad,no,si,no,no,no,no,8260,8260,8260,8216,8,8
103,carla,no,0,0,azul1,propiedad,no,si,no,no,no,no,8650,8650,8650,8580,6,6
104,diego,no,0,0,morado1,propiedad,no,si,no,no,no,no,8186,8186,8186,8174,5,5
105,ana,no,0,0,estacion1,estacion,no,si,no,no,no,no,9420,9420,9420,9380,6,6
106,bob,no,0,0,amarillo3,propiedad,no,si,no,no,no,no,8286,8286,8286,8230,8,8
107,carla,no,0,0,morado1,propiedad,no,no,no,no,no,no,8632,8632,8632,8632,6,6
108,diego,no,0,0,suerte2,suerte,no,no,no,no,no,no,8230,8230,8230,8230,5,5
109,ana,no,0,0,impuesto2,impuesto,no,no,si,no,no,no,9380,9380,9380,9230,6,6
110,bob,no,0,0,impuesto4,impuesto,no,no,si,no,no,no,8230,8230,8230,8130,8,8
111,carla,no,0,0,suerte2,suerte,no,no,no,no,no,no,8632,8632,8632,8632,6,6
112,diego,no,0,0,rosa2,propiedad,no,no,no,no,no,no,8230,8230,8230,8230,5,5
113,ana,no,0,0,rojo2,propiedad,no,no,no,no,no,no,9230,9230,9230,9230,6,6
114,bob,no,0,0,suerte1,suerte,no,no,no,no,no,no,8130,8130,8130,8130,8,8
115,carla,no,0,0,rosa2,propiedad,no,si,no,no,no,no,8632,8632,8632,8604,6,6
116,diego,no,0,0,naranja2,propiedad,no,si,no,no,no,no,8258,8258,8258,8222,5,5
117,ana,no,0,0,amarillo1,propiedad,no,si,no,no,no,no,9230,9230,9230,9178,6,6
118,bob,no,0,0,impuesto2,impuesto,no,no,si,no,no,no,8166,8166,8166,8016,8,8
119,carla,no,0,0,parking,parking,no,no,no,si,no,no,8656,8656,8656,9025,6,6
120,diego,no,0,0,estacion3,estacion,no,si,no,no,no,no,8222,8222,8222,8182,5,5
121,ana,no,0,0,suerte5,suerte,no,no,no,no,no,no,9218,9218,9218,9218,6,6
122,bob,no,0,0,estacion2,estacion,no,si,no,no,no,no,8016,8016,8016,7976,8,8
123,carla,no,0,0,amarillo1,propiedad,no,no,no,no,no,no,9025,9025,9025,9025,6,6
124,diego,no,0,0,verde3,propiedad,no,si,no,no,no,no,8182,8182,8182,8118,5,5
125,ana,no,0,0,azul2,propiedad,si,no,no,no,no,no,9322,9322,9322,8922,6,7
126,bob,no,0,0,suerte4,suerte,no,no,no,no,no,no,7976,7976,7976,7976,8,8
127,carla,no,0,0,amarillo3,propiedad,no,si,no,no,no,no,9025,9025,9025,8969,6,6
128,diego,no,0,0,suerte1,suerte,no,no,no,no,no,no,8174,8174,8174,8174,5,5
129,ana,no,0,0,impuesto1,impuesto,no,no,si,no,no,no,8922,8922,8922,8722,7,7
130,bob,no,0,0,impuesto3,impuesto,no,no,si,no,no,no,7976,7976,7976,7876,8,8
131,carla,no,0,0,impuesto4,impuesto,no,no,si,no,no,no,8969,8969,8969,8869,6,6
132,diego,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,8174,8174,8174,8174,5,5
133,ana,no,0,0,impuesto2,impuesto,no,no,si,no,no,no,8722,8722,8722,8572,7,7
134,bob,no,0,0,azul1,propiedad,no,no,no,no,no,no,7876,7876,7876,7876,8,8
135,carla,no,0,0,morado1,propiedad,no,no,no,no,no,no,8869,8869,8869,8869,6,6
136,diego,no,0,0,rojo1,propiedad,no,si,no,no,no,no,8174,8174,8174,8130,5,5
137,ana,no,0,0,rojo1,propiedad,no,si,no,no,no,no,8572,8572,8572,8528,7,7
138,bob,no,0,0,suerte1,suerte,no,no,no,no,no,no,7876,7876,7876,7876,8,8
139,carla,no,0,0,gris2,propiedad,no,si,no,no,no,no,8957,8957,8957,8937,6,6
140,diego,no,0,0,rojo2,propiedad,no,si,no,no,no,no,8130,8130,8130,8086,5,5
141,ana,no,0,0,impuesto3,impuesto,no,no,si,no,no,no,8592,8592,8592,8492,7,7
142,bob,no,0,0,gris3,propiedad,no,si,no,no,no,no,7876,7876,7876,7852,8,8
143,carla,no,0,0,naranja1,propiedad,no,si,no,no,no,no,8937,8937,8937,8901,6,6
144,diego,no,0,0,verde1,propiedad,no,si,no,no,no,no,8110,8110,8110,8050,5,5
145,ana,no,0,0,estacion4,estacion,no,si,no,no,no,no,8528,8528,8528,8488,7,7
146,bob,no,0,0,naranja1,propiedad,no,si,no,no,no,no,7912,7912,7912,7876,8,8
147,carla,no,0,0,amarillo1,propiedad,no,no,no,no,no,no,8901,8901,8901,8901,6,6
148,diego,no,0,0,morado2,propiedad,no,si,no,no,no,no,8090,8090,8090,8078,5,5
149,ana,no,0,0,estacion1,estacion,no,si,no,no,no,no,8524,8524,8524,8484,7,7
150,bob,no,0,0,naranja3,propiedad,no,no,no,no,no,no,7888,7888,7888,7888,8,8
151,carla,no,0,0,verde2,propiedad,no,no,no,no,no,no,8941,8941,8941,8941,6,6
152,diego,no,0,0,impuesto2,impuesto,no,no,si,no,no,no,8078,8078,8078,7928,5,5
153,ana,no,0,0,rosa1,propiedad,no,si,no,no,no,no,8484,8484,8484,8456,7,7
154,bob,no,0,0,impuesto3,impuesto,no,no,si,no,no,no,7916,7916,7916,7816,8,8
155,carla,no,0,0,salida,salida,no,no,no,no,no,no,8941,8941,8941,8941,6,6
156,diego,no,0,0,rosa3,propiedad,no,si,no,no,no,no,7928,7928,7928,7896,5,5
157,ana,no,0,0,naranja3,propiedad,no,si,no,no,no,no,8456,8456,8456,8416,7,7
158,bob,no,0,0,suerte6,suerte,no,no,no,no,no,no,7856,7856,7856,7856,8,8
159,carla,no,0,0,estacion1,estacion,no,no,no,no,no,no,8973,8973,8973,8973,6,6
160,diego,no,0,0,suerte4,suerte,no,no,no,no,no,no,7896,7896,7896,7896,5,5
161,ana,no,0,0,rojo3,propiedad,no,si,no,no,no,no,8416,8416,8416,8368,7,7
162,bob,no,0,0,morado2,propiedad,no,no,no,no,no,no,7856,7856,7856,7856,8,8
163,carla,no,0,0,gris2,propiedad,no,si,no,no,no,no,8973,8973,8973,8953,6,6
164,diego,no,0,0,verde2,propiedad,no,si,no,no,no,no,7944,7944,7944,7884,5,5
165,ana,no,0,0,verde1,propiedad,no,si,no,no,no,no,8388,8388,8388,8328,7,7
166,bob,no,0,0,gris3,propiedad,no,si,no,no,no,no,7916,7916,7916,7892,8,8
167,carla,no,0,0,rosa3,propiedad,no,no,no,no,no,no,9013,9013,9013,9013,6,6
168,diego,no,0,0,azul1,propiedad,no,si,no,no,no,no,7908,7908,7908,7838,5,5
169,ana,no,0,0,salida,salida,no,no,no,no,no,no,8328,8328,8328,8328,7,7
170,bob,no,0,0,naranja1,propiedad,no,si,no,no,no,no,7962,7962,7962,7926,8,8
171,carla,no,0,0,suerte4,suerte,no,no,no,no,no,no,9013,9013,9013,9013,6,6
172,diego,no,0,0,gris1,propiedad,no,si,no,no,no,no,7838,7838,7838,7818,5,5
173,ana,no,0,0,gris3,propiedad,no,si,no,no,no,no,8364,8364,8364,8340,7,7
174,bob,no,0,0,amarillo2,propiedad,no,no,no,no,no,no,7946,7946,7946,7946,8,8
175,carla,no,0,0,impuesto3,impuesto,no,no,si,no,no,no,9013,9013,9013,8913,6,6
176,diego,no,0,0,rosa1,propiedad,no,si,no,no,no,no,7842,7842,7842,7814,5,5
177,ana,no,0,0,naranja1,propiedad,no,no,no,no,no,no,8340,8340,8340,8340,7,7
178,bob,no,0,0,verde3,propiedad,no,si,no,no,no,no,7974,7974,7974,7910,8,8
179,carla,no,0,0,verde3,propiedad,no,si,no,no,no,no,8913,8913,8913,8849,6,6
180,diego,no,0,0,naranja2,propiedad,no,si,no,no,no,no,7814,7814,7814,7778,5,5
181,ana,no,0,0,amarillo2,propiedad,no,si,no,no,no,no,8468,8468,8468,8416,7,7
182,bob,no,0,0,suerte1,suerte,no,no,no,no,no,no,7998,7998,7998,7998,8,8
183,carla,no,0,0,salida,salida,no,no,no,no,no,no,8849,8849,8849,8849,6,6
184,diego,no,0,0,estacion3,estacion,no,si,no,no,no,no,7778,7778,7778,7738,5,5
185,ana,no,0,0,verde1,propiedad,no,si,no,no,no,no,8456,8456,8456,8396,7,7
186,bob,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,8058,8058,8058,8058,8,8
187,carla,no,0,0,estacion1,estacion,no,no,no,no,no,no,8849,8849,8849,8849,6,6
188,diego,no,0,0,verde2,propiedad,no,si,no,no,no,no,7738,7738,7738,7678,5,5
189,ana,no,0,0,suerte6,suerte,no,no,no,no,no,no,8396,8396,8396,8396,7,7
190,bob,no,0,0,rosa3,propiedad,no,si,no,no,no,no,8058,8058,8058,8026,8,8
191,carla,no,0,0,rosa2,propiedad,no,si,no,no,no,no,8941,8941,8941,8913,6,6
192,diego,no,0,0,impuesto4,impuesto,no,no,si,no,no,no,7706,7706,7706,7606,5,5
193,ana,no,0,0,impuesto4,impuesto,no,no,si,no,no,no,8396,8396,8396,8296,7,7
194,bob,no,0,0,naranja3,propiedad,no,no,no,no,no,no,8026,8026,8026,8026,8,8
195,carla,no,0,0,naranja3,propiedad,no,si,no,no,no,no,8913,8913,8913,8873,6,6
196,diego,no,0,0,gris2,propiedad,no,si,no,no,no,no,7606,7606,7606,7586,5,5
197,ana,no,0,0,morado1,propiedad,no,si,no,no,no,no,8316,8316,8316,8304,7,7
198,bob,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,8066,8066,8066,8066,8,8
199,carla,no,0,0,suerte4,suerte,no,no,no,no,no,no,8885,8885,8885,8885,6,6
200,diego,no,0,0,naranja2,propiedad,no,si,no,no,no,no,7586,7586,7586,7550,5,5
