turno,jugador,monopoly,casas_compradas,coste_casas,nombre_casilla,tipo_casilla,compra,alquiler,impuesto,parking,bancarrota,eliminado,dinero_inicial,dinero_tras_monopoly,dinero_tras_carcel,dinero_final,props_antes,props_despues
1,ana,no,0,0,gris2,propiedad,si,no,no,no,no,no,10000,10000,10000,9900,0,1
2,bob,no,0,0,gris1,propiedad,si,no,no,no,no,no,10000,10000,10000,9900,0,1
3,carla,no,0,0,suerte2,suerte,no,no,no,no,no,no,10000,10000,10000,10000,0,0
4,diego,no,0,0,impuesto1,impuesto,no,no,si,no,no,no,10000,10000,10000,9800,0,0
5,ana,no,0,0,naranja1,propiedad,si,no,no,no,no,no,9900,9900,9900,9720,1,2
6,bob,no,0,0,rosa1,propiedad,si,no,no,no,no,no,9900,9900,9900,9760,1,2
7,carla,no,0,0,rosa3,propiedad,si,no,no,no,no,no,10000,10000,10000,9840,0,1
8,diego,no,0,0,gris3,propiedad,si,no,no,no,no,no,9800,9800,9800,9680,0,1
9,ana,no,0,0,parking,parking,no,no,no,si,no,no,9720,9720,9720,9820,2,2
10,bob,no,0,0,naranja3,propiedad,si,no,no,no,no,no,9760,9760,9760,9560,2,3
11,carla,no,0,0,parking,parking,no,no,no,si,no,no,9840,9840,9840,9890,1,1
12,diego,no,0,0,rosa1,propiedad,no,si,no,no,no,no,9680,9680,9680,9652,1,1
13,ana,no,0,0,estacion3,estacion,si,no,no,no,no,no,9820,9820,9820,9620,2,3
14,bob,no,0,0,estacion3,estacion,no,si,no,no,no,no,9588,9588,9588,9548,3,3
15,carla,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9890,9890,9890,9890,1,1
16,diego,no,0,0,rosa3,propiedad,no,si,no,no,no,no,9652,9652,9652,9620,1,1
17,ana,no,0,0,suerte6,suerte,no,no,no,no,no,no,9660,9660,9660,9660,3,3
18,bob,no,0,0,impuesto3,impuesto,no,no,si,no,no,no,9548,9548,9548,9448,3,3
19,carla,no,0,0,visita_carcel,visita_carcel,no,no,no,no,no,no,9922,9922,9722,9722,1,1
20,diego,no,0,0,rojo3,propiedad,si,no,no,no,no,no,9620,9620,9620,9380,1,2
21,ana,no,0,0,impuesto1,impuesto,no,no,si,no,no,no,9660,9660,9660,9460,3,3
22,bob,no,0,0,verde1,propiedad,si,no,no,no,no,no,9448,9448,9448,9148,3,4
23,carla,no,0,0,suerte3,suerte,no,no,no,no,no,no,9722,9722,9722,9722,1,1
24,diego,no,0,0,amarillo3,propiedad,si,no,no,no,no,no,9380,9380,9380,9100,2,3
25,ana,no,0,0,estacion2,estacion,si,no,no,no,no,no,9460,9460,9460,9260,3,4
26,bob,no,0,0,azul1,propiedad,si,no,no,no,no,no,9148,9148,9148,8798,4,5
27,carla,no,0,0,amarillo1,propiedad,si,no,no,no,no,no,9722,9722,9722,9462,1,2
