turno,jugador,propiedad,tipo,color,precio
2,bob,rosa1,propiedad,rosa,140
3,ana,estacion2,estacion,estacion,200
6,bob,rojo1,propiedad,rojo,220
8,bob,amarillo1,propiedad,amarillo,260
12,bob,azul1,propiedad,azul,350
13,ana,rojo2,propiedad,rojo,220
14,bob,morado2,propiedad,morado,60
15,ana,estacion3,estacion,estacion,200
16,bob,gris2,propiedad,gris,100
17,ana,verde1,propiedad,verde,300
18,bob,naranja2,propiedad,naranja,180
19,ana,verde3,propiedad,verde,320
20,bob,amarillo3,propiedad,amarillo,280
22,bob,azul2,propiedad,azul,400
23,ana,estacion1,estacion,estacion,200
28,bob,rosa2,propiedad,rosa,140
29,ana,verde2,propiedad,verde,300
30,bob,naranja3,propiedad,naranja,200
33,ana,morado1,propiedad,morado,60
37,ana,naranja1,propiedad,naranja,180
38,bob,gris1,propiedad,gris,100
39,ana,amarillo2,propiedad,amarillo,260
51,ana,estacion4,estacion,estacion,200
61,ana,rojo3,propiedad,rojo,240
62,bob,gris3,propiedad,gris,120
