metrica,valor
total_turnos,100
jugadores_restantes,2
total_compras,22
total_alquileres,8
importe_total_alquileres,284
total_impuestos,6
importe_total_impuestos,700
entradas_carcel,2
salidas_pagando,0
salidas_dobles,1
liberaciones_automaticas,1
turnos_perdidos_carcel,4
bancarrotas,4
jugadores_eliminados,0
jugadores_superan_bancarrota,4
valor_total_liquidado,1880
activos_restantes_banco,24
