turno,jugador,nombre_casilla,tipo_casilla,compra,alquiler,impuesto,bancarrota,eliminado,dinero_inicial,dinero_tras_carcel,dinero_final,props_antes,props_despues
1,ana,gris2,propiedad,si,no,no,no,no,1500,1500,1400,0,1
2,bob,gris1,propiedad,si,no,no,no,no,1500,1500,1400,0,1
3,carla,suerte2,suerte,no,no,no,no,no,1500,1500,1500,0,0
4,diego,impuesto1,impuesto,no,no,si,no,no,1500,1500,1300,0,0
5,ana,naranja1,propiedad,si,no,no,no,no,1400,1400,1220,1,2
6,bob,rosa1,propiedad,si,no,no,no,no,1400,1400,1260,1,2
7,carla,rosa3,propiedad,si,no,no,no,no,1500,1500,1340,0,1
8,diego,gris3,propiedad,si,no,no,no,no,1300,1300,1180,0,1
9,ana,parking,parking,no,no,no,no,no,1220,1220,1220,2,2
10,bob,naranja3,propiedad,si,no,no,no,no,1260,1260,1060,2,3
11,carla,parking,parking,no,no,no,no,no,1340,1340,1340,1,1
12,diego,rosa1,propiedad,no,si,no,no,no,1180,1180,1152,1,1
13,ana,estacion3,estacion,si,no,no,no,no,1220,1220,1020,2,3
14,bob,estacion3,estacion,no,si,no,no,no,1088,1088,1048,3,3
15,carla,visita_carcel,visita_carcel,no,no,no,no,no,1340,1340,1340,1,1
16,diego,rosa3,propiedad,no,si,no,no,no,1152,1152,1120,1,1
17,ana,suerte6,suerte,no,no,no,no,no,1060,1060,1060,3,3
18,bob,impuesto3,impuesto,no,no,si,no,no,1048,1048,948,3,3
19,carla,visita_carcel,visita_carcel,no,no,no,no,no,1372,1372,1372,1,1
20,diego,suerte4,suerte,no,no,no,no,no,1120,1120,1120,1,1
21,ana,azul2,propiedad,si,no,no,no,no,1060,1060,660,3,4
22,bob,estacion4,estacion,si,no,no,no,no,948,948,748,3,4
23,carla,visita_carcel,visita_carcel,no,no,no,no,no,1372,1372,1372,1,1
24,diego,suerte5,suerte,no,no,no,no,no,1120,1120,1120,1,1
25,ana,estacion1,estacion,si,no,no,no,no,660,660,460,4,5
26,bob,impuesto1,impuesto,no,no,si,no,no,748,748,548,4,4
27,carla,visita_carcel,visita_carcel,no,no,no,no,no,1372,1372,1372,1,1
28,diego,salida,salida,no,no,no,no,no,1120,1120,1120,1,1
29,ana,rosa1,propiedad,no,si,no,no,no,460,460,432,5,5
30,bob,gris1,propiedad,no,no,no,no,no,576,576,576,4,4
31,carla,naranja3,propiedad,no,si,no,no,no,1372,1372,1332,1,1
32,diego,suerte2,suerte,no,no,no,no,no,1120,1120,1120,1,1
33,ana,naranja3,propiedad,no,si,no,no,no,432,432,392,5,5
34,bob,rosa3,propiedad,no,si,no,no,no,656,656,624,4,4
35,carla,rojo2,propiedad,si,no,no,no,no,1364,1364,1144,1,2
36,diego,naranja2,propiedad,si,no,no,no,no,1120,1120,940,1,2
37,ana,amarillo1,propiedad,si,no,no,no,no,392,392,132,5,6
38,bob,rojo1,propiedad,si,no,no,no,no,624,624,404,4,5
39,carla,impuesto3,impuesto,no,no,si,no,no,1144,1144,1044,2,2
40,diego,amarillo1,propiedad,no,si,no,no,no,940,940,888,2,2
41,ana,suerte5,suerte,no,no,no,no,no,184,184,184,6,6
42,bob,amarillo3,propiedad,si,no,no,no,no,404,404,124,5,6
43,carla,suerte5,suerte,no,no,no,no,no,1044,1044,1044,2,2
44,diego,suerte5,suerte,no,no,no,no,no,888,888,888,2,2
45,ana,azul2,propiedad,no,no,no,no,no,184,184,184,6,6
46,bob,azul2,propiedad,no,si,no,no,no,124,124,44,6,6
47,carla,azul1,propiedad,si,no,no,no,no,1044,1044,694,2,3
48,diego,morado1,propiedad,si,no,no,no,no,888,888,828,2,3
49,ana,impuesto1,impuesto,no,no,si,no,no,264,264,64,6,6
50,bob,impuesto1,impuesto,no,no,si,si,no,44,44,414,6,0
51,carla,morado2,propiedad,si,no,no,no,no,694,694,634,3,4
52,diego,suerte2,suerte,no,no,no,no,no,828,828,828,3,3
53,ana,estacion2,estacion,no,no,no,no,no,64,64,64,6,6
54,bob,visita_carcel,visita_carcel,no,no,no,no,no,414,414,414,0,0
55,carla,rosa1,propiedad,si,no,no,no,no,634,634,494,4,5
56,diego,visita_carcel,visita_carcel,no,no,no,no,no,828,828,828,3,3
57,ana,amarillo2,propiedad,no,no,no,no,no,64,64,64,6,6
58,bob,naranja3,propiedad,si,no,no,no,no,414,414,214,0,1
59,carla,rosa2,propiedad,si,no,no,no,no,494,494,354,5,6
60,diego,parking,parking,no,no,no,no,no,828,828,828,3,3
61,ana,suerte6,suerte,no,no,no,no,no,64,64,64,6,6
62,bob,impuesto3,impuesto,no,no,si,no,no,214,214,114,1,1
63,carla,rojo3,propiedad,si,no,no,no,no,354,354,114,6,7
64,diego,impuesto3,impuesto,no,no,si,no,no,828,828,728,3,3
65,ana,morado2,propiedad,no,si,no,no,no,64,64,52,6,6
66,bob,suerte6,suerte,no,no,no,no,no,114,114,114,1,1
67,carla,suerte5,suerte,no,no,no,no,no,126,126,126,7,7
68,diego,verde2,propiedad,si,no,no,no,no,728,728,428,3,4
69,ana,estacion2,estacion,no,no,no,no,no,52,52,52,6,6
70,bob,impuesto1,impuesto,no,no,si,si,no,114,114,14,1,0
71,carla,salida,salida,no,no,no,no,no,126,126,126,7,7
72,diego,impuesto4,impuesto,no,no,si,no,no,428,428,328,4,4
73,ana,rojo3,propiedad,no,si,no,no,no,52,52,4,6,6
74,bob,gris3,propiedad,no,si,no,si,si,14,14,14,0,0
75,diego,impuesto1,impuesto,no,no,si,no,no,352,352,152,4,4
76,ana,visita_carcel,visita_carcel,no,no,no,no,no,4,4,4,6,6
77,carla,rosa1,propiedad,no,no,no,no,no,174,174,174,7,7
78,diego,rosa2,propiedad,no,si,no,no,no,152,152,124,4,4
79,ana,visita_carcel,visita_carcel,no,no,no,no,no,4,4,4,6,6
80,carla,naranja3,propiedad,si,no,no,no,no,202,202,2,7,8
81,diego,parking,parking,no,no,no,no,no,124,124,124,4,4
82,ana,visita_carcel,visita_carcel,no,no,no,no,no,4,4,4,6,6
83,carla,amarillo1,propiedad,no,si,no,si,no,2,2,705,8,0
84,diego,impuesto3,impuesto,no,no,si,no,no,124,124,24,4,4
85,ana,visita_carcel,visita_carcel,no,no,no,no,no,56,56,56,6,6
86,carla,visita_carcel,visita_carcel,no,no,no,no,no,705,705,705,0,0
87,diego,salida,salida,no,no,no,no,no,24,24,24,4,4
88,ana,naranja2,propiedad,no,si,no,no,no,56,56,20,6,6
89,carla,visita_carcel,visita_carcel,no,no,no,no,no,705,705,705,0,0
90,diego,impuesto1,impuesto,no,no,si,si,no,60,60,190,4,0
91,ana,rojo3,propiedad,no,no,no,no,no,20,20,20,6,6
92,carla,visita_carcel,visita_carcel,no,no,no,no,no,705,705,705,0,0
93,diego,gris2,propiedad,no,si,no,no,no,190,190,170,0,0
94,ana,suerte5,suerte,no,no,no,no,no,40,40,40,6,6
95,carla,rojo1,propiedad,si,no,no,no,no,705,705,485,0,1
96,diego,rosa3,propiedad,si,no,no,no,no,170,170,10,0,1
97,ana,impuesto4,impuesto,no,no,si,si,no,40,40,610,6,0
98,carla,impuesto3,impuesto,no,no,si,no,no,485,485,385,1,1
99,diego,naranja1,propiedad,no,no,no,no,no,10,10,10,1,1
100,ana,suerte2,suerte,no,no,no,no,no,610,610,610,0,0
101,carla,estacion4,estacion,si,no,no,no,no,385,385,185,1,2
102,diego,rojo3,propiedad,no,no,no,no,no,10,10,10,1,1
103,ana,rosa2,propiedad,si,no,no,no,no,610,610,470,0,1
104,carla,estacion1,estacion,no,no,no,no,no,185,185,185,2,2
105,diego,verde2,propiedad,no,no,no,no,no,10,10,10,1,1
106,ana,suerte3,suerte,no,no,no,no,no,470,470,470,1,1
107,carla,rosa1,propiedad,si,no,no,no,no,185,185,45,2,3
108,diego,azul2,propiedad,no,no,no,no,no,10,10,10,1,1
109,ana,amarillo1,propiedad,si,no,no,no,no,470,470,210,1,2
110,carla,suerte3,suerte,no,no,no,no,no,45,45,45,3,3
111,diego,estacion1,estacion,no,no,no,no,no,10,10,10,1,1
112,ana,azul1,propiedad,no,no,no,no,no,210,210,210,2,2
113,carla,rojo1,propiedad,no,no,no,no,no,45,45,45,3,3
114,diego,rosa1,propiedad,no,si,no,si,no,10,10,62,1,0
115,ana,suerte1,suerte,no,no,no,no,no,210,210,210,2,2
116,carla,rojo3,propiedad,no,no,no,no,no,73,73,73,3,3
117,diego,rojo1,propiedad,no,si,no,no,no,62,62,18,0,0
118,ana,gris3,propiedad,si,no,no,no,no,210,210,90,2,3
119,carla,verde1,propiedad,no,no,no,no,no,117,117,117,3,3
120,diego,impuesto3,impuesto,no,no,si,si,si,18,18,18,0,0
121,ana,impuesto2,impuesto,no,no,si,si,no,90,90,200,3,0
122,carla,azul1,propiedad,no,no,no,no,no,117,117,117,3,3
123,ana,rojo1,propiedad,no,si,no,no,no,200,200,156,0,0
124,carla,morado2,propiedad,si,no,no,no,no,161,161,101,3,4
125,ana,impuesto3,impuesto,no,no,si,no,no,156,156,56,0,0
126,carla,gris1,propiedad,si,no,no,no,no,101,101,1,4,5
127,ana,suerte6,suerte,no,no,no,no,no,56,56,56,0,0
128,carla,rosa1,propiedad,no,no,no,no,no,1,1,1,5,5
129,ana,suerte1,suerte,no,no,no,no,no,56,56,56,0,0
130,carla,parking,parking,no,no,no,no,no,1,1,1,5,5
131,ana,visita_carcel,visita_carcel,no,no,no,no,no,56,56,56,0,0
132,carla,impuesto3,impuesto,no,no,si,si,no,1,1,261,5,0
133,ana,naranja3,propiedad,no,no,no,no,no,56,56,56,0,0
134,carla,verde1,propiedad,no,no,no,no,no,261,261,261,0,0
135,ana,visita_carcel,visita_carcel,no,no,no,no,no,56,56,56,0,0
136,carla,salida,salida,no,no,no,no,no,261,261,261,0,0
137,ana,visita_carcel,visita_carcel,no,no,no,no,no,56,56,56,0,0
138,carla,suerte2,suerte,no,no,no,no,no,261,261,261,0,0
139,ana,visita_carcel,visita_carcel,no,no,no,no,no,56,56,56,0,0
140,carla,rosa3,propiedad,si,no,no,no,no,261,261,101,0,1
141,ana,suerte3,suerte,no,no,no,no,no,56,56,56,0,0
142,carla,suerte4,suerte,no,no,no,no,no,101,101,101,1,1
143,ana,estacion3,estacion,no,no,no,no,no,56,56,56,0,0
144,carla,amarillo3,propiedad,no,no,no,no,no,101,101,101,1,1
145,ana,verde2,propiedad,no,no,no,no,no,56,56,56,0,0
146,carla,azul2,propiedad,no,no,no,no,no,101,101,101,1,1
147,ana,impuesto1,impuesto,no,no,si,si,si,56,56,56,0,0
148,carla,gris3,propiedad,no,no,no,no,no,101,101,101,1,1
149,carla,impuesto2,impuesto,no,no,si,si,no,101,101,31,1,0
150,carla,naranja2,propiedad,no,no,no,no,no,31,31,31,0,0
151,carla,amarillo2,propiedad,no,no,no,no,no,31,31,31,0,0
152,carla,suerte5,suerte,no,no,no,no,no,31,31,31,0,0
