metrica,valor
total_turnos,500
jugadores_restantes,7
total_compras,30
total_alquileres,255
importe_total_alquileres,10818
total_impuestos,46
importe_total_impuestos,6700
entradas_carcel,14
salidas_pagando,0
salidas_dobles,6
liberaciones_automaticas,8
turnos_perdidos_carcel,31
bancarrotas,5
jugadores_eliminados,3
jugadores_superan_bancarrota,2
valor_total_liquidado,360
activos_restantes_banco,1
