turno,jugador,casilla,importe,dinero_antes,dinero_despues
2,bob,impuesto1,200,1500,1300
7,gema,impuesto1,200,1500,1300
11,ana,impuesto2,150,1500,1350
33,carla,impuesto3,100,1196,1096
34,diego,impuesto3,100,1320,1220
44,diego,impuesto4,100,1220,1120
77,gema,impuesto3,100,1100,1000
95,elena,impuesto1,200,340,140
107,gema,impuesto1,200,992,792
110,javier,impuesto1,200,1312,1112
123,carla,impuesto2,150,672,522
125,elena,impuesto3,100,464,364
126,fernando,impuesto1,200,1184,984
129,irene,impuesto1,200,1156,956
134,diego,impuesto1,200,652,452
158,hugo,impuesto3,100,1048,948
164,diego,impuesto3,100,500,400
170,javier,impuesto1,200,924,724
179,irene,impuesto1,200,900,700
190,javier,impuesto2,150,724,574
204,diego,impuesto2,150,484,334
228,hugo,impuesto4,100,1088,988
237,gema,impuesto4,100,652,552
239,irene,impuesto1,200,692,492
244,diego,impuesto1,200,342,142
246,fernando,impuesto1,200,784,584
251,ana,impuesto3,100,608,508
255,elena,impuesto2,150,424,274
262,bob,impuesto3,100,860,760
268,hugo,impuesto3,100,992,892
276,fernando,impuesto3,100,552,452
331,ana,impuesto1,200,446,246
340,javier,impuesto2,150,182,32
342,bob,impuesto1,200,960,760
346,fernando,impuesto4,100,316,216
364,diego,impuesto3,100,246,146
373,diego,impuesto4,100,146,46
386,hugo,impuesto4,100,556,456
396,irene,impuesto1,200,24,-176
415,gema,impuesto1,200,236,36
419,carla,impuesto2,150,786,636
458,carla,impuesto2,150,504,354
467,elena,impuesto4,100,1342,1242
477,ana,impuesto3,100,182,82
485,bob,impuesto3,100,1076,976
499,bob,impuesto4,100,976,876
