turno,alquileres_acumulados,importe_acumulado
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,1,28
14,1,28
15,1,28
16,1,28
17,2,72
18,2,72
19,3,124
20,3,124
21,3,124
22,3,124
23,3,124
24,3,124
25,3,124
26,3,124
27,3,124
28,3,124
29,3,124
30,3,124
31,4,176
32,4,176
33,4,176
34,5,236
35,5,236
36,5,236
37,5,236
38,5,236
39,5,236
40,5,236
41,5,236
42,5,236
43,5,236
44,5,236
45,6,276
46,6,276
47,6,276
48,6,276
49,6,276
50,6,276
51,6,276
52,7,308
53,7,308
54,7,308
55,8,360
56,8,360
57,8,360
58,8,360
59,9,400
60,9,400
61,9,400
62,9,400
63,9,400
64,9,400
65,9,400
66,9,400
67,9,400
68,10,460
69,10,460
70,10,460
71,10,460
72,10,460
73,11,500
74,11,500
75,11,500
76,11,500
77,11,500
78,11,500
79,12,540
80,13,600
81,13,600
82,13,600
83,13,600
84,13,600
85,13,600
86,14,632
87,14,632
88,14,632
89,14,632
90,14,632
91,14,632
92,14,632
93,14,632
94,14,632
95,14,632
96,14,632
97,15,676
98,15,676
99,16,736
100,16,736
101,16,736
102,16,736
103,17,756
104,17,756
105,17,756
106,18,784
107,18,784
108,18,784
109,19,828
110,19,828
111,20,888
112,20,888
113,20,888
114,20,888
115,21,900
116,21,900
117,21,900
118,21,900
119,21,900
120,21,900
121,22,940
122,23,972
123,24,1032
124,24,1032
125,24,1032
126,24,1032
127,24,1032
128,24,1032
129,24,1032
130,25,1044
131,26,1092
132,26,1092
133,26,1092
134,26,1092
135,26,1092
136,26,1092
137,27,1104
138,28,1164
139,28,1164
140,28,1164
141,28,1164
142,28,1164
143,29,1208
144,30,1244
145,30,1244
146,30,1244
147,31,1256
148,32,1316
149,32,1316
150,32,1316
151,32,1316
152,32,1316
153,32,1316
154,32,1316
155,32,1316
156,32,1316
157,32,1316
158,32,1316
159,32,1316
160,33,1368
161,33,1368
162,33,1368
163,33,1368
164,34,1380
165,35,1424
166,35,1424
167,36,1488
168,37,1524
169,37,1524
170,37,1524
171,38,1544
172,38,1544
173,39,1572
174,39,1572
175,40,1616
176,41,1636
177,41,1636
178,41,1636
179,41,1636
180,41,1636
181,41,1636
182,41,1636
183,41,1636
184,41,1636
185,42,1664
186,43,1724
187,43,1724
188,43,1724
189,43,1724
190,43,1724
191,43,1724
192,43,1724
193,44,1748
194,44,1748
195,44,1748
196,45,1788
197,45,1788
198,45,1788
199,46,1832
200,47,1912
