turno,alquileres_en_turno,importe_en_turno
246,1,20
247,0,0
248,1,36
249,1,28
250,0,0
251,1,80
252,0,0
253,0,0
254,0,0
255,0,0
256,0,0
257,0,0
258,0,0
259,1,36
260,1,40
261,1,20
262,0,0
263,0,0
264,1,32
265,1,48
266,1,44
267,1,12
268,0,0
269,1,48
270,1,40
271,0,0
272,1,70
273,1,40
274,0,0
275,1,56
276,0,0
277,1,12
278,1,80
279,1,60
280,0,0
281,1,36
282,0,0
283,1,12
284,1,48
285,0,0
286,1,70
287,0,0
288,1,40
289,1,70
290,0,0
291,0,0
292,1,28
293,0,0
294,1,52
295,1,40
296,0,0
297,1,40
298,0,0
299,0,0
300,0,0
301,1,56
302,1,40
303,1,40
304,0,0
305,1,28
306,1,24
307,1,40
308,1,44
309,1,20
310,1,36
311,0,0
312,0,0
313,1,52
314,1,80
315,1,36
316,1,36
317,1,52
318,0,0
319,1,40
320,1,52
321,1,20
322,0,0
323,0,0
324,1,24
325,0,0
326,1,52
327,0,0
328,1,64
329,1,48
330,1,60
331,1,40
332,1,70
333,1,40
334,0,0
335,0,0
336,1,60
337,0,0
338,1,80
339,1,60
340,1,40
341,0,0
342,0,0
343,1,12
344,1,44
345,1,12
346,0,0
347,1,40
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,1,20
354,0,0
355,0,0
356,1,20
357,0,0
358,1,36
359,1,20
360,0,0
361,1,12
362,1,32
363,1,32
364,1,40
365,0,0
366,1,28
367,1,36
368,0,0
369,1,32
370,0,0
371,1,20
372,0,0
373,0,0
374,0,0
375,0,0
376,1,32
377,1,52
378,1,64
379,0,0
380,1,40
381,1,28
382,1,60
383,0,0
384,0,0
385,1,64
386,1,44
387,0,0
388,0,0
389,1,52
390,1,52
391,1,44
392,1,80
393,0,0
394,1,36
395,1,12
396,0,0
397,1,70
398,0,0
399,0,0
400,1,64
401,1,52
402,1,20
403,0,0
404,0,0
405,1,40
406,0,0
407,0,0
408,1,24
409,1,80
410,0,0
411,0,0
412,0,0
413,0,0
414,1,60
415,0,0
416,1,40
417,0,0
418,1,40
419,1,20
420,1,24
421,1,20
422,0,0
423,1,40
424,1,80
425,1,52
426,1,24
427,1,36
428,1,52
429,1,40
430,1,40
431,0,0
432,1,40
433,1,44
434,0,0
435,1,70
436,1,36
437,0,0
438,1,40
439,0,0
440,0,0
441,1,48
442,0,0
443,1,52
444,1,24
445,1,24
446,1,52
447,1,52
448,1,80
449,0,0
450,0,0
451,0,0
452,0,0
453,0,0
454,1,40
455,1,32
456,0,0
457,1,56
458,1,20
459,1,40
460,0,0
461,1,64
462,0,0
463,1,20
464,0,0
465,0,0
466,0,0
467,0,0
468,1,32
469,1,12
470,1,24
471,0,0
472,1,36
473,1,28
474,0,0
475,0,0
476,0,0
477,1,40
478,1,44
479,0,0
480,1,40
481,0,0
482,1,48
483,0,0
484,1,40
485,0,0
486,0,0
487,1,28
488,0,0
489,0,0
490,1,44
491,1,36
492,1,52
493,1,56
494,1,64
495,1,12
496,1,40
497,1,28
498,1,70
499,1,40
500,1,60
501,1,48
502,1,64
503,0,0
504,0,0
505,1,40
506,1,56
507,1,36
508,1,12
509,0,0
510,1,70
511,0,0
512,0,0
513,0,0
514,0,0
515,1,44
516,1,64
517,1,48
518,1,20
519,1,40
520,0,0
521,1,12
522,1,24
523,0,0
524,1,36
525,0,0
526,0,0
527,1,60
528,0,0
529,0,0
530,1,24
531,1,32
532,1,40
533,1,24
534,1,40
535,0,0
536,1,24
537,0,0
538,1,52
539,0,0
540,1,40
541,1,44
542,1,40
543,0,0
544,0,0
545,0,0
546,1,32
547,0,0
548,1,40
549,1,36
550,0,0
551,1,52
552,1,40
553,1,52
554,0,0
555,1,28
556,0,0
557,0,0
558,1,12
559,1,44
560,1,48
561,1,60
562,0,0
563,0,0
564,0,0
565,1,40
566,1,48
567,1,36
568,1,40
569,0,0
570,1,60
571,1,80
572,0,0
573,1,70
574,1,28
575,1,52
576,1,60
577,1,44
578,1,28
579,1,70
580,1,80
581,0,0
582,1,28
583,1,12
584,1,44
585,0,0
586,0,0
587,0,0
588,1,36
589,1,12
590,1,40
591,1,40
592,0,0
593,1,28
594,1,52
595,0,0
596,1,20
597,0,0
598,0,0
599,0,0
600,1,32
601,1,52
602,1,40
603,0,0
604,1,64
605,1,28
606,0,0
607,0,0
608,0,0
609,1,40
610,0,0
611,1,40
612,0,0
613,0,0
614,0,0
615,0,0
616,1,44
617,1,20
618,0,0
619,1,52
620,1,40
621,0,0
622,0,0
623,0,0
624,0,0
625,1,64
626,1,56
627,1,28
628,1,20
629,1,60
630,1,40
631,1,20
632,0,0
633,1,12
634,0,0
635,1,80
636,0,0
637,1,40
638,0,0
639,1,80
640,1,12
641,0,0
642,0,0
643,1,24
644,1,32
645,1,40
646,0,0
647,1,48
648,1,44
649,1,40
650,1,32
651,1,36
652,0,0
653,1,32
654,0,0
655,1,40
656,0,0
657,1,60
658,0,0
659,1,20
660,0,0
661,0,0
662,0,0
663,1,44
664,0,0
665,1,44
666,0,0
667,1,70
668,1,80
669,1,36
670,0,0
671,1,64
672,1,60
673,1,60
674,1,56
675,0,0
676,0,0
677,1,80
678,1,20
679,1,44
680,0,0
681,0,0
682,1,80
683,1,80
684,1,80
685,0,0
686,1,60
687,0,0
688,0,0
689,1,60
690,0,0
691,0,0
692,0,0
693,1,12
694,0,0
695,1,20
696,1,70
697,0,0
698,0,0
699,1,80
700,1,40
701,1,44
702,1,32
703,0,0
704,1,28
705,1,28
706,1,20
707,0,0
708,1,40
709,1,20
710,1,32
711,1,60
712,0,0
713,0,0
714,0,0
715,0,0
716,0,0
717,1,48
718,0,0
719,1,36
720,0,0
721,1,80
722,1,48
723,0,0
724,1,40
725,0,0
726,0,0
727,0,0
728,0,0
729,0,0
730,0,0
731,0,0
732,0,0
733,0,0
734,0,0
735,0,0
736,0,0
737,0,0
738,0,0
739,1,40
740,1,56
741,1,24
742,1,12
743,0,0
744,1,70
745,0,0
746,1,52
747,0,0
748,1,32
749,1,64
750,0,0
751,0,0
752,1,24
753,0,0
754,1,20
755,1,28
756,1,64
757,1,24
758,0,0
759,1,12
760,0,0
761,0,0
762,1,36
763,1,20
764,1,36
765,1,40
766,0,0
767,0,0
768,1,52
769,0,0
770,0,0
771,0,0
772,0,0
773,1,32
774,1,44
775,0,0
776,1,28
777,1,36
778,1,70
779,1,36
780,1,40
781,0,0
782,0,0
783,1,44
784,1,56
785,0,0
786,0,0
787,0,0
788,1,40
789,1,44
790,1,40
791,1,28
792,1,40
793,1,52
794,1,40
795,0,0
796,1,48
797,1,64
798,1,28
799,0,0
800,0,0
801,0,0
802,1,12
803,0,0
804,1,80
805,1,40
806,1,60
807,1,80
808,0,0
809,0,0
810,0,0
811,1,48
812,0,0
813,0,0
814,0,0
815,1,48
816,0,0
817,1,12
818,0,0
819,1,12
820,1,20
821,0,0
822,0,0
823,0,0
824,1,24
825,0,0
826,1,20
827,0,0
828,1,60
829,0,0
830,1,40
831,1,64
832,0,0
833,0,0
834,0,0
835,0,0
836,1,28
837,0,0
838,1,80
839,0,0
840,1,40
841,1,12
842,1,64
843,0,0
844,1,40
845,1,20
846,1,36
847,1,44
848,1,20
849,0,0
850,0,0
851,0,0
852,1,70
853,1,40
854,1,48
855,1,28
856,1,40
857,1,40
858,1,40
859,1,52
860,1,12
861,0,0
862,0,0
863,0,0
864,1,64
865,1,40
866,1,40
867,0,0
868,1,44
869,0,0
870,0,0
871,1,56
872,0,0
873,0,0
874,0,0
875,0,0
876,0,0
877,0,0
878,0,0
879,1,12
880,0,0
881,1,80
882,1,40
883,0,0
884,1,20
885,0,0
886,1,24
887,1,12
888,1,64
889,0,0
890,1,40
891,0,0
892,1,40
893,1,40
894,1,40
895,1,40
896,0,0
897,0,0
898,1,40
899,0,0
900,1,40
901,0,0
902,0,0
903,1,44
904,0,0
905,0,0
906,0,0
907,0,0
908,1,28
909,1,52
910,1,52
911,0,0
912,1,40
913,0,0
914,1,44
915,1,44
916,1,44
917,1,48
918,1,44
919,1,56
920,1,64
921,1,52
922,1,20
923,1,80
924,1,60
925,1,56
926,0,0
927,0,0
928,1,44
929,0,0
930,1,12
931,1,40
932,1,32
933,1,12
934,1,12
935,0,0
936,1,70
937,1,40
938,1,60
939,1,40
940,1,24
941,0,0
942,0,0
943,1,24
944,1,28
945,0,0
946,1,40
947,0,0
948,0,0
949,1,28
950,1,40
951,0,0
952,1,52
953,0,0
954,1,36
955,0,0
956,1,32
957,0,0
958,1,20
959,0,0
960,1,48
961,0,0
962,1,40
963,0,0
964,1,48
965,1,44
966,1,36
967,0,0
968,1,32
969,1,52
970,0,0
971,1,60
972,0,0
973,0,0
974,0,0
975,1,60
976,1,52
977,0,0
978,0,0
979,1,64
980,1,40
981,0,0
982,1,20
983,0,0
984,1,64
985,0,0
986,1,40
987,1,40
988,0,0
989,0,0
990,1,40
991,0,0
992,0,0
993,0,0
994,0,0
995,1,24
996,0,0
997,1,52
998,1,40
999,0,0
1000,0,0
