turno,alquileres_en_turno,importe_en_turno
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,1,28
13,0,0
14,1,40
15,0,0
16,1,32
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,1,40
26,0,0
27,1,28
28,0,0
29,1,28
30,0,0
31,0,0
32,0,0
33,1,40
34,1,32
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,1,52
41,0,0
42,1,56
43,0,0
44,0,0
45,0,0
46,1,80
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,1,40
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,1,12
72,0,0
73,1,48
74,1,24
75,0,0
76,0,0
77,1,40
78,1,36
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,1,52
87,1,60
88,0,0
89,1,28
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,1,24
96,0,0
97,0,0
98,0,0
99,1,28
100,1,28
101,1,56
102,1,40
103,0,0
104,1,44
105,0,0
106,0,0
107,1,44
108,0,0
109,1,20
110,1,40
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,1,12
120,1,28
121,1,44
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,1,36
128,0,0
129,0,0
130,1,36
131,1,52
132,0,0
133,1,40
134,0,0
135,1,70
136,1,80
137,0,0
138,1,52
139,1,80
140,1,20
141,0,0
142,1,64
143,0,0
144,1,28
145,1,48
146,0,0
147,1,40
148,1,44
149,0,0
150,0,0
151,0,0
152,1,56
153,0,0
154,1,36
155,0,0
156,1,70
157,0,0
158,0,0
159,0,0
160,0,0
161,1,28
162,1,52
163,1,20
164,0,0
165,0,0
166,1,60
167,0,0
168,0,0
169,1,48
170,0,0
171,0,0
172,1,52
173,1,40
174,0,0
175,1,52
176,1,64
177,0,0
178,0,0
179,0,0
180,1,40
181,0,0
182,1,36
183,1,12
184,0,0
185,1,36
186,0,0
187,1,20
188,1,32
189,0,0
190,0,0
191,0,0
192,1,36
193,0,0
194,1,70
195,0,0
196,1,40
197,0,0
198,0,0
199,0,0
200,1,52
201,1,12
202,0,0
203,1,80
204,0,0
205,0,0
206,1,36
207,0,0
208,1,40
209,1,28
210,1,36
211,0,0
212,0,0
213,1,44
214,1,52
215,1,36
216,1,44
217,0,0
218,0,0
219,1,44
220,1,60
221,1,40
222,1,12
223,0,0
224,0,0
225,1,12
226,0,0
227,1,60
228,1,20
229,1,20
230,1,36
231,0,0
232,0,0
233,0,0
234,0,0
235,1,20
236,1,40
237,1,56
238,0,0
239,1,20
240,1,40
241,0,0
242,0,0
243,1,40
244,0,0
245,1,40
246,1,20
247,0,0
248,1,70
249,0,0
250,1,36
251,1,40
252,1,12
253,0,0
254,0,0
255,1,12
256,0,0
257,0,0
258,0,0
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,1,40
265,0,0
266,1,80
267,1,52
268,0,0
269,0,0
270,1,12
271,1,60
272,1,12
273,1,40
274,0,0
275,1,12
276,0,0
277,1,48
278,0,0
279,0,0
280,0,0
281,1,60
282,1,52
283,1,28
284,0,0
285,0,0
286,0,0
287,0,0
288,1,40
289,0,0
290,1,70
291,1,44
292,1,20
293,0,0
294,1,12
295,0,0
296,0,0
297,0,0
298,0,0
299,1,40
300,1,36
301,0,0
302,1,36
303,0,0
304,0,0
305,1,60
306,0,0
307,0,0
308,1,52
309,0,0
310,0,0
311,0,0
312,1,40
313,0,0
314,0,0
315,1,60
316,0,0
317,0,0
318,0,0
319,0,0
320,1,28
321,1,40
322,0,0
323,1,12
324,0,0
325,0,0
326,1,36
327,0,0
328,0,0
329,1,56
330,0,0
331,0,0
332,1,64
333,0,0
334,0,0
335,0,0
336,0,0
337,1,20
338,0,0
339,1,60
340,0,0
341,1,28
342,0,0
343,0,0
344,1,32
345,1,40
346,0,0
347,0,0
348,1,44
349,0,0
350,0,0
351,1,36
352,0,0
353,0,0
354,1,36
355,1,44
356,1,80
357,0,0
358,1,48
359,0,0
360,0,0
361,0,0
362,0,0
363,1,40
364,1,32
365,0,0
366,0,0
367,0,0
368,1,40
369,1,48
370,1,12
371,1,20
372,1,44
373,1,56
374,1,24
375,1,36
376,1,48
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,1,12
385,1,24
386,0,0
387,1,80
388,0,0
389,0,0
390,0,0
391,1,20
392,0,0
393,1,44
394,0,0
395,0,0
396,0,0
397,0,0
398,1,40
399,0,0
400,0,0
