turno,alquileres_acumulados,importe_acumulado
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,1,28
13,1,28
14,2,68
15,2,68
16,3,100
17,3,100
18,3,100
19,3,100
20,3,100
21,3,100
22,3,100
23,3,100
24,3,100
25,4,140
26,4,140
27,5,168
28,5,168
29,6,196
30,6,196
31,6,196
32,6,196
33,7,236
34,8,268
35,8,268
36,8,268
37,8,268
38,8,268
39,8,268
40,9,320
41,9,320
42,10,376
43,10,376
44,10,376
45,10,376
46,11,456
47,11,456
48,11,456
49,11,456
50,11,456
51,11,456
52,11,456
53,11,456
54,11,456
55,11,456
56,11,456
57,11,456
58,11,456
59,11,456
60,11,456
61,11,456
62,11,456
63,12,496
64,12,496
65,12,496
66,12,496
67,12,496
68,12,496
69,12,496
70,12,496
71,13,508
72,13,508
73,14,556
74,15,580
75,15,580
76,15,580
77,16,620
78,17,656
79,17,656
80,17,656
81,17,656
82,17,656
83,17,656
84,17,656
85,17,656
86,18,708
87,19,768
88,19,768
89,20,796
90,20,796
91,20,796
92,20,796
93,20,796
94,20,796
95,21,820
96,21,820
97,21,820
98,21,820
99,22,848
100,23,876
101,24,932
102,25,972
103,25,972
104,26,1016
105,26,1016
106,26,1016
107,27,1060
108,27,1060
109,28,1080
110,29,1120
111,29,1120
112,29,1120
113,29,1120
114,29,1120
115,29,1120
116,29,1120
117,29,1120
118,29,1120
119,30,1132
120,31,1160
121,32,1204
122,32,1204
123,32,1204
124,32,1204
125,32,1204
126,32,1204
127,33,1240
128,33,1240
129,33,1240
130,34,1276
131,35,1328
132,35,1328
133,36,1368
134,36,1368
135,37,1438
136,38,1518
137,38,1518
138,39,1570
139,40,1650
140,41,1670
141,41,1670
142,42,1734
143,42,1734
144,43,1762
145,44,1810
146,44,1810
147,45,1850
148,46,1894
149,46,1894
150,46,1894
151,46,1894
152,47,1950
153,47,1950
154,48,1986
155,48,1986
156,49,2056
157,49,2056
158,49,2056
159,49,2056
160,49,2056
161,50,2084
162,51,2136
163,52,2156
164,52,2156
165,52,2156
166,53,2216
167,53,2216
168,53,2216
169,54,2264
170,54,2264
171,54,2264
172,55,2316
173,56,2356
174,56,2356
175,57,2408
176,58,2472
177,58,2472
178,58,2472
179,58,2472
180,59,2512
181,59,2512
182,60,2548
183,61,2560
184,61,2560
185,62,2596
186,62,2596
187,63,2616
188,64,2648
189,64,2648
190,64,2648
191,64,2648
192,65,2684
193,65,2684
194,66,2754
195,66,2754
196,67,2794
197,67,2794
198,67,2794
199,67,2794
200,68,2846
201,69,2858
202,69,2858
203,70,2938
204,70,2938
205,70,2938
206,71,2974
207,71,2974
208,72,3014
209,73,3042
210,74,3078
211,74,3078
212,74,3078
213,75,3122
214,76,3174
215,77,3210
216,78,3254
217,78,3254
218,78,3254
219,79,3298
220,80,3358
221,81,3398
222,82,3410
223,82,3410
224,82,3410
225,83,3422
226,83,3422
227,84,3482
228,85,3502
229,86,3522
230,87,3558
231,87,3558
232,87,3558
233,87,3558
234,87,3558
235,88,3578
236,89,3618
237,90,3674
238,90,3674
239,91,3694
240,92,3734
241,92,3734
242,92,3734
243,93,3774
244,93,3774
245,94,3814
246,95,3834
247,95,3834
248,96,3904
249,96,3904
250,97,3940
251,98,3980
252,99,3992
253,99,3992
254,99,3992
255,100,4004
256,100,4004
257,100,4004
258,100,4004
259,100,4004
260,100,4004
261,100,4004
262,100,4004
263,100,4004
264,101,4044
265,101,4044
266,102,4124
267,103,4176
268,103,4176
269,103,4176
270,104,4188
271,105,4248
272,106,4260
273,107,4300
274,107,4300
275,108,4312
276,108,4312
277,109,4360
278,109,4360
279,109,4360
280,109,4360
281,110,4420
282,111,4472
283,112,4500
284,112,4500
285,112,4500
286,112,4500
287,112,4500
288,113,4540
289,113,4540
290,114,4610
291,115,4654
292,116,4674
293,116,4674
294,117,4686
295,117,4686
296,117,4686
297,117,4686
298,117,4686
299,118,4726
300,119,4762
301,119,4762
302,120,4798
303,120,4798
304,120,4798
305,121,4858
306,121,4858
307,121,4858
308,122,4910
309,122,4910
310,122,4910
311,122,4910
312,123,4950
313,123,4950
314,123,4950
315,124,5010
316,124,5010
317,124,5010
318,124,5010
319,124,5010
320,125,5038
321,126,5078
322,126,5078
323,127,5090
324,127,5090
325,127,5090
326,128,5126
327,128,5126
328,128,5126
329,129,5182
330,129,5182
331,129,5182
332,130,5246
333,130,5246
334,130,5246
335,130,5246
336,130,5246
337,131,5266
338,131,5266
339,132,5326
340,132,5326
341,133,5354
342,133,5354
343,133,5354
344,134,5386
345,135,5426
346,135,5426
347,135,5426
348,136,5470
349,136,5470
350,136,5470
351,137,5506
352,137,5506
353,137,5506
354,138,5542
355,139,5586
356,140,5666
357,140,5666
358,141,5714
359,141,5714
360,141,5714
361,141,5714
362,141,5714
363,142,5754
364,143,5786
365,143,5786
366,143,5786
367,143,5786
368,144,5826
369,145,5874
370,146,5886
371,147,5906
372,148,5950
373,149,6006
374,150,6030
375,151,6066
376,152,6114
377,152,6114
378,152,6114
379,152,6114
380,152,6114
381,152,6114
382,152,6114
383,152,6114
384,153,6126
385,154,6150
386,154,6150
387,155,6230
388,155,6230
389,155,6230
390,155,6230
391,156,6250
392,156,6250
393,157,6294
394,157,6294
395,157,6294
396,157,6294
397,157,6294
398,158,6334
399,158,6334
400,158,6334
