jugador,propiedades_finales,dinero_final
ana,4,10090
bob,3,9654
carla,4,11084
diego,2,8822
elena,3,10394
fernando,3,10692
gema,2,9308
hugo,2,8536
irene,2,8268
javier,1,7762
