turno,indice_jugador,jugador,dado1,dado2,suma,posicion_anterior,posicion_nueva,paso_salida,nombre_casilla,tipo_casilla,precio_casilla,color_casilla,compra_realizada,alquiler_realizado,alquiler_teorico,pago_real,dinero_inicial_turno,dinero_final_turno,propiedades_antes,propiedades_despues
58,8,hugo,4,6,10,32,2,si,morado1,propiedad,60,morado,no,si,12,12,9480,9468,2,2
59,9,irene,6,3,9,32,1,si,salida,salida,0,ninguno,no,no,0,0,9668,9668,2,2
60,10,javier,3,6,9,31,40,no,azul2,propiedad,400,azul,no,si,80,80,9892,9812,0,0
61,1,ana,5,6,11,2,13,no,impuesto2,impuesto,150,ninguno,no,no,0,0,9844,9844,2,2
62,2,bob,4,4,8,3,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,9500,9500,2,2
63,3,carla,1,6,7,3,10,no,gris3,propiedad,120,gris,no,si,24,24,9424,9400,4,4
64,4,diego,6,2,8,2,10,no,gris3,propiedad,120,gris,no,si,24,24,9808,9784,1,1
65,5,elena,3,6,9,8,17,no,naranja1,propiedad,180,naranja,no,si,36,36,9536,9500,2,2
66,6,fernando,3,1,4,40,4,si,morado2,propiedad,60,morado,si,no,0,0,9420,9360,2,3
67,7,gema,6,6,12,33,5,si,impuesto1,impuesto,200,ninguno,no,no,0,0,9500,9500,2,2
68,8,hugo,6,2,8,2,10,no,gris3,propiedad,120,gris,no,si,24,24,9504,9480,2,2
69,9,irene,4,3,7,1,8,no,suerte2,suerte,0,ninguno,no,no,0,0,9740,9740,2,2
70,10,javier,3,3,6,40,6,si,estacion1,estacion,200,estacion,no,si,40,40,9812,9772,0,0
71,1,ana,5,4,9,13,22,no,rojo1,propiedad,220,rojo,no,si,44,44,9844,9800,2,2
72,2,bob,1,4,5,11,16,no,estacion2,estacion,200,estacion,no,si,40,40,9544,9504,2,2
73,3,carla,3,3,6,10,16,no,estacion2,estacion,200,estacion,no,si,40,40,9400,9360,4,4
74,4,diego,3,3,6,10,16,no,estacion2,estacion,200,estacion,no,si,40,40,9824,9784,1,1
75,5,elena,6,5,11,17,28,no,amarillo2,propiedad,260,amarillo,si,no,0,0,9500,9240,2,3
76,6,fernando,6,3,9,4,13,no,impuesto2,impuesto,150,ninguno,no,no,0,0,9480,9480,3,3
77,7,gema,4,2,6,5,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,9500,9500,2,2
78,8,hugo,5,3,8,10,18,no,suerte3,suerte,0,ninguno,no,no,0,0,9480,9480,2,2
79,9,irene,6,1,7,8,15,no,rosa3,propiedad,160,rosa,no,si,32,32,9740,9708,2,2
80,10,javier,1,4,5,6,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,9772,9772,0,0
81,1,ana,3,4,7,22,29,no,impuesto3,impuesto,100,ninguno,no,no,0,0,9800,9800,2,2
82,2,bob,2,6,8,16,24,no,rojo2,propiedad,220,rojo,si,no,0,0,9504,9284,2,3
83,3,carla,5,1,6,16,22,no,rojo1,propiedad,220,rojo,no,si,44,44,9360,9316,4,4
84,4,diego,2,2,4,16,20,no,naranja3,propiedad,200,naranja,si,no,0,0,9784,9584,1,2
85,5,elena,6,6,12,28,40,no,azul2,propiedad,400,azul,no,si,80,80,9240,9160,3,3
86,6,fernando,2,6,8,13,21,no,parking,parking,0,ninguno,no,no,0,0,9560,9560,3,3
87,7,gema,3,2,5,11,16,no,estacion2,estacion,200,estacion,no,si,40,40,9532,9492,2,2
88,8,hugo,1,3,4,18,22,no,rojo1,propiedad,220,rojo,no,si,44,44,9480,9436,2,2
89,9,irene,1,5,6,15,21,no,parking,parking,0,ninguno,no,no,0,0,9708,9708,2,2
90,10,javier,5,5,10,11,21,no,parking,parking,0,ninguno,no,no,0,0,9772,9772,0,0
91,1,ana,2,2,4,29,33,no,verde2,propiedad,300,verde,no,si,60,60,9800,9740,2,2
92,2,bob,5,4,9,24,33,no,verde2,propiedad,300,verde,no,si,60,60,9372,9312,3,3
93,3,carla,5,6,11,22,33,no,verde2,propiedad,300,verde,no,si,60,60,9316,9256,4,4
94,4,diego,4,2,6,20,26,no,estacion3,estacion,200,estacion,no,si,40,40,9584,9544,2,2
95,5,elena,1,4,5,40,5,si,impuesto1,impuesto,200,ninguno,no,no,0,0,9160,9160,3,3
96,6,fernando,4,3,7,21,28,no,amarillo2,propiedad,260,amarillo,no,si,52,52,9600,9548,3,3
97,7,gema,1,1,2,16,18,no,suerte3,suerte,0,ninguno,no,no,0,0,9672,9672,2,2
98,8,hugo,5,4,9,22,31,no,carcel,carcel,0,ninguno,no,no,0,0,9436,9436,2,2
99,9,irene,2,5,7,21,28,no,amarillo2,propiedad,260,amarillo,no,si,52,52,9708,9656,2,2
100,10,javier,4,4,8,21,29,no,impuesto3,impuesto,100,ninguno,no,no,0,0,9772,9772,0,0
