turno,indice_jugador,jugador,dado1,dado2,suma,posicion_anterior,posicion_nueva,paso_salida,nombre_casilla,tipo_casilla,precio_casilla,color_casilla,compra_realizada,alquiler_realizado,alquiler_teorico,pago_real,dinero_inicial_turno,dinero_final_turno,propiedades_antes,propiedades_despues
1,1,ana,3,4,7,1,8,no,suerte2,suerte,0,ninguno,no,no,0,0,10000,10000,0,0
2,2,bob,2,3,5,1,6,no,estacion1,estacion,200,estacion,si,no,0,0,10000,9800,0,1
3,1,ana,3,1,4,8,12,no,rosa1,propiedad,140,rosa,si,no,0,0,10000,9860,0,1
4,2,bob,6,2,8,6,14,no,rosa2,propiedad,140,rosa,si,no,0,0,9800,9660,1,2
5,1,ana,5,1,6,12,18,no,suerte3,suerte,0,ninguno,no,no,0,0,9860,9860,1,1
6,2,bob,1,1,2,14,16,no,estacion2,estacion,200,estacion,si,no,0,0,9660,9460,2,3
7,1,ana,4,1,5,18,23,no,suerte4,suerte,0,ninguno,no,no,0,0,9860,9860,1,1
8,2,bob,1,5,6,16,22,no,rojo1,propiedad,220,rojo,si,no,0,0,9460,9240,3,4
9,1,ana,4,6,10,23,33,no,verde2,propiedad,300,verde,si,no,0,0,9860,9560,1,2
10,2,bob,2,1,3,22,25,no,rojo3,propiedad,240,rojo,si,no,0,0,9240,9000,4,5
11,1,ana,6,5,11,33,4,si,morado2,propiedad,60,morado,si,no,0,0,9560,9500,2,3
12,2,bob,2,1,3,25,28,no,amarillo2,propiedad,260,amarillo,si,no,0,0,9000,8740,5,6
13,1,ana,6,4,10,4,14,no,rosa2,propiedad,140,rosa,no,si,28,28,9500,9472,3,3
14,2,bob,5,3,8,28,36,no,estacion4,estacion,200,estacion,si,no,0,0,8768,8568,6,7
15,1,ana,1,2,3,14,17,no,naranja1,propiedad,180,naranja,si,no,0,0,9472,9292,3,4
16,2,bob,3,4,7,36,3,si,suerte1,suerte,0,ninguno,no,no,0,0,8568,8568,7,7
17,1,ana,1,4,5,17,22,no,rojo1,propiedad,220,rojo,no,si,44,44,9292,9248,4,4
18,2,bob,5,6,11,3,14,no,rosa2,propiedad,140,rosa,no,no,0,0,8612,8612,7,7
19,1,ana,4,2,6,22,28,no,amarillo2,propiedad,260,amarillo,no,si,52,52,9248,9196,4,4
20,2,bob,3,6,9,14,23,no,suerte4,suerte,0,ninguno,no,no,0,0,8664,8664,7,7
21,1,ana,2,4,6,28,34,no,suerte5,suerte,0,ninguno,no,no,0,0,9196,9196,4,4
22,2,bob,6,1,7,23,30,no,amarillo3,propiedad,280,amarillo,si,no,0,0,8664,8384,7,8
23,1,ana,5,1,6,34,40,no,azul2,propiedad,400,azul,si,no,0,0,9196,8796,4,5
24,2,bob,1,1,2,30,32,no,verde1,propiedad,300,verde,si,no,0,0,8384,8084,8,9
25,1,ana,4,5,9,40,9,si,gris2,propiedad,100,gris,si,no,0,0,8796,8696,5,6
26,2,bob,2,5,7,32,39,no,impuesto4,impuesto,100,ninguno,no,no,0,0,8084,8084,9,9
27,1,ana,3,5,8,9,17,no,naranja1,propiedad,180,naranja,no,no,0,0,8696,8696,6,6
