jugador,total_pagado_alquiler,total_cobrado_alquiler,balance_alquiler
ana,2056,2896,840
bob,2226,2600,374
carla,1944,3868,1924
diego,2458,1680,-778
elena,2134,3288,1154
fernando,2404,3756,1352
gema,2140,1908,-232
hugo,2572,1548,-1024
irene,2504,992,-1512
javier,2630,532,-2098
