turno,jugador,propiedades_despues
1,ana,0
3,ana,1
5,ana,1
7,ana,1
9,ana,2
11,ana,3
13,ana,3
15,ana,4
17,ana,4
19,ana,4
21,ana,4
23,ana,5
25,ana,6
27,ana,6
29,ana,6
31,ana,6
33,ana,6
35,ana,6
37,ana,6
39,ana,6
41,ana,7
43,ana,8
45,ana,8
47,ana,8
49,ana,8
51,ana,8
53,ana,9
55,ana,9
57,ana,9
59,ana,9
61,ana,9
63,ana,10
65,ana,10
67,ana,10
69,ana,10
71,ana,10
73,ana,10
75,ana,10
77,ana,10
79,ana,10
81,ana,10
83,ana,10
85,ana,10
87,ana,10
89,ana,10
91,ana,10
93,ana,10
95,ana,10
97,ana,10
99,ana,10
101,ana,11
103,ana,11
105,ana,11
107,ana,11
109,ana,11
111,ana,11
113,ana,11
115,ana,11
117,ana,11
119,ana,11
121,ana,11
123,ana,11
125,ana,11
127,ana,11
129,ana,11
131,ana,11
133,ana,11
135,ana,11
137,ana,11
139,ana,11
141,ana,11
143,ana,11
145,ana,11
147,ana,11
149,ana,11
151,ana,11
153,ana,11
155,ana,11
157,ana,11
159,ana,11
161,ana,11
163,ana,11
165,ana,11
167,ana,11
169,ana,11
171,ana,11
173,ana,11
175,ana,11
177,ana,11
179,ana,11
181,ana,11
183,ana,11
185,ana,11
187,ana,11
189,ana,11
191,ana,11
193,ana,11
195,ana,11
197,ana,11
199,ana,11
2,bob,1
4,bob,2
6,bob,3
8,bob,4
10,bob,5
12,bob,6
14,bob,7
16,bob,7
18,bob,7
20,bob,7
22,bob,8
24,bob,9
26,bob,9
28,bob,10
30,bob,10
32,bob,10
34,bob,10
36,bob,10
38,bob,10
40,bob,10
42,bob,11
44,bob,11
46,bob,11
48,bob,11
50,bob,11
52,bob,11
54,bob,11
56,bob,11
58,bob,12
60,bob,13
62,bob,13
64,bob,13
66,bob,13
68,bob,13
70,bob,13
72,bob,13
74,bob,13
76,bob,13
78,bob,13
80,bob,13
82,bob,13
84,bob,13
86,bob,13
88,bob,14
90,bob,14
92,bob,14
94,bob,14
96,bob,14
98,bob,14
100,bob,14
102,bob,15
104,bob,15
106,bob,15
108,bob,15
110,bob,15
112,bob,15
114,bob,15
116,bob,15
118,bob,15
120,bob,15
122,bob,15
124,bob,15
126,bob,15
128,bob,15
130,bob,15
132,bob,15
134,bob,15
136,bob,15
138,bob,15
140,bob,15
142,bob,15
144,bob,15
146,bob,15
148,bob,15
150,bob,15
152,bob,15
154,bob,15
156,bob,15
158,bob,15
160,bob,15
162,bob,15
164,bob,15
166,bob,15
168,bob,15
170,bob,15
172,bob,15
174,bob,15
176,bob,15
178,bob,15
180,bob,15
182,bob,15
184,bob,15
186,bob,15
188,bob,15
190,bob,15
192,bob,15
194,bob,15
196,bob,15
198,bob,15
200,bob,15
