turno,jugador,dinero_final_turno
1,ana,10000
11,ana,10000
21,ana,10000
31,ana,9800
41,ana,9880
51,ana,9820
61,ana,9844
71,ana,9800
81,ana,9800
91,ana,9740
101,ana,9780
111,ana,9780
121,ana,9652
131,ana,9652
141,ana,9692
151,ana,9382
161,ana,9382
171,ana,9416
181,ana,9456
191,ana,9484
2,bob,10000
12,bob,10000
22,bob,9780
32,bob,9500
42,bob,9500
52,bob,9500
62,bob,9500
72,bob,9504
82,bob,9284
92,bob,9312
102,bob,9312
112,bob,9348
122,bob,9316
132,bob,9316
142,bob,9356
152,bob,9340
162,bob,9260
172,bob,9220
182,bob,9196
192,bob,9156
3,carla,9900
13,carla,9740
23,carla,9576
33,carla,9696
43,carla,9424
53,carla,9424
63,carla,9400
73,carla,9360
83,carla,9316
93,carla,9256
103,carla,9256
113,carla,9300
123,carla,9300
133,carla,9256
143,carla,9304
153,carla,9244
163,carla,9244
173,carla,9304
183,carla,9276
193,carla,9252
4,diego,9800
14,diego,9820
24,diego,9820
34,diego,9820
44,diego,9820
54,diego,9808
64,diego,9784
74,diego,9784
84,diego,9584
94,diego,9544
104,diego,9488
114,diego,9468
124,diego,9468
134,diego,9468
144,diego,9476
154,diego,9516
164,diego,9516
174,diego,9556
184,diego,9596
194,diego,9584
5,elena,10000
15,elena,9964
25,elena,9916
35,elena,9616
45,elena,9416
55,elena,9536
65,elena,9500
75,elena,9240
85,elena,9160
95,elena,9160
105,elena,9264
115,elena,9264
125,elena,9304
135,elena,9304
145,elena,9264
155,elena,9288
165,elena,9304
175,elena,9304
185,elena,9244
195,elena,9232
6,fernando,9960
16,fernando,9940
26,fernando,9740
36,fernando,9740
46,fernando,9740
56,fernando,9340
66,fernando,9360
76,fernando,9480
86,fernando,9560
96,fernando,9548
106,fernando,9484
116,fernando,9552
126,fernando,9544
136,fernando,9596
146,fernando,9552
156,fernando,9552
166,fernando,9562
176,fernando,9654
186,fernando,9634
196,fernando,9670
7,gema,10000
17,gema,9840
27,gema,9840
37,gema,9800
47,gema,9800
57,gema,9500
67,gema,9500
77,gema,9500
87,gema,9492
97,gema,9672
107,gema,9620
117,gema,9680
127,gema,9632
137,gema,9620
147,gema,9652
157,gema,9772
167,gema,9732
177,gema,9680
187,gema,9740
197,gema,9740
8,hugo,9980
18,hugo,9800
28,hugo,9764
38,hugo,9540
48,hugo,9480
58,hugo,9468
68,hugo,9480
78,hugo,9480
88,hugo,9436
98,hugo,9436
108,hugo,9488
118,hugo,9476
128,hugo,9476
138,hugo,9436
148,hugo,9396
158,hugo,9396
168,hugo,9396
178,hugo,9424
188,hugo,9424
198,hugo,9384
9,irene,9900
19,irene,9780
29,irene,9768
39,irene,9728
49,irene,9668
59,irene,9668
69,irene,9740
79,irene,9708
89,irene,9708
99,irene,9656
109,irene,9656
119,irene,9656
129,irene,9676
139,irene,9648
149,irene,9648
159,irene,9596
169,irene,9596
179,irene,9620
189,irene,9644
199,irene,9616
10,javier,10000
20,javier,9976
30,javier,9940
40,javier,9892
50,javier,9892
60,javier,9812
70,javier,9772
80,javier,9772
90,javier,9772
100,javier,9772
110,javier,9692
120,javier,9652
130,javier,9512
140,javier,9496
150,javier,9444
160,javier,9472
170,javier,9392
180,javier,9352
190,javier,9352
200,javier,9348
