turno,indice_jugador,jugador,dado1,dado2,suma,posicion_anterior,posicion_nueva,paso_salida,nombre_casilla,tipo_casilla,precio_casilla,color_casilla,compra_realizada,alquiler_realizado,alquiler_teorico,pago_real,dinero_inicial_turno,dinero_final_turno,propiedades_antes,propiedades_despues
1,1,ana,3,4,7,1,8,no,suerte2,suerte,0,ninguno,no,no,0,0,10000,10000,0,0
2,2,bob,2,3,5,1,6,no,estacion1,estacion,200,estacion,si,no,0,0,10000,9800,0,1
3,3,carla,3,1,4,1,5,no,impuesto1,impuesto,200,ninguno,no,no,0,0,10000,10000,0,0
4,4,diego,6,2,8,1,9,no,gris2,propiedad,100,gris,si,no,0,0,10000,9900,0,1
5,1,ana,5,1,6,8,14,no,rosa2,propiedad,140,rosa,si,no,0,0,10000,9860,0,1
6,2,bob,1,1,2,6,8,no,suerte2,suerte,0,ninguno,no,no,0,0,9800,9800,1,1
7,3,carla,4,1,5,5,10,no,gris3,propiedad,120,gris,si,no,0,0,10000,9880,0,1
8,4,diego,1,5,6,9,15,no,rosa3,propiedad,160,rosa,si,no,0,0,9900,9740,1,2
9,1,ana,4,6,10,14,24,no,rojo2,propiedad,220,rojo,si,no,0,0,9860,9640,1,2
10,2,bob,2,1,3,8,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,9800,9800,1,1
11,3,carla,6,5,11,10,21,no,parking,parking,0,ninguno,no,no,0,0,9880,9880,1,1
12,4,diego,2,1,3,15,18,no,suerte3,suerte,0,ninguno,no,no,0,0,9740,9740,2,2
13,1,ana,6,4,10,24,34,no,suerte5,suerte,0,ninguno,no,no,0,0,9640,9640,2,2
14,2,bob,5,3,8,11,19,no,naranja2,propiedad,180,naranja,si,no,0,0,9800,9620,1,2
15,3,carla,1,2,3,21,24,no,rojo2,propiedad,220,rojo,no,si,44,44,9880,9836,1,1
16,4,diego,3,4,7,18,25,no,rojo3,propiedad,240,rojo,si,no,0,0,9740,9500,2,3
17,1,ana,1,4,5,34,39,no,impuesto4,impuesto,100,ninguno,no,no,0,0,9684,9684,2,2
18,2,bob,5,6,11,19,30,no,amarillo3,propiedad,280,amarillo,si,no,0,0,9620,9340,2,3
19,3,carla,4,2,6,24,30,no,amarillo3,propiedad,280,amarillo,no,si,56,56,9836,9780,1,1
20,4,diego,3,6,9,25,34,no,suerte5,suerte,0,ninguno,no,no,0,0,9500,9500,3,3
21,1,ana,2,4,6,39,5,si,impuesto1,impuesto,200,ninguno,no,no,0,0,9684,9684,2,2
22,2,bob,6,1,7,30,37,no,suerte6,suerte,0,ninguno,no,no,0,0,9396,9396,3,3
23,3,carla,5,1,6,30,36,no,estacion4,estacion,200,estacion,si,no,0,0,9780,9580,1,2
24,4,diego,1,1,2,34,36,no,estacion4,estacion,200,estacion,no,si,40,40,9500,9460,3,3
25,1,ana,4,5,9,5,14,no,rosa2,propiedad,140,rosa,no,no,0,0,9684,9684,2,2
26,2,bob,2,5,7,37,4,si,morado2,propiedad,60,morado,si,no,0,0,9396,9336,3,4
27,3,carla,3,5,8,36,4,si,morado2,propiedad,60,morado,no,si,12,12,9620,9608,2,2
