jugador,total_pagado_alquiler,total_cobrado_alquiler,balance_alquiler
ana,104,144,40
bob,100,132,32
carla,168,264,96
diego,136,80,-56
elena,200,224,24
fernando,112,320,208
gema,80,212,132
hugo,196,72,-124
irene,220,96,-124
javier,228,0,-228
