turno,pagador,cobrador,propiedad,tipo,color,precio_casilla,alquiler_teorico,pago_real,dinero_pagador_antes,dinero_pagador_despues,dinero_cobrador_antes,dinero_cobrador_despues
12,diego,bob,rosa1,propiedad,rosa,140,28,28,9880,9852,9560,9588
14,bob,ana,estacion3,estacion,estacion,200,40,40,9588,9548,9520,9560
16,diego,carla,rosa3,propiedad,rosa,160,32,32,9852,9820,9840,9872
33,ana,diego,amarillo3,propiedad,amarillo,280,56,56,9360,9304,9100,9156
36,diego,ana,gris2,propiedad,gris,100,20,20,9156,9136,9304,9324
39,carla,bob,morado2,propiedad,morado,60,12,12,9412,9400,8658,8670
42,bob,ana,estacion3,estacion,estacion,200,40,40,8670,8630,9324,9364
43,carla,bob,rosa1,propiedad,rosa,140,28,28,9400,9372,8630,8658
44,diego,bob,naranja2,propiedad,naranja,180,36,36,8996,8960,8658,8694
53,ana,diego,amarillo3,propiedad,amarillo,280,56,56,9144,9088,8960,9016
57,ana,carla,verde2,propiedad,verde,300,60,60,9088,9028,8852,8912
66,bob,diego,estacion4,estacion,estacion,200,40,40,8694,8654,9016,9056
67,carla,bob,naranja2,propiedad,naranja,180,36,36,8852,8816,8654,8690
68,diego,bob,naranja2,propiedad,naranja,180,36,36,9056,9020,8690,8726
69,ana,carla,rosa3,propiedad,rosa,160,32,32,9028,8996,8816,8848
72,diego,ana,estacion3,estacion,estacion,200,40,40,9020,8980,8996,9036
74,bob,ana,naranja1,propiedad,naranja,180,36,36,8726,8690,9036,9072
75,carla,bob,verde1,propiedad,verde,300,60,60,8848,8788,8690,8750
76,diego,bob,verde1,propiedad,verde,300,60,60,8980,8920,8750,8810
77,ana,carla,amarillo1,propiedad,amarillo,260,52,52,9072,9020,8788,8840
80,diego,bob,azul1,propiedad,azul,350,70,70,8920,8850,8550,8620
82,bob,ana,verde3,propiedad,verde,320,64,64,8620,8556,8700,8764
87,carla,diego,gris3,propiedad,gris,120,24,24,8640,8616,8850,8874
88,diego,ana,naranja1,propiedad,naranja,180,36,36,8874,8838,8764,8800
90,bob,carla,estacion1,estacion,estacion,200,40,40,8556,8516,8616,8656
91,carla,diego,rosa2,propiedad,rosa,140,28,28,8656,8628,8838,8866
94,bob,diego,gris3,propiedad,gris,120,24,24,8516,8492,8866,8890
97,ana,carla,amarillo1,propiedad,amarillo,260,52,52,8800,8748,8628,8680
98,bob,carla,rosa3,propiedad,rosa,160,32,32,8492,8460,8680,8712
99,carla,diego,amarillo3,propiedad,amarillo,280,56,56,8712,8656,8890,8946
101,ana,diego,estacion4,estacion,estacion,200,40,40,8748,8708,8946,8986
102,bob,carla,rojo1,propiedad,rojo,220,44,44,8460,8416,8656,8700
103,carla,bob,azul1,propiedad,azul,350,70,70,8700,8630,8416,8486
104,diego,carla,morado1,propiedad,morado,60,12,12,8986,8974,8630,8642
105,ana,carla,estacion1,estacion,estacion,200,40,40,8708,8668,8642,8682
106,bob,diego,amarillo3,propiedad,amarillo,280,56,56,8486,8430,8974,9030
115,carla,diego,rosa2,propiedad,rosa,140,28,28,8682,8654,9030,9058
116,diego,bob,naranja2,propiedad,naranja,180,36,36,9058,9022,8430,8466
117,ana,carla,amarillo1,propiedad,amarillo,260,52,52,8668,8616,8654,8706
120,diego,ana,estacion3,estacion,estacion,200,40,40,9022,8982,8616,8656
122,bob,ana,estacion2,estacion,estacion,200,40,40,8466,8426,8656,8696
124,diego,ana,verde3,propiedad,verde,320,64,64,8982,8918,8696,8760
127,carla,diego,amarillo3,propiedad,amarillo,280,56,56,8706,8650,8918,8974
136,diego,carla,rojo1,propiedad,rojo,220,44,44,8974,8930,8650,8694
137,ana,carla,rojo1,propiedad,rojo,220,44,44,8360,8316,8694,8738
139,carla,ana,gris2,propiedad,gris,100,20,20,8738,8718,8316,8336
140,diego,ana,rojo2,propiedad,rojo,220,44,44,8930,8886,8336,8380
142,bob,diego,gris3,propiedad,gris,120,24,24,8426,8402,8886,8910
143,carla,ana,naranja1,propiedad,naranja,180,36,36,8718,8682,8380,8416
144,diego,bob,verde1,propiedad,verde,300,60,60,8910,8850,8402,8462
145,ana,diego,estacion4,estacion,estacion,200,40,40,8416,8376,8850,8890
146,bob,ana,naranja1,propiedad,naranja,180,36,36,8462,8426,8376,8412
