metrica,valor
total_turnos,4
total_jugadores,1
total_compras,1
total_alquileres,0
importe_total_alquileres,0
entradas_carcel,0
salidas_pagando,0
salidas_dobles,0
liberaciones_automaticas,1
turnos_perdidos_carcel,3
activos_restantes_banco,25
