metrica,valor
total_turnos,120
total_jugadores,2
total_compras,25
total_alquileres,27
importe_total_alquileres,1058
entradas_carcel,1
salidas_pagando,0
salidas_dobles,1
liberaciones_automaticas,0
turnos_perdidos_carcel,1
activos_restantes_banco,1
