turno,indice_jugador,jugador,estado_carcel_antes,decision_carcel,dado1,dado2,suma,posicion_anterior,posicion_nueva,paso_salida,nombre_casilla,tipo_casilla,precio_casilla,color_casilla,compra_realizada,alquiler_realizado,alquiler_teorico,pago_real,dinero_inicial_turno,dinero_tras_carcel,dinero_final_turno,propiedades_antes,propiedades_despues,turno_perdido_carcel
1,1,ana,libre,no_aplica,6,2,8,1,9,no,gris2,propiedad,100,gris,si,no,0,0,10000,10000,9900,0,1,no
2,2,bob,libre,no_aplica,2,4,6,1,7,no,gris1,propiedad,100,gris,si,no,0,0,10000,10000,9900,0,1,no
3,3,carla,libre,no_aplica,4,3,7,1,8,no,suerte2,suerte,0,ninguno,no,no,0,0,10000,10000,10000,0,0,no
4,4,diego,libre,no_aplica,1,3,4,1,5,no,impuesto1,impuesto,200,ninguno,no,no,0,0,10000,10000,10000,0,0,no
5,1,ana,libre,no_aplica,4,4,8,9,17,no,naranja1,propiedad,180,naranja,si,no,0,0,9900,9900,9720,1,2,no
6,2,bob,libre,no_aplica,3,2,5,7,12,no,rosa1,propiedad,140,rosa,si,no,0,0,9900,9900,9760,1,2,no
7,3,carla,libre,no_aplica,3,4,7,8,15,no,rosa3,propiedad,160,rosa,si,no,0,0,10000,10000,9840,0,1,no
8,4,diego,libre,no_aplica,2,3,5,5,10,no,gris3,propiedad,120,gris,si,no,0,0,10000,10000,9880,0,1,no
9,1,ana,libre,no_aplica,3,1,4,17,21,no,parking,parking,0,ninguno,no,no,0,0,9720,9720,9720,2,2,no
10,2,bob,libre,no_aplica,6,2,8,12,20,no,naranja3,propiedad,200,naranja,si,no,0,0,9760,9760,9560,2,3,no
11,3,carla,libre,no_aplica,5,1,6,15,21,no,parking,parking,0,ninguno,no,no,0,0,9840,9840,9840,1,1,no
12,4,diego,libre,no_aplica,1,1,2,10,12,no,rosa1,propiedad,140,rosa,no,si,28,28,9880,9880,9852,1,1,no
13,1,ana,libre,no_aplica,4,1,5,21,26,no,estacion3,estacion,200,estacion,si,no,0,0,9720,9720,9520,2,3,no
14,2,bob,libre,no_aplica,1,5,6,20,26,no,estacion3,estacion,200,estacion,no,si,40,40,9588,9588,9548,3,3,no
15,3,carla,libre,no_aplica,4,6,10,21,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,9840,9840,9840,1,1,no
16,4,diego,libre,no_aplica,2,1,3,12,15,no,rosa3,propiedad,160,rosa,no,si,32,32,9852,9852,9820,1,1,no
17,1,ana,libre,no_aplica,6,5,11,26,37,no,suerte6,suerte,0,ninguno,no,no,0,0,9560,9560,9560,3,3,no
18,2,bob,libre,no_aplica,2,1,3,26,29,no,impuesto3,impuesto,100,ninguno,no,no,0,0,9548,9548,9548,3,3,no
19,3,carla,encarcelado(0),pagar,0,0,0,11,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,9872,9672,9672,1,1,si
20,4,diego,libre,no_aplica,6,4,10,15,25,no,rojo3,propiedad,240,rojo,si,no,0,0,9820,9820,9580,1,2,no
21,1,ana,libre,no_aplica,5,3,8,37,5,si,impuesto1,impuesto,200,ninguno,no,no,0,0,9560,9560,9560,3,3,no
22,2,bob,libre,no_aplica,1,2,3,29,32,no,verde1,propiedad,300,verde,si,no,0,0,9548,9548,9248,3,4,no
23,3,carla,libre,no_aplica,3,4,7,11,18,no,suerte3,suerte,0,ninguno,no,no,0,0,9672,9672,9672,1,1,no
24,4,diego,libre,no_aplica,1,4,5,25,30,no,amarillo3,propiedad,280,amarillo,si,no,0,0,9580,9580,9300,2,3,no
25,1,ana,libre,no_aplica,5,6,11,5,16,no,estacion2,estacion,200,estacion,si,no,0,0,9560,9560,9360,3,4,no
26,2,bob,libre,no_aplica,4,2,6,32,38,no,azul1,propiedad,350,azul,si,no,0,0,9248,9248,8898,4,5,no
27,3,carla,libre,no_aplica,3,6,9,18,27,no,amarillo1,propiedad,260,amarillo,si,no,0,0,9672,9672,9412,1,2,no
28,4,diego,libre,no_aplica,2,4,6,30,36,no,estacion4,estacion,200,estacion,si,no,0,0,9300,9300,9100,3,4,no
29,1,ana,libre,no_aplica,6,1,7,16,23,no,suerte4,suerte,0,ninguno,no,no,0,0,9360,9360,9360,4,4,no
30,2,bob,libre,no_aplica,5,1,6,38,4,si,morado2,propiedad,60,morado,si,no,0,0,8898,8898,8838,5,6,no
31,3,carla,libre,no_aplica,1,1,2,27,29,no,impuesto3,impuesto,100,ninguno,no,no,0,0,9412,9412,9412,2,2,no
32,4,diego,libre,no_aplica,4,5,9,36,5,si,impuesto1,impuesto,200,ninguno,no,no,0,0,9100,9100,9100,4,4,no
33,1,ana,libre,no_aplica,2,5,7,23,30,no,amarillo3,propiedad,280,amarillo,no,si,56,56,9360,9360,9304,4,4,no
34,2,bob,libre,no_aplica,3,5,8,4,12,no,rosa1,propiedad,140,rosa,no,no,0,0,8838,8838,8838,6,6,no
35,3,carla,libre,no_aplica,2,6,8,29,37,no,suerte6,suerte,0,ninguno,no,no,0,0,9412,9412,9412,2,2,no
36,4,diego,libre,no_aplica,2,2,4,5,9,no,gris2,propiedad,100,gris,no,si,20,20,9156,9156,9136,4,4,no
37,1,ana,libre,no_aplica,5,6,11,30,1,si,salida,salida,0,ninguno,no,no,0,0,9324,9324,9324,4,4,no
38,2,bob,libre,no_aplica,3,4,7,12,19,no,naranja2,propiedad,180,naranja,si,no,0,0,8838,8838,8658,6,7,no
39,3,carla,libre,no_aplica,6,1,7,37,4,si,morado2,propiedad,60,morado,no,si,12,12,9412,9412,9400,2,2,no
40,4,diego,libre,no_aplica,2,3,5,9,14,no,rosa2,propiedad,140,rosa,si,no,0,0,9136,9136,8996,4,5,no
41,1,ana,libre,no_aplica,6,2,8,1,9,no,gris2,propiedad,100,gris,no,no,0,0,9324,9324,9324,4,4,no
42,2,bob,libre,no_aplica,2,5,7,19,26,no,estacion3,estacion,200,estacion,no,si,40,40,8670,8670,8630,7,7,no
43,3,carla,libre,no_aplica,3,5,8,4,12,no,rosa1,propiedad,140,rosa,no,si,28,28,9400,9400,9372,2,2,no
44,4,diego,libre,no_aplica,4,1,5,14,19,no,naranja2,propiedad,180,naranja,no,si,36,36,8996,8996,8960,5,5,no
45,1,ana,libre,no_aplica,2,5,7,9,16,no,estacion2,estacion,200,estacion,no,no,0,0,9364,9364,9364,4,4,no
46,2,bob,libre,no_aplica,1,5,6,26,32,no,verde1,propiedad,300,verde,no,no,0,0,8694,8694,8694,7,7,no
47,3,carla,libre,no_aplica,4,6,10,12,22,no,rojo1,propiedad,220,rojo,si,no,0,0,9372,9372,9152,2,3,no
48,4,diego,libre,no_aplica,3,1,4,19,23,no,suerte4,suerte,0,ninguno,no,no,0,0,8960,8960,8960,5,5,no
49,1,ana,libre,no_aplica,3,5,8,16,24,no,rojo2,propiedad,220,rojo,si,no,0,0,9364,9364,9144,4,5,no
50,2,bob,libre,no_aplica,1,4,5,32,37,no,suerte6,suerte,0,ninguno,no,no,0,0,8694,8694,8694,7,7,no
51,3,carla,libre,no_aplica,3,2,5,22,27,no,amarillo1,propiedad,260,amarillo,no,no,0,0,9152,9152,9152,3,3,no
52,4,diego,libre,no_aplica,2,4,6,23,29,no,impuesto3,impuesto,100,ninguno,no,no,0,0,8960,8960,8960,5,5,no
53,1,ana,libre,no_aplica,3,3,6,24,30,no,amarillo3,propiedad,280,amarillo,no,si,56,56,9144,9144,9088,5,5,no
54,2,bob,libre,no_aplica,5,6,11,37,8,si,suerte2,suerte,0,ninguno,no,no,0,0,8694,8694,8694,7,7,no
